Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  SCH_d1_m7-fab-002.txt
Log File Name:                   SCH_d1_m7-fab-002.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            398729887
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   SCH_d1_m7-fab-002.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.179389
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.74 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Node	No RJ LS Betas	
1000000	468.853220	1	-1.508708362376	1.002795320728	0.037137588698	-0.019326788470	0.000027092573	0.961926509527	N\A	0.039436951674	0.034877882484	0.003887711999	38	3	
1050000	461.244139	1	-1.481817063831	1.007834174354	0.030404277177	-0.016125003728	0.000114228365	0.957392678501	N\A	0.044036069660	0.038583345319	0.004236008824	38	4	
1100000	459.686993	1	-1.443270271933	0.986808529924	0.046161989402	-0.020853277546	0.000192314629	0.958655023173	N\A	0.040790377833	0.035919346981	0.004355658471	36	3	
1150000	483.369994	1	-1.462665431401	0.967402874710	0.071457372372	-0.016862721673	0.000096767839	0.967369516889	N\A	0.038874539805	0.035078643872	0.003762629936	42	4	
1200000	478.942787	1	-1.497401821785	0.994864141365	0.057820546052	-0.018421256758	0.000106796832	0.966993292643	N\A	0.037808649680	0.034211933535	0.003795675408	30	6	
1250000	469.598227	1	-1.458552225608	1.028448402279	-0.054781516639	-0.002726627799	0.000118113707	0.963750701433	N\A	0.039662838316	0.035800686203	0.004051783338	39	6	
1300000	474.867559	1	-1.399549837541	0.958039887306	0.067169089044	-0.016612331574	0.000082223194	0.965872616413	N\A	0.039344321934	0.034375531195	0.003983820403	32	2	
1350000	488.513027	1	-1.467363866109	1.020999302827	-0.018620451854	-0.005962075201	0.000130789454	0.965827255440	N\A	0.038384219215	0.033518409554	0.003887796615	33	4	
1400000	498.806511	1	-1.555652823294	1.049939775460	-0.009009124770	-0.014222406043	0.000097412540	0.978481513354	N\A	0.022637506131	0.025915075488	0.003629796843	47	6	
1450000	469.172627	1	-1.593887469733	1.034460764609	0.038995934918	-0.019014322422	0.000142267507	0.960686584205	N\A	0.040041838288	0.035699746831	0.004638615601	31	2	
