Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  SCH_d1_m7-glob-002.txt
Log File Name:                   SCH_d1_m7-glob-002.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            4273742761
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   SCH_d1_m7-glob-002.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.179389
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.74 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Node	No RJ LS Betas	Global Trend	
1000000	493.948976	1	-1.365625914300	0.972669692511	0.031981309407	-0.012064581461	0.000106421848	0.994522102203	N\A	0.027358915532	0.029454177158	0.003054438745	30	12	-0.042587321396	Global Trend	
1050000	471.128664	1	-1.437858049176	1.016017383092	0.001367885569	-0.011884350389	0.000098828550	0.995796086708	N\A	0.029822879248	0.032120373382	0.003439581003	27	11	0.040870838283	Global Trend	
1100000	467.869715	1	-1.346403823264	0.920049268891	0.095648848965	-0.015792004784	0.000111406761	0.999728660739	N\A	0.033215340366	0.036099256420	0.003421014097	38	7	-0.201087961120	Global Trend	
1150000	480.186286	1	-1.438788661530	0.988226309156	0.026342249424	-0.012701017816	0.000114796012	0.971965182458	N\A	0.035147379453	0.034002657111	0.003637015475	34	9	0.013831506757	Global Trend	
1200000	473.058550	1	-1.310660609746	0.961584172934	0.052783102052	-0.013006810641	0.000108914467	0.999970826512	N\A	0.027907314594	0.030555695284	0.003180387746	47	8	0.589045143988	Global Trend	
1250000	467.934409	1	-1.470713162922	1.008239097626	0.007625972869	-0.008695948888	0.000084551819	0.992022523137	N\A	0.029207490914	0.030921361866	0.002947517054	40	7	0.018984038609	Global Trend	
1300000	472.873519	1	-1.351592763438	0.956535409002	0.056207606451	-0.013748770911	0.000123505343	0.999735110491	N\A	0.028127635194	0.030687191140	0.003148404743	33	6	-0.264796567713	Global Trend	
1350000	482.756816	1	-1.353307272635	0.967090020971	0.063612273372	-0.019434013584	0.000074330974	0.991675967076	N\A	0.029673318948	0.031429843520	0.003232840453	33	8	0.027033700200	Global Trend	
1400000	501.011924	1	-1.280751868610	0.919912266778	0.099572256181	-0.020555422944	0.000087800998	0.999926597319	N\A	0.026934050758	0.029508720167	0.002998624985	36	7	-0.304633580448	Global Trend	
1450000	493.543187	1	-1.392438134367	0.949040165575	0.067084008261	-0.015971971880	0.000104020895	0.990443248360	N\A	0.028048192291	0.029255701170	0.003119972563	31	9	0.027925107549	Global Trend	
1500000	474.464013	1	-1.320695544695	0.895089472008	0.126112002865	-0.021765149279	0.000114033694	0.977925850035	N\A	0.032766693998	0.032765319218	0.003440538735	32	7	-0.015817214161	Global Trend	
1550000	486.740079	1	-1.358391447974	0.938619776078	0.059650060445	-0.014386959315	0.000096810338	0.985608737375	N\A	0.016647934111	0.019698620257	0.002747408046	36	6	0.003279118920	Global Trend	
1600000	483.847320	1	-1.369692782910	0.941057511010	0.075669141539	-0.015890682595	0.000110693245	0.999684509938	N\A	0.018673796647	0.020376921100	0.002025195538	38	6	0.180884739382	Global Trend	
1650000	491.107466	1	-1.458339463990	1.031747448532	-0.002774881195	-0.015415243958	0.000077747301	0.992813984852	N\A	0.024052561295	0.025642042647	0.002490409782	32	11	0.015873294660	Global Trend	
1700000	495.883431	1	-1.339158544905	0.922523126282	0.096753757606	-0.019670911654	0.000110065929	0.999732737876	N\A	0.024974851051	0.027226069998	0.002644580614	44	9	-0.242762249191	Global Trend	
1750000	484.635619	1	-1.603805448043	1.073680635535	-0.013384595295	-0.014998540016	0.000100147554	0.974166753015	N\A	0.026056316168	0.026256666204	0.003581045489	37	7	0.003360084805	Global Trend	
1800000	482.354742	1	-1.260420659023	0.951015778791	0.061786874601	-0.014329067640	0.000106823525	0.999937547410	N\A	0.030951749628	0.033658060647	0.003198618249	25	7	-0.454269230049	Global Trend	
1850000	474.586065	1	-1.514312707849	1.032587965938	-0.028854102551	-0.004650048249	0.000096166629	0.989829501472	N\A	0.032388454186	0.034363123785	0.003418251674	33	8	-0.016591140386	Global Trend	
1900000	486.465481	1	-1.319160804999	0.942814105081	0.076271868573	-0.015711634231	0.000125570503	0.998681076894	N\A	0.023522971951	0.025770173100	0.003026475104	26	7	0.154022184037	Global Trend	
1950000	456.401645	1	-1.308118624660	0.875018515107	0.145753834818	-0.020591528538	0.000124833096	0.999919604277	N\A	0.032245213445	0.035046195760	0.003329408168	35	7	-0.461835312560	Global Trend	
2000000	475.887204	1	-1.394576978261	0.998519348979	0.011534338731	-0.008222776293	0.000104476218	0.999576626972	N\A	0.027785172754	0.030276827816	0.003060518390	34	9	0.142267234030	Global Trend	
2050000	479.030139	1	-1.307986209927	0.986099734495	0.023274730114	-0.012069145854	0.000151928531	0.999652828450	N\A	0.031961729672	0.034908296519	0.003526752692	26	7	-0.317657748812	Global Trend	
2100000	484.911660	1	-1.295846355960	0.922490002551	0.089621025597	-0.020491738918	0.000091950744	0.989333597012	N\A	0.026400401119	0.028467676946	0.003159423839	29	6	-0.025873069298	Global Trend	
2150000	496.632908	1	-1.342450289199	0.931857870615	0.081018976337	-0.015293415567	0.000102596751	0.997699957820	N\A	0.016268482056	0.017795805730	0.001853228066	36	7	-0.077739912314	Global Trend	
2200000	487.627502	1	-1.338870578966	0.908190030398	0.120075112783	-0.023140470322	0.000104468335	0.989903216058	N\A	0.013710389690	0.016368499165	0.002296556212	30	7	0.012525955964	Global Trend	
2250000	490.797825	1	-1.404477962730	0.970389122675	0.043073690232	-0.013261391188	0.000123772987	0.999951299956	N\A	0.021201832100	0.023085026438	0.002261834596	37	7	0.470231336227	Global Trend	
2300000	490.624462	1	-1.204271967589	0.887369998201	0.116017703285	-0.019935112130	0.000093465416	0.987981835887	N\A	0.030601427707	0.032167521365	0.003189932178	35	7	-0.025483837437	Global Trend	
2350000	493.084921	1	-1.217315177611	0.915034270509	0.077015660943	-0.011119270394	0.000152588853	0.967211753583	N\A	0.036886121758	0.033157066354	0.004070384201	35	11	0.007647063721	Global Trend	
2400000	491.202489	1	-1.378519820764	0.939892084133	0.081884215726	-0.021869559775	0.000109562709	0.999968215016	N\A	0.018572816977	0.020343830829	0.002096788336	40	8	0.573983389170	Global Trend	
2450000	483.384601	1	-1.321852878794	0.935062041296	0.078461428202	-0.014135876842	0.000047959011	0.999846847788	N\A	0.027233347176	0.029751811628	0.002950700716	31	9	-0.106301046492	Global Trend	
2500000	474.645546	1	-1.300501367912	0.893537197613	0.140611117537	-0.025210171955	0.000119501083	0.972917920978	N\A	0.036565282288	0.035314463994	0.003589448714	31	8	0.011172032016	Global Trend	
2550000	490.159991	1	-1.459605336142	1.022072732108	-0.009925806460	-0.010656515607	0.000118481412	0.998983184880	N\A	0.029758489497	0.032341292285	0.003139081525	35	12	0.124364101940	Global Trend	
2600000	492.601233	1	-1.317404048059	0.959860087046	0.073137286552	-0.019220009648	0.000130108425	0.990793333775	N\A	0.029493941557	0.030927635717	0.003136648248	30	9	0.041404687091	Global Trend	
2650000	492.793438	1	-1.309390512397	0.987696632621	0.020442007818	-0.010855602453	0.000122848287	0.999857599609	N\A	0.011173587047	0.012263039376	0.001282900733	37	9	-0.250241414067	Global Trend	
2700000	480.701478	1	-1.214599492786	0.964808305747	0.048019774768	-0.014963771088	0.000124627525	0.999824806567	N\A	0.029328364725	0.032028202478	0.003159260088	23	8	-0.430356637502	Global Trend	
2750000	476.666568	1	-1.258389515108	0.880540174910	0.142170300762	-0.022206783374	0.000122140619	0.999902264686	N\A	0.031907247273	0.034922333704	0.003583287265	28	8	0.490399012772	Global Trend	
2800000	480.555636	1	-1.358963770760	0.929493881221	0.085977421038	-0.015707021858	0.000186883461	0.999939357640	N\A	0.028114014385	0.030752842092	0.003138385091	34	7	-0.747715867653	Global Trend	
2850000	483.101500	1	-1.442628067109	0.990388250931	0.031243865005	-0.013616077351	0.000139749892	0.973942007871	N\A	0.026902552523	0.026873911456	0.003519214913	41	7	0.005927570622	Global Trend	
2900000	480.962690	1	-1.362632762621	0.959845624022	0.054941491782	-0.013430066652	0.000116112748	0.999790448809	N\A	0.026102258672	0.028435152820	0.002819754301	30	7	0.250608288258	Global Trend	
2950000	452.208518	1	-1.312988890901	0.854044163201	0.167419655124	-0.020442445895	0.000120788303	0.999523880979	N\A	0.031230890270	0.034192949498	0.003518319514	33	6	-0.157801575869	Global Trend	
3000000	478.160446	1	-1.459657596324	0.981226788805	0.048717735444	-0.019226613873	0.000096073033	0.989497752080	N\A	0.012456297910	0.015832608839	0.002295095510	38	11	0.009380625363	Global Trend	
3050000	487.992729	1	-1.365820286726	0.965809386350	0.048808949960	-0.015708823800	0.000123611504	0.999789376621	N\A	0.029447447154	0.032171549331	0.003199311196	38	7	-0.272459764259	Global Trend	
3100000	495.102657	1	-1.339036757074	0.944214423275	0.078118089969	-0.021613778276	0.000058480902	0.999880960462	N\A	0.028511270842	0.031126365521	0.003116646376	29	11	0.169359169534	Global Trend	
3150000	499.476000	1	-1.206969014991	0.940918568581	0.070549045009	-0.017020652264	0.000116561816	0.999467066143	N\A	0.021264721658	0.023255221183	0.002315104433	30	8	-0.179273676382	Global Trend	
3200000	485.032379	1	-1.424077382269	0.953789228545	0.069423112263	-0.019812631299	0.000133795822	0.994852590735	N\A	0.023853711110	0.026082259982	0.002765826128	41	6	-0.048720020411	Global Trend	
3250000	478.616267	1	-1.565945690519	0.981822153600	0.050046579849	-0.017300010358	0.000220849687	0.985485375936	N\A	0.029232286588	0.031239121903	0.003555283683	30	7	-0.046859832899	Global Trend	
3300000	478.382586	1	-1.467674254633	1.023212546141	-0.010817215465	-0.010930021600	0.000091996432	0.993808746632	N\A	0.030828009953	0.032976519475	0.003228917173	33	7	-0.031993695131	Global Trend	
3350000	486.675964	1	-1.387300539761	1.019788800778	-0.008508836101	-0.008647423840	0.000090805197	0.999714599133	N\A	0.029235498911	0.031786869383	0.003048391382	34	8	0.185998725920	Global Trend	
3400000	483.591998	1	-1.330544168944	0.930905216272	0.102639083079	-0.018663116008	0.000108128875	0.971282944976	N\A	0.034093305686	0.032071501362	0.003389798248	36	9	0.009811863363	Global Trend	
3450000	479.777586	1	-1.369868362532	0.967149839906	0.042241032305	-0.009899229417	0.000103336330	0.999981941050	N\A	0.030325761401	0.033057116965	0.003216707467	31	7	-0.825338860726	Global Trend	
3500000	471.559991	1	-1.362875813676	0.935310059709	0.083112925505	-0.018471572722	0.000087445128	0.999985704748	N\A	0.030153500496	0.032888200055	0.003268091728	39	6	-0.537157126263	Global Trend	
3550000	479.815284	1	-1.220951626425	0.876147217970	0.127832439649	-0.018744897407	0.000110210501	0.985712926541	N\A	0.027960088288	0.028383815160	0.003304511843	28	8	-0.023774509647	Global Trend	
3600000	473.651616	1	-1.429260105620	0.991505929775	0.019683203070	-0.012569396171	0.000124273466	0.998118953750	N\A	0.030263445041	0.032737653141	0.003212370982	42	6	-0.089821626684	Global Trend	
3650000	491.772189	1	-1.373917770033	0.954351081930	0.055921807596	-0.014756806891	0.000101608416	0.982642510303	N\A	0.027284956622	0.028429054534	0.003202261472	30	9	-0.023460929453	Global Trend	
3700000	487.490801	1	-1.343291129182	0.943606395159	0.078521910548	-0.021367194520	0.000117438976	0.999776749008	N\A	0.028273014465	0.030925423468	0.003262774085	31	8	0.270917894296	Global Trend	
3750000	503.800826	1	-1.352820512049	0.931820020055	0.092487100126	-0.016983629999	0.000071512749	0.984981431891	N\A	0.029503286347	0.030243123265	0.003085263189	43	9	0.011236183201	Global Trend	
3800000	485.250703	1	-1.277715739489	0.890219912016	0.134775299563	-0.024679670069	0.000017641519	0.999961050479	N\A	0.017175385220	0.018814969198	0.001936518326	39	9	0.076813955392	Global Trend	
3850000	489.747812	1	-1.342352537688	0.957004640955	0.058185681124	-0.016544715026	0.000082189766	0.999897210682	N\A	0.028039111840	0.030664903111	0.003139378571	25	8	-0.235372543675	Global Trend	
3900000	483.437735	1	-1.310591406396	0.910453424874	0.108108051603	-0.015812513056	0.000117885297	0.998887407259	N\A	0.030971994020	0.033690928711	0.003282900767	43	10	0.125168218618	Global Trend	
3950000	477.366734	1	-1.483874501538	1.015550202852	0.005878081135	-0.009118930072	0.000103037067	0.975459820783	N\A	0.032975566174	0.032450429600	0.003471821869	30	9	0.008100803419	Global Trend	
4000000	496.173509	1	-1.364145222069	0.966801512842	0.050748854595	-0.016103483897	0.000078640314	0.999307850910	N\A	0.027051665439	0.029693189364	0.003093218957	38	10	0.095560894496	Global Trend	
4050000	476.254085	1	-1.306576022518	0.947856438099	0.093185340477	-0.018300461737	0.000116941130	0.990456657186	N\A	0.032553529494	0.034141328173	0.003506528274	39	7	0.032611821509	Global Trend	
4100000	490.823653	1	-1.427210577825	0.943444024821	0.069297527274	-0.013195883782	0.000087315195	0.999903855648	N\A	0.028878365319	0.031504003794	0.003187875866	37	8	0.260643608622	Global Trend	
4150000	486.734740	1	-1.295893043828	0.935217776374	0.088977881672	-0.021574687711	0.000084781231	0.999263146100	N\A	0.028618611567	0.031261860587	0.003300707887	37	8	0.117618566195	Global Trend	
4200000	482.596861	1	-1.343375708941	0.932985378397	0.086509849586	-0.017761517896	0.000149452831	0.999150819157	N\A	0.028557803066	0.031127114170	0.003180801617	31	8	0.164759786656	Global Trend	
