Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  SCH_d1_m8-VR-005.txt
Log File Name:                   SCH_d1_m8-VR-005.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            3079218938
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   SCH_d1_m8-VR-005.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Branch	No RJ Local Node	
1000000	458.857814	1	-1.746094235010	1.211662675259	-0.041355363829	0.005187440453	0.000115773139	0.959225012341	N\A	0.060540685172	0.007877578313	0.027190146053	43	24	
1050000	476.762379	1	-1.762256778488	1.220907648658	-0.044142954321	0.016138532583	0.000097517981	0.967018774511	N\A	0.054696592158	0.007847549701	0.025842424430	46	22	
1100000	448.997405	1	-1.718558773821	1.192172941826	-0.038295245957	0.002933242444	0.000123280994	0.956419259102	N\A	0.058872839839	0.007938300221	0.027640282670	39	27	
1150000	452.956530	1	-1.859985976924	1.246943353754	-0.035254642496	-0.034984645952	0.000139152238	0.962995172678	N\A	0.054385353785	0.007702293291	0.024126803996	45	28	
1200000	475.327481	1	-1.778762991559	1.215651730163	-0.032642328047	-0.034576589422	0.000086056849	0.964783796061	N\A	0.053258743962	0.007713802538	0.024339308555	39	18	
1250000	448.829415	1	-1.742866668216	1.220007569520	-0.039232934528	-0.007750790696	0.000100890541	0.962851567608	N\A	0.054257281414	0.007866597385	0.026514631067	54	24	
1300000	454.599863	1	-1.927240931159	1.303959469186	-0.044262166395	-0.040827246342	0.000127711728	0.960309368696	N\A	0.055189409628	0.007326498650	0.025020149493	35	17	
1350000	459.868729	1	-1.582583958382	1.099337251266	-0.020170770451	-0.016812964249	0.000122003613	0.960167315126	N\A	0.057107698836	0.007178730772	0.026528710771	59	26	
1400000	466.787750	1	-1.673526273503	1.169483501132	-0.032609768233	-0.002579495014	0.000111598494	0.960733866103	N\A	0.058087332697	0.007983025524	0.027229159709	43	23	
1450000	459.353582	1	-1.678037697361	1.181849592909	-0.039202649232	0.010946472286	0.000126800505	0.967692477985	N\A	0.043862740978	0.007079918427	0.023961730628	47	22	
1500000	448.077211	1	-1.708408202204	1.161683534436	-0.029357781927	-0.000845893236	0.000096361943	0.963859520384	N\A	0.055487883404	0.007630925748	0.027506939480	56	26	
1550000	458.019086	1	-1.831279119923	1.276026959084	-0.053199558364	0.005544985049	0.000121466027	0.961727594481	N\A	0.058339271834	0.008061163117	0.024885510387	45	29	
1600000	453.080684	1	-1.667745763916	1.147736475186	-0.030068375029	0.010701715415	0.000095870438	0.957634926469	N\A	0.060831076934	0.008085055482	0.027076148055	43	19	
1650000	461.857950	1	-1.821186614189	1.250096042904	-0.041831902955	-0.018344593631	0.000133900973	0.960452023197	N\A	0.055289716136	0.007215402186	0.024466910925	44	21	
1700000	455.315211	1	-1.834986409170	1.240586473156	-0.030920772130	-0.061326692283	0.000170301438	0.962700037866	N\A	0.055997862381	0.007834894423	0.026485096633	38	21	
1750000	455.048242	1	-1.859244517993	1.283729430034	-0.040704569253	-0.041364630661	0.000127865748	0.960742857651	N\A	0.053820147468	0.007489459631	0.025564618881	46	27	
1800000	454.841434	1	-1.636234382079	1.146925572319	-0.034669356522	0.013083026777	0.000237311567	0.960308629066	N\A	0.055238015446	0.007791139270	0.027129798666	40	23	
1850000	456.994657	1	-1.878506574106	1.278405061064	-0.047988363172	-0.003875051322	0.000107176926	0.961059934587	N\A	0.056168856855	0.007621848913	0.024705312232	45	22	
1900000	451.760638	1	-1.778224925839	1.208394711338	-0.033777356571	-0.033105206865	0.000136262994	0.965301199350	N\A	0.054125179151	0.007327935031	0.025146656199	44	18	
1950000	447.714836	1	-1.829138399996	1.284150071437	-0.041904791450	-0.055605406185	0.000109768964	0.961324936407	N\A	0.057201710375	0.008157471726	0.025784389047	47	20	
2000000	453.119181	1	-1.940699724117	1.317742746155	-0.039019056902	-0.079235513317	0.000116010358	0.959972831657	N\A	0.060752971912	0.008468616453	0.028452680018	45	21	
2050000	469.346213	1	-1.886027469088	1.297624797494	-0.049093001527	-0.018859708845	0.000101093722	0.962094888968	N\A	0.059087009522	0.008046187058	0.027573365913	41	18	
2100000	457.418866	1	-1.895287642326	1.317773295510	-0.056443440715	-0.008912591985	0.000148684338	0.957417964573	N\A	0.057883641144	0.007970408871	0.026694968292	51	24	
2150000	467.531689	1	-1.763939093295	1.222523596162	-0.050093697946	0.040330029628	0.000130698190	0.965111331452	N\A	0.054414223210	0.007511338773	0.023599408789	51	19	
2200000	472.262227	1	-1.841329155497	1.284434529573	-0.040214199049	-0.063355129291	0.000100379444	0.965516132807	N\A	0.057498258558	0.007583850079	0.024974884943	43	21	
2250000	470.214827	1	-1.610332658922	1.133119392337	-0.027782897311	-0.000734751950	0.000088536908	0.965553266213	N\A	0.051879247951	0.007449063831	0.023612696138	46	27	
