Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  SCH_d1_m9-VR-005.txt
Log File Name:                   SCH_d1_m9-VR-005.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            4147456392
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   SCH_d1_m9-VR-005.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Branch	No RJ Local Node	
1000000	456.272913	1	-2.186564209319	1.535765289385	-0.077161371407	-0.143195526025	0.021412100988	0.000105869841	0.960877352421	N\A	0.121952260054	0.017578144094	0.049126854403	0.008569249340	54	21	
1050000	464.721239	1	-1.898116533868	1.318194235854	-0.052251637924	-0.053881210865	0.008640711760	0.000136907582	0.964363526219	N\A	0.093348184273	0.013575642231	0.043238443501	0.007442478468	43	25	
1100000	467.586842	1	-2.232820344438	1.562802127133	-0.084169792926	-0.121258783805	0.018403097551	0.000121755472	0.961602443388	N\A	0.114304244424	0.015369179017	0.049605012685	0.008083561231	48	17	
1150000	440.942865	1	-2.543168178602	1.843444388153	-0.120041370485	-0.286108389938	0.048902922512	0.000172010630	0.959071079479	N\A	0.139220275927	0.020878704099	0.054254488188	0.010184978237	53	29	
1200000	466.158486	1	-2.019553310019	1.437159856280	-0.072320148651	-0.094822301518	0.018327409287	0.000081397197	0.963215923870	N\A	0.107740503922	0.015131201413	0.046876826263	0.007804228237	42	22	
1250000	453.401681	1	-2.081396817545	1.451009749242	-0.068616725195	-0.083549341749	0.010109471994	0.000106056516	0.962100534306	N\A	0.118682917243	0.015477571732	0.051454955868	0.008188379391	47	22	
1300000	454.948771	1	-2.090997699051	1.465425363378	-0.077494460080	-0.081752220007	0.015883386529	0.000144499774	0.960062748772	N\A	0.118178285993	0.017665470225	0.047208618495	0.008694862296	56	25	
1350000	470.297994	1	-1.920528614718	1.356022570300	-0.052541234939	-0.085422898591	0.009340375821	0.000082325235	0.960513511319	N\A	0.121049619344	0.017985389224	0.049150516586	0.008746350701	43	20	
1400000	457.435646	1	-2.177116971571	1.513546116247	-0.079103397390	-0.121061497710	0.022924838147	0.000119228202	0.959530792633	N\A	0.123631936857	0.017403138236	0.050097484257	0.008417443711	48	21	
1450000	457.112424	1	-2.283943298308	1.569090696840	-0.071804985591	-0.198683906157	0.021508517196	0.000166426828	0.961575593609	N\A	0.118211817670	0.017180044450	0.049677122626	0.008996047714	45	23	
