Species_TTOL	SCH	rest_of_brain	rest_of_brain2	BOD	BOD2
Anourosorex_squamipes	1.156	3.0789623596587	9.48000921219507	1.307	1.708249
Atelerix_algirus	2.047	3.0789623596587	9.48000921219507	2.867	8.219689
Blarina_brevicauda	1.173	3.0789623596587	9.48000921219507	1.267	1.605289
Chrysochloris_asiatica	1.321	3.0789623596587	9.48000921219507	1.69	2.8561
Chrysochloris_stuhlmanni	1.329	3.0789623596587	9.48000921219507	1.626	2.643876
Crocidura_attenuata	0.819	3.0789623596587	9.48000921219507	0.968	0.937024
Crocidura_flavescens	1.122	3.0789623596587	9.48000921219507	1.467	2.152089
Crocidura_hildegardeae	0.752	3.0789623596587	9.48000921219507	0.996	0.992016
Crocidura_denti	0.852	3.0789623596587	9.48000921219507	1.079	1.164241
Crocidura_russula	0.767	3.0789623596587	9.48000921219507	1.049	1.100401
Crocidura_suaveolens	0.795	3.0789623596587	9.48000921219507	1.013	1.026169
Cryptotis_parvus	0.984	3.0789623596587	9.48000921219507	0.991226075692495	0.982529133132744
Desmana_moschata	2.213	3.0789623596587	9.48000921219507	2.646	7.001316
Echinops_telfairi	1.12	3.0789623596587	9.48000921219507	1.942	3.771364
Echinosorex_gymnura	2.298	3.0789623596587	9.48000921219507	2.921	8.532241
Erinaceus_europaeus	2.13	3.0789623596587	9.48000921219507	2.929	8.579041
Euroscaptor_micrura	1.461	3.0789623596587	9.48000921219507	1.617	2.614689
Galemys_pyrenaicus	1.651	3.0789623596587	9.48000921219507	1.778	3.161284
Geogale_aurita	0.305	3.0789623596587	9.48000921219507	1	1
Hemicentetes_semispinosus	1.464	3.0789623596587	9.48000921219507	2.062	4.251844
Hemiechinus_auritus	1.832	3.0789623596587	9.48000921219507	2.371	5.621641
Hylomys_suillus	1.712	3.0789623596587	9.48000921219507	1.756	3.083536
Limnogale_mergulus	1.561	3.0789623596587	9.48000921219507	1.964	3.857296
Microgale_dobsoni	1.211	3.0789623596587	9.48000921219507	1.504	2.262016
Microgale_talazaci	1.354	3.0789623596587	9.48000921219507	1.683	2.832489
Micropotamogale_lamottei	1.517	3.0789623596587	9.48000921219507	1.808	3.268864
Micropotamogale_ruwenzorii	1.571	3.0789623596587	9.48000921219507	1.986	3.944196
Myosorex_sclateri	0.918	3.0789623596587	9.48000921219507	1.23	1.5129
Neomys_anomalus	1.079	3.0789623596587	9.48000921219507	1.037	1.075369
Neomys_fodiens	1.039	3.0789623596587	9.48000921219507	1.182	1.397124
Oryzorictes_hova	1.371	3.0789623596587	9.48000921219507	1.645	2.706025
Parascalops_breweri	1.529	3.0789623596587	9.48000921219507	1.731	2.996361
Potamogale_velox	2.092	3.0789623596587	9.48000921219507	2.791	7.789681
Ruwenzorisorex_suncoides	1.115	3.0789623596587	9.48000921219507	1.262	1.592644
Scalopus_aquaticus	1.829	3.0789623596587	9.48000921219507	2.061	4.247721
Scutisorex_somereni	1.283	3.0789623596587	9.48000921219507	1.792	3.211264
Setifer_setosus	1.681	3.0789623596587	9.48000921219507	2.373	5.631129
Solenodon_paradoxus	2.199	3.0789623596587	9.48000921219507	2.826	7.986276
Sorex_alpinus	0.988	3.0789623596587	9.48000921219507	1.033	1.067089
