Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  SCH_d1_m9-fab-005.txt
Log File Name:                   SCH_d1_m9-fab-005.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            68364231
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   SCH_d1_m9-fab-005.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.179389
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.74 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Node	No RJ LS Betas	
1000000	480.581414	1	-1.998916506562	1.411856761297	-0.070415744790	-0.073715668586	0.017715494776	0.000090792510	0.969913134972	N\A	0.095720134888	0.013884895970	0.041521702727	0.006705333992	39	2	
1050000	485.915150	1	-1.800163246907	1.246986328944	-0.035489000473	-0.071564776562	0.007749541330	0.000106025182	0.966176491269	N\A	0.115139243683	0.017125168051	0.046361340264	0.008323168934	21	6	
1100000	480.469101	1	-1.874252493010	1.322026698851	-0.062245331518	-0.030763962037	0.012548001704	0.000114467718	0.963773945096	N\A	0.109669469432	0.016065913504	0.045731590303	0.008155870345	33	2	
1150000	489.388497	1	-1.857865693831	1.304683702945	-0.059998328874	-0.026162242161	0.014544139988	0.000127360824	0.964567525844	N\A	0.106078267429	0.015630245720	0.043266222603	0.007881396580	35	4	
1200000	456.021832	1	-1.829934586803	1.319843651028	-0.069980334681	-0.003527691926	0.011582879443	0.000055508565	0.953642988644	N\A	0.107622430692	0.014037381976	0.050516899757	0.007923062305	29	1	
1250000	473.424298	1	-2.358159141866	1.663261554568	-0.094875747838	-0.185467630933	0.025885812031	0.000071176766	0.965010013476	N\A	0.112504900052	0.016037922128	0.047136445820	0.008366321376	34	2	
1300000	473.335820	1	-1.739073379639	1.190827854089	-0.039540630960	0.015923471063	0.000398528645	0.000132410854	0.965055083843	N\A	0.106108772045	0.015332790012	0.044494007577	0.007941787725	35	1	
1350000	479.474335	1	-2.169918436686	1.514030346879	-0.068485202577	-0.144118949429	0.013761790764	0.000110278470	0.965878052776	N\A	0.107861163753	0.014709637932	0.046374504333	0.007641359205	30	3	
1400000	485.320189	1	-2.042084811830	1.453148160625	-0.070067891998	-0.125795788676	0.022613169779	0.000122700304	0.964801812409	N\A	0.099483942143	0.014392543623	0.043367163664	0.008029186603	44	4	
1450000	466.331354	1	-2.198073405522	1.545859090215	-0.080842561195	-0.135615343475	0.020227823724	0.000147161097	0.978147334384	N\A	0.121443521688	0.017021735913	0.048288543517	0.008410783889	50	3	
