Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  SCH_d1_m9-glob-005.txt
Log File Name:                   SCH_d1_m9-glob-005.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            3241486415
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   SCH_d1_m9-glob-005.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.179389
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.74 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Node	No RJ LS Betas	Global Trend	
1000000	487.544050	1	-1.782591503559	1.385362062175	-0.068511781570	-0.082548127462	0.018728815892	0.000128374114	0.965727390006	N\A	0.087256862823	0.012188423686	0.042002336152	0.007012974222	32	2	0.003464004528	Global Trend	
1050000	475.874046	1	-1.899844243251	1.384052462647	-0.061998912882	-0.089979973795	0.016208215620	0.000127131878	0.965041195799	N\A	0.099912799186	0.013492580542	0.044955930118	0.007355800313	38	2	0.001521795235	Global Trend	
1100000	476.736862	1	-1.972077943986	1.477161937200	-0.086815061451	-0.075631449864	0.024056922272	0.000114546877	0.968104072376	N\A	0.101982467122	0.014808839506	0.044464956843	0.007584104613	33	2	0.001670131574	Global Trend	
1150000	474.497101	1	-1.696930282393	1.246680546250	-0.050562624987	0.005906371126	-0.000886381372	0.000101735520	0.960504592413	N\A	0.101556842587	0.014025477294	0.047875213622	0.008235441665	42	1	0.001671185593	Global Trend	
1200000	472.056235	1	-1.717169496362	1.211484358531	-0.041631229724	0.008770488654	-0.001930623189	0.000048251801	0.958590268472	N\A	0.104684534775	0.014598413815	0.047202463888	0.008165124551	30	1	0.000490420021	Global Trend	
1250000	464.298990	1	-1.584289044874	1.149796066456	-0.025640114319	-0.020033989302	0.000080239802	0.000237456391	0.960942092482	N\A	0.085549175075	0.012569478831	0.042516700970	0.007196058459	34	1	0.005492310494	Global Trend	
1300000	483.827523	1	-1.468143102255	1.263762170616	-0.046761267631	-0.013761512234	0.002887098568	0.000302790745	0.964121849879	N\A	0.062351837121	0.008581675864	0.038564162553	0.006399701813	38	2	0.018758926669	Global Trend	
1350000	474.482283	1	-1.938046643566	1.394885192583	-0.062471212112	-0.068726324567	0.010702467571	0.000114795055	0.961890080202	N\A	0.109280170339	0.015618775352	0.047795681086	0.008216309785	25	2	0.001433219138	Global Trend	
1400000	477.943808	1	-1.732146898463	1.241676058817	-0.049204423335	-0.026123281475	0.008183167346	0.000132564929	0.967017653040	N\A	0.092772940839	0.012644553417	0.041746789153	0.006977398414	38	4	-0.000049767227	Global Trend	
1450000	477.183752	1	-1.624504629952	1.135949393553	-0.022563776936	0.010986913484	-0.007423426919	0.000126760597	0.962859203633	N\A	0.097904558389	0.014054048490	0.044592006367	0.007545101557	37	7	-0.000172880840	Global Trend	
