Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  SEP_d1_m1-bm-004.txt
Log File Name:                   SEP_d1_m1-bm-004.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1520708189
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   SEP_d1_m1-bm-004.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     1
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Restrictions:
    Beta-1                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      2
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Var	R^2	s.e. Alpha	s.e. Beta-1	
1000000	298.016727	1	0.068157541051	0.593142715357	0.000443451411	0.870448178351	N\A	0.012193632454	
1050000	295.694995	1	0.152715736235	0.555470125323	0.000449477896	0.868687574787	N\A	0.012276208315	
1100000	297.961503	1	0.113587178346	0.572902783586	0.000443593812	0.870406576742	N\A	0.012195590103	
1150000	298.297952	1	0.097708231751	0.579977213734	0.000442726947	0.870659826184	N\A	0.012183668060	
1200000	297.951076	1	0.066032690081	0.594089384562	0.000443620705	0.870398719963	N\A	0.012195959785	
1250000	296.491616	1	0.142355508247	0.560085841408	0.000447400946	0.869294344056	N\A	0.012247812484	
1300000	297.995174	1	0.067437951373	0.593463308847	0.000443506982	0.870431943484	N\A	0.012194396457	
1350000	298.225890	1	0.102871397461	0.577676906535	0.000442912472	0.870605626229	N\A	0.012186220574	
1400000	297.612266	1	0.122766096295	0.568813367864	0.000444495420	0.870143176813	N\A	0.012207977642	
1450000	298.041534	1	0.069016219993	0.592760154451	0.000443387458	0.870466861820	N\A	0.012192753163	
1500000	297.992410	1	0.112597311450	0.573343791695	0.000443514109	0.870429861504	N\A	0.012194494430	
1550000	296.943083	1	0.135474941156	0.563151289798	0.000446228143	0.869636971812	N\A	0.012231748932	
1600000	298.257732	1	0.100894896045	0.578557482656	0.000442830484	0.870629578552	N\A	0.012185092620	
1650000	296.585561	1	0.140998804433	0.560690283668	0.000447156643	0.869365715549	N\A	0.012244468084	
1700000	297.422536	1	0.126812008877	0.567010822224	0.000444986007	0.869999854741	N\A	0.012214712714	
1750000	297.284759	1	0.129493727292	0.565816055966	0.000445342595	0.869895679647	N\A	0.012219605839	
1800000	297.783675	1	0.061316177178	0.596190697825	0.000444052674	0.870272522564	N\A	0.012201896161	
1850000	298.029534	1	0.068596580061	0.592947113540	0.000443418391	0.870457824858	N\A	0.012193178473	
1900000	296.836350	1	0.042754137874	0.604460506510	0.000446505132	0.869556050813	N\A	0.012235544686	
1950000	298.257401	1	0.100917293191	0.578547504221	0.000442831337	0.870629329396	N\A	0.012185104353	
2000000	298.330674	1	0.086584264846	0.584933192795	0.000442642727	0.870684430637	N\A	0.012182509152	
2050000	297.191310	1	0.131214653092	0.565049344567	0.000445584619	0.869824973504	N\A	0.012222925805	
2100000	298.177343	1	0.074538989010	0.590299635839	0.000443037502	0.870569099426	N\A	0.012187940480	
2150000	298.097247	1	0.071085972522	0.591838032848	0.000443243861	0.870508812882	N\A	0.012190778609	
2200000	298.296742	1	0.082121710040	0.586921361976	0.000442730060	0.870658916743	N\A	0.012183710894	
2250000	298.276252	1	0.099559962155	0.579152225923	0.000442782807	0.870643507190	N\A	0.012184436649	
2300000	298.311688	1	0.083684186681	0.586225243264	0.000442691592	0.870670155100	N\A	0.012183181566	
2350000	298.047246	1	0.069218953268	0.592669832188	0.000443372733	0.870471163501	N\A	0.012192550706	
2400000	298.151413	1	0.106602021910	0.576014828896	0.000443104298	0.870549585262	N\A	0.012188859227	
2450000	296.917818	1	0.135886722269	0.562967831991	0.000446293693	0.869617821666	N\A	0.012232647313	
2500000	298.105443	1	0.071409851591	0.591693737391	0.000443222740	0.870514983086	N\A	0.012190488163	
2550000	298.335107	1	0.087752314368	0.584412800292	0.000442631321	0.870687763001	N\A	0.012182352184	
2600000	298.203528	1	0.075849398494	0.589715818751	0.000442970059	0.870588802542	N\A	0.012187012766	
2650000	298.331384	1	0.086742729175	0.584862593349	0.000442640901	0.870684964112	N\A	0.012182484023	
2700000	297.737863	1	0.060154464004	0.596708267341	0.000444170963	0.870237965228	N\A	0.012203521248	
2750000	298.337230	1	0.091310740032	0.582827441110	0.000442625858	0.870689358878	N\A	0.012182277011	
2800000	296.639135	1	0.140209069108	0.561042128632	0.000447017387	0.869406398451	N\A	0.012242561313	
2850000	298.210973	1	0.103699926269	0.577307778196	0.000442950887	0.870594403376	N\A	0.012186749040	
2900000	298.179961	1	0.074664980674	0.590243503701	0.000443030758	0.870571069732	N\A	0.012187847712	
2950000	297.948137	1	0.065941956554	0.594129808403	0.000443628284	0.870396505767	N\A	0.012196063966	
3000000	298.086476	1	0.070668557990	0.592024000471	0.000443271619	0.870500703328	N\A	0.012191160335	
3050000	298.252306	1	0.078688465411	0.588450950174	0.000442844454	0.870625497273	N\A	0.012185284821	
3100000	295.682029	1	0.152870607412	0.555401126708	0.000449511779	0.868677675977	N\A	0.012276671019	
3150000	295.431027	1	0.024145411613	0.612751115290	0.000450168238	0.868485895278	N\A	0.012285632060	
3200000	296.982827	1	0.045124995088	0.603404235954	0.000446125045	0.869667091181	N\A	0.012230335825	
3250000	297.950988	1	0.113914672998	0.572756877305	0.000443620932	0.870398653569	N\A	0.012195962909	
3300000	298.331164	1	0.093251895455	0.581962612428	0.000442641468	0.870684798587	N\A	0.012182491820	
3350000	298.337765	1	0.088972621571	0.583869125810	0.000442624479	0.870689761773	N\A	0.012182258033	
3400000	298.307147	1	0.083171460925	0.586453674194	0.000442703278	0.870666741051	N\A	0.012183342370	
3450000	298.196202	1	0.075470825687	0.589884481506	0.000442988929	0.870583289840	N\A	0.012187272337	
3500000	297.903217	1	0.115349522483	0.572117619380	0.000443744159	0.870362653438	N\A	0.012197656664	
3550000	297.728482	1	0.059922091058	0.596811794748	0.000444195188	0.870230888061	N\A	0.012203854031	
3600000	297.646273	1	0.057957207405	0.597687194893	0.000444407545	0.870168849098	N\A	0.012206770842	
3650000	298.259405	1	0.079163550034	0.588239289220	0.000442826177	0.870630836726	N\A	0.012185033367	
3700000	298.293438	1	0.081816573925	0.587057307022	0.000442738565	0.870656432097	N\A	0.012183827918	
3750000	298.276541	1	0.099537643520	0.579162169380	0.000442782062	0.870643724652	N\A	0.012184426408	
3800000	298.206000	1	0.103965251787	0.577189569672	0.000442963695	0.870590661759	N\A	0.012186925222	
