Species_TTOL	SEP	BOD	GroupChiroptera_mega	GroupChiroptera_micro	GroupEuarchontoglires	GroupEulipotyphla	GroupMarsupials	BOD_GroupChiroptera_mega	BOD_GroupChiroptera_micro	BOD_GroupEuarchontoglires	BOD_GroupEulipotyphla	BOD_GroupMarsupials
Anourosorex_squamipes	0.786	1.307	0	0	0	1	0	0	0	0	1.307	0
Atelerix_algirus	1.641	2.867	0	0	0	1	0	0	0	0	2.867	0
Blarina_brevicauda	0.832	1.267	0	0	0	1	0	0	0	0	1.267	0
Chrysochloris_asiatica	1.084	1.69	0	0	0	0	0	0	0	0	0	0
Chrysochloris_stuhlmanni	1.053	1.626	0	0	0	0	0	0	0	0	0	0
Crocidura_attenuata	0.486	0.968	0	0	0	1	0	0	0	0	0.968	0
Crocidura_flavescens	0.779	1.467	0	0	0	1	0	0	0	0	1.467	0
Crocidura_hildegardeae	0.52	0.996	0	0	0	1	0	0	0	0	0.996	0
Crocidura_denti	0.534	1.079	0	0	0	1	0	0	0	0	1.079	0
Crocidura_russula	0.508	1.049	0	0	0	1	0	0	0	0	1.049	0
Crocidura_suaveolens	0.461	1.013	0	0	0	1	0	0	0	0	1.013	0
Cryptotis_parvus	0.614	0.991226075692495	0	0	0	1	0	0	0	0	0.991226075692495	0
Desmana_moschata	1.63	2.646	0	0	0	1	0	0	0	0	2.646	0
Echinops_telfairi	1.062	1.942	0	0	0	0	0	0	0	0	0	0
Echinosorex_gymnura	1.885	2.921	0	0	0	1	0	0	0	0	2.921	0
Erinaceus_europaeus	1.716	2.929	0	0	0	1	0	0	0	0	2.929	0
Euroscaptor_micrura	1.124	1.617	0	0	0	1	0	0	0	0	1.617	0
Galemys_pyrenaicus	1.303	1.778	0	0	0	1	0	0	0	0	1.778	0
Geogale_aurita	0.31	1	0	0	0	0	0	0	0	0	0	0
Hemicentetes_semispinosus	1.125	2.062	0	0	0	0	0	0	0	0	0	0
Hemiechinus_auritus	1.448	2.371	0	0	0	1	0	0	0	0	2.371	0
Hylomys_suillus	1.243	1.756	0	0	0	1	0	0	0	0	1.756	0
Limnogale_mergulus	1.291	1.964	0	0	0	0	0	0	0	0	0	0
Microgale_dobsoni	0.979	1.504	0	0	0	0	0	0	0	0	0	0
Microgale_talazaci	1.056	1.683	0	0	0	0	0	0	0	0	0	0
Micropotamogale_lamottei	1.178	1.808	0	0	0	0	0	0	0	0	0	0
Micropotamogale_ruwenzorii	1.237	1.986	0	0	0	0	0	0	0	0	0	0
Myosorex_sclateri	0.747	1.23	0	0	0	1	0	0	0	0	1.23	0
Neomys_anomalus	0.632	1.037	0	0	0	1	0	0	0	0	1.037	0
Neomys_fodiens	0.757	1.182	0	0	0	1	0	0	0	0	1.182	0
Oryzorictes_hova	1.002	1.645	0	0	0	0	0	0	0	0	0	0
Parascalops_breweri	1.128	1.731	0	0	0	1	0	0	0	0	1.731	0
Potamogale_velox	1.693	2.791	0	0	0	0	0	0	0	0	0	0
Ruwenzorisorex_suncoides	0.78	1.262	0	0	0	1	0	0	0	0	1.262	0
Scalopus_aquaticus	1.239	2.061	0	0	0	1	0	0	0	0	2.061	0
Scutisorex_somereni	1.036	1.792	0	0	0	1	0	0	0	0	1.792	0
Setifer_setosus	1.394	2.373	0	0	0	0	0	0	0	0	0	0
Solenodon_paradoxus	1.821	2.826	0	0	0	1	0	0	0	0	2.826	0
Sorex_alpinus	0.604	1.033	0	0	0	1	0	0	0	0	1.033	0
Sorex_araneus	0.53	0.987	0	0	0	1	0	0	0	0	0.987	0
Sorex_cinereus	0.42	0.633	0	0	0	1	0	0	0	0	0.633	0
Sorex_fumeus	0.573	0.924	0	0	0	1	0	0	0	0	0.924	0
Sorex_hoyi	0.228	0.42	0	0	0	1	0	0	0	0	0.42	0
Sorex_minutus	0.26	0.633	0	0	0	1	0	0	0	0	0.633	0
Suncus_etruscus	0.017	0.762	0	0	0	1	0	0	0	0	0.762	0
Suncus_murinus	0.777	1.529	0	0	0	1	0	0	0	0	1.529	0
Sylvisorex_granti	0.428	0.591	0	0	0	1	0	0	0	0	0.591	0
Suncus_megalura	0.467	0.74	0	0	0	1	0	0	0	0	0.74	0
Talpa_europaea	1.178	1.908	0	0	0	1	0	0	0	0	1.908	0
Tenrec_ecaudatus	1.57	2.935	0	0	0	0	0	0	0	0	0	0
Aepyprymnus_rufescens	2.074816	3.392697	0	0	0	0	1	0	0	0	0	3.392697
Antechinus_flavipes	0.949878	1.568202	0	0	0	0	1	0	0	0	0	1.568202
Antechinus_minimus	1.041393	1.724276	0	0	0	0	1	0	0	0	0	1.724276
Bettongia_gaimardi	2.088136	3.176091	0	0	0	0	1	0	0	0	0	3.176091
Bettongia_penicillata	2.038223	3.079181	0	0	0	0	1	0	0	0	0	3.079181
Burramys_parvus	1.152288	1.770852	0	0	0	0	1	0	0	0	0	1.770852
Cercartetus_nanus	0.900913	1.278754	0	0	0	0	1	0	0	0	0	1.278754
Dactylopsila_trivirgata	1.778151	2.643453	0	0	0	0	1	0	0	0	0	2.643453
Dasycercus_cristicauda	1.305351	2	0	0	0	0	1	0	0	0	0	2
Dasyuroides_byrnei	1.338456	2.146128	0	0	0	0	1	0	0	0	0	2.146128
Dasyurus_geoffroii	1.775246	2.69897	0	0	0	0	1	0	0	0	0	2.69897
Dasyurus_hallucatus	1.583199	3.021189	0	0	0	0	1	0	0	0	0	3.021189
Dendrolagus_lumholtzi	2.280123	3.78533	0	0	0	0	1	0	0	0	0	3.78533
Distoechurus_pennatus	1.170262	1.633468	0	0	0	0	1	0	0	0	0	1.633468
Dorcopsis	2.163161	3.462398	0	0	0	0	1	0	0	0	0	3.462398
Echymipera_kalubu	1.701568	2.819544	0	0	0	0	1	0	0	0	0	2.819544
Gymnobelideus_leadbeateri	1.488551	2.041393	0	0	0	0	1	0	0	0	0	2.041393
Hypsiprymnodon_moschatus	1.800717	2.748188	0	0	0	0	1	0	0	0	0	2.748188
Isoodon_macrourus	1.769377	3.033424	0	0	0	0	1	0	0	0	0	3.033424
Isoodon_obesulus_obesulus	1.816241	3.004321	0	0	0	0	1	0	0	0	0	3.004321
Osphranter_antilopinus	2.608205	4.537819	0	0	0	0	1	0	0	0	0	4.537819
Macropus_giganteus	2.591176	4.563481	0	0	0	0	1	0	0	0	0	4.563481
Notamacropus_irma	2.356599	3.819544	0	0	0	0	1	0	0	0	0	3.819544
Notamacropus_parma	2.13226	3.536558	0	0	0	0	1	0	0	0	0	3.536558
Notamacropus_parryi	2.504199	4.170262	0	0	0	0	1	0	0	0	0	4.170262
Osphranter_robustus	2.533899	4.409933	0	0	0	0	1	0	0	0	0	4.409933
Osphranter_rufus	2.644832	4.494155	0	0	0	0	1	0	0	0	0	4.494155
Thylamys_pallidior	0.910624	1.477121	0	0	0	0	1	0	0	0	0	1.477121
Marmosops_impavidus	1.227887	1.845098	0	0	0	0	1	0	0	0	0	1.845098
Monodelphis_brevicaudata	1.117271	1.924279	0	0	0	0	1	0	0	0	0	1.924279
Notoryctes_typhlops	1.190332	1.531479	0	0	0	0	1	0	0	0	0	1.531479
Petauroides_volans	1.633468	3.09691	0	0	0	0	1	0	0	0	0	3.09691
Petaurus_australis	1.767156	2.748188	0	0	0	0	1	0	0	0	0	2.748188
Petaurus_breviceps	1.437751	2.113943	0	0	0	0	1	0	0	0	0	2.113943
Petaurus_norfolcensis	1.561101	2.374748	0	0	0	0	1	0	0	0	0	2.374748
Petrogale_inornata	2.200577	3.628389	0	0	0	0	1	0	0	0	0	3.628389
Petrogale_lateralis	2.130012	3.556303	0	0	0	0	1	0	0	0	0	3.556303
Petrogale_penicillata	2.299071	3.690196	0	0	0	0	1	0	0	0	0	3.690196
Petrogale_purpureicollis	2.215109	3.740363	0	0	0	0	1	0	0	0	0	3.740363
Petropseudes_dahli	1.752816	3.127105	0	0	0	0	1	0	0	0	0	3.127105
Phascolarctos_cinereus	2.223496	3.968483	0	0	0	0	1	0	0	0	0	3.968483
Planigale_ingrami	0.158362	0.826075	0	0	0	0	1	0	0	0	0	0.826075
Planigale_maculata	0.535294	1.041393	0	0	0	0	1	0	0	0	0	1.041393
Potorous_tridactylus_tridactylus	2.071145	3.089905	0	0	0	0	1	0	0	0	0	3.089905
Pseudochirulus_canescens	1.469822	2.447158	0	0	0	0	1	0	0	0	0	2.447158
Pseudochirulus_forbesi	1.603144	2.70757	0	0	0	0	1	0	0	0	0	2.70757
Sarcophilus_harrisii	2.240549	3.732394	0	0	0	0	1	0	0	0	0	3.732394
Sminthopsis_crassicaudata	0.774517	1.146128	0	0	0	0	1	0	0	0	0	1.146128
Sminthopsis_leucopus	0.840106	1.361728	0	0	0	0	1	0	0	0	0	1.361728
Phalanger_gymnotis	2.186108	3.451786	0	0	0	0	1	0	0	0	0	3.451786
Thylacinus_cynocephalus	2.554489	4.342423	0	0	0	0	1	0	0	0	0	4.342423
Thylogale_billardierii	2.319314	3.845098	0	0	0	0	1	0	0	0	0	3.845098
Thylogale_stigmatica	2.231215	3.653213	0	0	0	0	1	0	0	0	0	3.653213
Trichosurus_vulpecula	2.114611	3.30103	0	0	0	0	1	0	0	0	0	3.30103
Vombatus_ursinus	2.571243	4.357935	0	0	0	0	1	0	0	0	0	4.357935
Wallabia_bicolor	2.491362	4.198657	0	0	0	0	1	0	0	0	0	4.198657
Balionycteris_maculata	0.926	1.158	1	0	0	0	0	1.158	0	0	0	0
Casinycteris_argynnis	1.086	1.428	1	0	0	0	0	1.428	0	0	0	0
Chironax_melanocephalus	0.979	1.248	1	0	0	0	0	1.248	0	0	0	0
Cynopterus_brachyotis	1.164	1.53	1	0	0	0	0	1.53	0	0	0	0
Cynopterus_horsfieldii	1.267	1.773	1	0	0	0	0	1.773	0	0	0	0
Cynopterus_sphinx	1.238	1.713	1	0	0	0	0	1.713	0	0	0	0
Dobsonia_inermis	1.593	2.173	1	0	0	0	0	2.173	0	0	0	0
Dobsonia_moluccensis	1.786	2.543	1	0	0	0	0	2.543	0	0	0	0
Dobsonia_praedatrix	1.621	2.25	1	0	0	0	0	2.25	0	0	0	0
Eidolon_helvum	1.79	2.418	1	0	0	0	0	2.418	0	0	0	0
Eonycteris_spelaea	1.299	1.769	1	0	0	0	0	1.769	0	0	0	0
Epomophorus_labiatus	1.33	1.806	1	0	0	0	0	1.806	0	0	0	0
Epomops_franqueti	1.461	2.072	1	0	0	0	0	2.072	0	0	0	0
Hypsignathus_monstrosus	1.659	2.491	1	0	0	0	0	2.491	0	0	0	0
Macroglossus_minimus	0.911	1.164	1	0	0	0	0	1.164	0	0	0	0
Megaerops_ecaudatus	1.061	1.38	1	0	0	0	0	1.38	0	0	0	0
Megaloglossus_woermanni	1.009	1.253	1	0	0	0	0	1.253	0	0	0	0
Melonycteris_melanops	1.248	1.675	1	0	0	0	0	1.675	0	0	0	0
Melonycteris_woodfordi	1.155	1.549	1	0	0	0	0	1.549	0	0	0	0
Epomophorus_pusillus	1.053	1.4	1	0	0	0	0	1.4	0	0	0	0
Myonycteris_torquata	1.243	1.561	1	0	0	0	0	1.561	0	0	0	0
Notopteris_macdonaldi	1.373	1.841	1	0	0	0	0	1.841	0	0	0	0
Nyctimene_albiventer	1.072	1.473	1	0	0	0	0	1.473	0	0	0	0
Nyctimene_robinsoni	1.236	1.673	1	0	0	0	0	1.673	0	0	0	0
Nyctimene_vizcaccia	1.146	1.549	1	0	0	0	0	1.549	0	0	0	0
Paranyctimene_raptor	0.975	1.417	1	0	0	0	0	1.417	0	0	0	0
Pteropus_alecto	1.956	2.775	1	0	0	0	0	2.775	0	0	0	0
Pteropus_conspicillatus	1.987	2.875	1	0	0	0	0	2.875	0	0	0	0
Pteropus_hypomelanus	1.844	2.591	1	0	0	0	0	2.591	0	0	0	0
Pteropus_lylei	1.845	2.497	1	0	0	0	0	2.497	0	0	0	0
Pteropus_neohibernicus	1.986	2.924	1	0	0	0	0	2.924	0	0	0	0
Pteropus_poliocephalus	1.955	2.842	1	0	0	0	0	2.842	0	0	0	0
Pteropus_samoensis	1.827	2.491	1	0	0	0	0	2.491	0	0	0	0
Pteropus_scapulatus	1.829	2.574	1	0	0	0	0	2.574	0	0	0	0
Pteropus_temminckii	1.808	2.398	1	0	0	0	0	2.398	0	0	0	0
Pteropus_tonganus	1.87	2.652	1	0	0	0	0	2.652	0	0	0	0
Pteropus_vampyrus	2.055	3.027	1	0	0	0	0	3.027	0	0	0	0
Rousettus_aegyptiacus	1.505	2.111	1	0	0	0	0	2.111	0	0	0	0
Rousettus_amplexicaudatus	1.36	1.856	1	0	0	0	0	1.856	0	0	0	0
Scotonycteris_zenkeri	0.965	1.328	1	0	0	0	0	1.328	0	0	0	0
Sphaerias_blanfordi	1.161	1.47	1	0	0	0	0	1.47	0	0	0	0
Syconycteris_australis	0.991	1.207	1	0	0	0	0	1.207	0	0	0	0
Anoura_caudifer	0.76	1.025	0	1	0	0	0	0	1.025	0	0	0
Anoura_geoffroyi	0.93	1.204	0	1	0	0	0	0	1.204	0	0	0
Ardops_nichollsi	0.87	1.352	0	1	0	0	0	0	1.352	0	0	0
Artibeus_cinereus	0.79	1.1	0	1	0	0	0	0	1.1	0	0	0
Artibeus_concolor	0.88	1.288	0	1	0	0	0	0	1.288	0	0	0
Artibeus_jamaicensis	1.08	1.613	0	1	0	0	0	0	1.613	0	0	0
Artibeus_lituratus	1.18	1.748	0	1	0	0	0	0	1.748	0	0	0
Aselliscus_stoliczkanus	0.22	0.69	0	1	0	0	0	0	0.69	0	0	0
Aselliscus_tricuspidatus	0.24	0.643	0	1	0	0	0	0	0.643	0	0	0
Brachyphylla_cavernarum	1.24	1.648	0	1	0	0	0	0	1.648	0	0	0
Cardioderma_cor	0.84	1.415	0	1	0	0	0	0	1.415	0	0	0
Carollia_perspicillata	0.85	1.25	0	1	0	0	0	0	1.25	0	0	0
Chalinolobus_gouldii	0.53	1.068	0	1	0	0	0	0	1.068	0	0	0
Chalinolobus_morio	0.43	0.919	0	1	0	0	0	0	0.919	0	0	0
Chiroderma_salvini	0.96	1.417	0	1	0	0	0	0	1.417	0	0	0
Chiroderma_trinitatum	0.78	1.137	0	1	0	0	0	0	1.137	0	0	0
Chiroderma_villosum	0.88	1.394	0	1	0	0	0	0	1.394	0	0	0
Choeroniscus_minor	0.68	0.982	0	1	0	0	0	0	0.982	0	0	0
Coleura_afra	0.44	1.061	0	1	0	0	0	0	1.061	0	0	0
Cormura_brevirostris	0.38	0.914	0	1	0	0	0	0	0.914	0	0	0
Craseonycteris_thonglongyai	0.07	0.408	0	1	0	0	0	0	0.408	0	0	0
Desmodus_rotundus	1.04	1.56	0	1	0	0	0	0	1.56	0	0	0
Diphylla_ecaudata	0.94	1.49	0	1	0	0	0	0	1.49	0	0	0
Emballonura_monticola	0.25	0.724	0	1	0	0	0	0	0.724	0	0	0
Emballonura_raffrayana	0.34	0.771	0	1	0	0	0	0	0.771	0	0	0
Eptesicus_brasiliensis	0.48	0.964	0	1	0	0	0	0	0.964	0	0	0
Eptesicus_fuscus_bahamensis	0.53	1.134	0	1	0	0	0	0	1.134	0	0	0
Eumops_auripendulus	0.79	1.529	0	1	0	0	0	0	1.529	0	0	0
Eumops_glaucinus	0.9	1.562	0	1	0	0	0	0	1.562	0	0	0
Furipterus_horrens	0.12	0.535	0	1	0	0	0	0	0.535	0	0	0
Glischropus_tylopus	0.1	0.69	0	1	0	0	0	0	0.69	0	0	0
Glossophaga_longirostris	0.78	1.053	0	1	0	0	0	0	1.053	0	0	0
Glossophaga_soricina	0.76	0.996	0	1	0	0	0	0	0.996	0	0	0
Harpiocephalus_harpia	0.85	1.13	0	1	0	0	0	0	1.13	0	0	0
Hesperoptenus_blanfordi	0.32	0.863	0	1	0	0	0	0	0.863	0	0	0
Hipposideros_armiger	0.93	1.748	0	1	0	0	0	0	1.748	0	0	0
Hipposideros_ater	0.43	0.839	0	1	0	0	0	0	0.839	0	0	0
Hipposideros_caffer	0.55	1.041	0	1	0	0	0	0	1.041	0	0	0
Macronycteris_commersoni	0.94	1.997	0	1	0	0	0	0	1.997	0	0	0
Hipposideros_diadema	0.93	1.622	0	1	0	0	0	0	1.622	0	0	0
Hipposideros_fulvus	0.44	0.845	0	1	0	0	0	0	0.845	0	0	0
Hipposideros_lankadiva	0.94	1.686	0	1	0	0	0	0	1.686	0	0	0
Hipposideros_larvatus	0.72	1.312	0	1	0	0	0	0	1.312	0	0	0
Hipposideros_ridleyi	0.52	0.982	0	1	0	0	0	0	0.982	0	0	0
Hipposideros_speoris	0.53	1.061	0	1	0	0	0	0	1.061	0	0	0
Hipposideros_turpis	0.84	1.542	0	1	0	0	0	0	1.542	0	0	0
Ia_io	0.99	1.727	0	1	0	0	0	0	1.727	0	0	0
Kerivoula_papillosa	0.45	1.004	0	1	0	0	0	0	1.004	0	0	0
Lasiurus_borealis	0.32	0.892	0	1	0	0	0	0	0.892	0	0	0
Leptonycteris_curasoae	0.92	1.389	0	1	0	0	0	0	1.389	0	0	0
Leptonycteris_nivalis	0.95	1.358	0	1	0	0	0	0	1.358	0	0	0
Lonchophylla_mordax	0.82	1.029	0	1	0	0	0	0	1.029	0	0	0
Hsunycteris_thomasi	0.67	0.839	0	1	0	0	0	0	0.839	0	0	0
Lophostoma_silvicolum	0.75	1.509	0	1	0	0	0	0	1.509	0	0	0
Macroderma_gigas	1.18	2.078	0	1	0	0	0	0	2.078	0	0	0
Macrophyllum_macrophyllum	0.48	0.934	0	1	0	0	0	0	0.934	0	0	0
Megaderma_lyra	0.9	1.587	0	1	0	0	0	0	1.587	0	0	0
Megaderma_spasma	0.79	1.354	0	1	0	0	0	0	1.354	0	0	0
Mesophylla_macconnelli	0.63	0.875	0	1	0	0	0	0	0.875	0	0	0
Micronycteris_brachyotis	0.64	1.167	0	1	0	0	0	0	1.167	0	0	0
Micronycteris_megalotis	0.39	0.813	0	1	0	0	0	0	0.813	0	0	0
Micronycteris_minuta	0.47	0.839	0	1	0	0	0	0	0.839	0	0	0
Micronycteris_schmidtorum	0.45	0.892	0	1	0	0	0	0	0.892	0	0	0
Gardnerycteris_crenulatum	0.47	1.072	0	1	0	0	0	0	1.072	0	0	0
Miniopterus_australis	0.43	0.851	0	1	0	0	0	0	0.851	0	0	0
Miniopterus_inflatus	0.59	1.173	0	1	0	0	0	0	1.173	0	0	0
