Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  SEP_d1_m2-bm-003.txt
Log File Name:                   SEP_d1_m2-bm-003.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1081257119
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   SEP_d1_m2-bm-003.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	
1000000	306.697858	1	0.301387943241	0.539188673590	0.012633187962	-0.453552101521	0.064422018749	-0.129707739249	-0.271149410559	0.075620135397	0.081156792476	0.030523028776	0.068152867188	0.009322462830	0.000421625105	0.876824610139	N\A	0.062867103249	0.268296596889	0.242680914999	0.254377690563	0.246539298000	0.334280475302	0.069951558335	0.067507860847	0.070177502163	0.072928956131	0.066657120457	
1050000	302.432695	1	0.107454336477	0.549261065693	-0.059067045204	-0.623171633191	0.179397553809	-0.261509609302	0.303467569638	0.074347420522	0.143080885229	-0.004682485775	0.058926073744	-0.031857171790	0.000432211046	0.873731987401	N\A	0.063651427707	0.271643841664	0.245708580777	0.257551284286	0.249615100625	0.338450929148	0.070824267832	0.068350082989	0.071053030515	0.073838811382	0.067488728837	
1100000	303.965454	1	-0.033488128031	0.635580955731	0.434194882222	0.006119659490	0.389211818648	0.066012794901	0.084885260760	0.028994386639	-0.033251887868	-0.052558239436	0.002520703639	-0.081806310734	0.000428376557	0.874852211620	N\A	0.063368447389	0.270436172591	0.244616214198	0.256406267639	0.248505366513	0.336946250384	0.070509398637	0.068046213478	0.070737144291	0.073510540185	0.067188688718	
1150000	302.522660	1	-0.276697393237	0.576326619060	0.778098546776	0.157847897630	0.654700331404	0.383044985953	0.582203906828	0.066863223134	0.028307497859	-0.023999925581	-0.001190103046	-0.051923307342	0.000431985038	0.873798014277	N\A	0.063634783529	0.271572809661	0.245644330571	0.257483937338	0.249549828905	0.338362427795	0.070805748032	0.068332210162	0.071034450896	0.073819503310	0.067471081245	
1200000	302.062389	1	-0.057537356480	0.621534226768	0.670632537308	0.299973973659	0.826782515087	0.460308886510	0.043269873798	-0.007950636757	-0.034588247433	-0.109637447516	-0.050861568123	-0.124850900179	0.000433142574	0.873459846555	N\A	0.063719983589	0.271936416142	0.245973221636	0.257828680349	0.249883949008	0.338815458316	0.070900549235	0.068423699566	0.071129558307	0.073918339604	0.067561417691	
1250000	301.823506	1	0.309632380364	0.667635950669	0.040267009257	-0.156640848508	0.206649742906	-0.213443355600	-0.296132380994	-0.060394512202	-0.029857079436	-0.148457741126	-0.045687651250	-0.172265417243	0.000433744564	0.873283978574	N\A	0.063764247854	0.272125321803	0.246144091484	0.258007785811	0.250057535515	0.339050822741	0.070949801613	0.068471231354	0.071178969770	0.073969688345	0.067608350479	
1300000	304.002454	1	-0.497250459013	0.648681461517	0.660513420059	0.328625751394	0.707585554701	0.545789763646	0.855952482053	-0.033289427213	0.020273882083	-0.098609149685	-0.033575369570	-0.105921054463	0.000428284417	0.874879129812	N\A	0.063361632024	0.270407086802	0.244589905382	0.256378690785	0.248478639413	0.336910011342	0.070501815252	0.068038895012	0.070729536412	0.073502634024	0.067181462480	
1350000	300.484738	1	0.340644525755	0.479683083706	-0.082284469238	-0.606709341026	-0.422015405351	-0.311049567878	0.030719766453	0.155977112184	0.125200872545	0.086727445009	0.142245103098	0.039240010575	0.000437133803	0.872293831674	N\A	0.064012886963	0.273186433629	0.247103893404	0.259013848426	0.251032597322	0.340372900508	0.071226459709	0.068738224638	0.071456521473	0.074258122037	0.067871979089	
1400000	305.931848	1	0.024571820597	0.653946428170	0.447980405549	0.074762180301	0.417441334916	0.110157184335	-0.017388140369	0.006838611645	-0.046796262024	-0.100842476262	-0.056490073004	-0.110653147453	0.000423507019	0.876274819489	N\A	0.063007250006	0.268894698216	0.243221912458	0.254944763109	0.247088896775	0.335025671469	0.070107498143	0.067658353032	0.070333945657	0.073091533316	0.066805716126	
1450000	305.723752	1	0.016999758121	0.640112066695	0.308692267672	-0.073006227288	0.387545395095	0.153643888595	0.080245703812	-0.037955304886	0.037084811773	-0.109668097445	-0.015245207521	-0.114292938018	0.000424019716	0.876125038186	N\A	0.063045376657	0.269057410511	0.243369089758	0.255099034085	0.247238414047	0.335228400628	0.070149921263	0.067699294136	0.070376505804	0.073135762121	0.066846141287	
1500000	305.773708	1	-0.032827649914	0.607866875828	0.220202948240	-0.256898180582	0.231672601197	0.225944546755	0.337634365515	-0.002413949721	-0.002766214090	-0.061885193975	-0.091269583702	-0.065745909825	0.000423896578	0.876161011968	N\A	0.063036221678	0.269018340003	0.243333749516	0.255061990508	0.247202511930	0.335179721263	0.070139734615	0.067689463350	0.070366286253	0.073125141892	0.066836434389	
