Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  SEP_d1_m2-fab-003.txt
Log File Name:                   SEP_d1_m2-fab-003.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2062888248
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   SEP_d1_m2-fab-003.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.248843
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.69 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Node	No RJ LS Betas	
1000000	413.010195	1	0.130928266426	0.595543103539	0.455700760707	-0.303573069934	0.094686189284	-0.052769243097	0.260243104022	0.009673268863	-0.020246608693	-0.040149400359	-0.031873979509	-0.121108427086	0.000214721830	0.928882582137	N\A	0.030937072816	0.162412190181	0.139802268685	0.161642371699	0.146529557210	0.218933528167	0.037902937979	0.034368730656	0.043053245719	0.042741639824	0.036639675650	32	15	
1050000	382.077022	1	-0.298034264398	0.735673114044	0.806352873503	0.169315289250	0.755497061066	0.371065924729	0.576535576663	-0.093096413652	-0.158746605905	-0.215426063801	-0.149034358527	-0.215911317798	0.000190707819	0.926447698669	N\A	0.050408995219	0.183219726937	0.166386912816	0.178819158799	0.174097189072	0.226161312301	0.054504765570	0.053094354065	0.055937923538	0.058886766749	0.053606177625	35	7	
1100000	401.351570	1	0.239455706444	0.614484671629	1.048851987017	0.252101968615	-0.028148619279	0.508076957108	0.117345314184	-0.024538352861	0.018703473335	-0.081828179916	-0.041424356697	-0.138860598091	0.000282422348	0.948300567524	N\A	0.051804086396	0.212153054606	0.205290065456	0.218547152823	0.211927780961	0.280776541759	0.053189605234	0.054063347506	0.058319248777	0.060786743964	0.054830017320	31	6	
1150000	407.010167	1	0.256717951248	0.507822355212	0.519576312952	-0.494355239502	0.229283760121	0.323795281479	-0.036185711154	0.128695790040	0.104207370671	0.008077964501	0.046044944356	0.030709086127	0.000169283980	0.939224483244	N\A	0.058673337164	0.180403022031	0.168902573851	0.184906721239	0.173935236175	0.229948783856	0.061113419746	0.060518291656	0.064496888223	0.064427985530	0.061179788164	49	12	
1200000	415.591176	1	0.125956081181	0.574473925735	0.770823715270	-0.109312555826	0.364660119478	0.103050323354	-0.005337394527	0.108420830214	0.036770453919	-0.036905583594	-0.021568544762	-0.047148859365	0.000243147448	0.940690028949	N\A	0.047235009860	0.172820572958	0.161418433032	0.182852131945	0.172742937336	0.246314281984	0.050374617863	0.049742526860	0.052910658908	0.053879760227	0.050473124095	35	9	
1250000	409.994848	1	0.118714463603	0.477659819557	1.217963394866	-0.288258204970	0.622588020875	0.209832752118	0.062248146464	0.084905823954	0.149608147622	0.096674562162	0.047204334281	0.069502522290	0.000244504969	0.933840894024	N\A	0.047874479332	0.193477055244	0.183130599863	0.194662564603	0.184558849029	0.255638533593	0.051756558271	0.050996876319	0.053842472126	0.053309513075	0.051382659589	27	8	
1300000	419.984733	1	0.414701310702	0.462018634905	0.246012009958	-0.748200808357	0.099728352196	-0.159817745431	-0.069890770677	0.167042127625	0.161089682269	0.087501224926	0.043413785440	0.057995458907	0.000188595642	0.940211111376	N\A	0.062285706553	0.215913942727	0.211086887255	0.219687885597	0.223922269149	0.264618198395	0.065064065997	0.064078090569	0.066097503271	0.072544882053	0.064428560040	38	15	
1350000	448.411478	1	0.309615966291	0.478990365881	0.385147552815	-0.394632374956	-0.019310193468	-0.096297780329	0.005328671724	0.177731784277	0.134665796901	0.052324282287	0.051415650662	0.031617080180	0.000157358321	0.944562991674	N\A	0.038406530387	0.154446396968	0.147604490023	0.159726795640	0.150957094499	0.207615574976	0.041872737740	0.041338259261	0.044464394726	0.044825871016	0.042244568055	28	15	
1400000	420.128532	1	0.593284816421	0.559762545807	-0.274618405679	-0.656137421668	-0.224335294357	-0.397420770955	-0.392158082719	0.081261491444	0.046929023923	0.000220110068	-0.024799436451	-0.050874866637	0.000155806278	0.931477236869	N\A	0.038216657013	0.163937475783	0.147903098685	0.162208938815	0.151103351260	0.206506254267	0.043832882199	0.042050249315	0.044994713923	0.045096870770	0.041464106561	32	8	
1450000	425.095573	1	-0.068338664461	0.658269025965	0.320831647864	-0.007244567331	0.376546681705	0.258909396559	0.456553968245	-0.014073486839	-0.052281995694	-0.132832749333	-0.138716178007	-0.183291148106	0.000032189739	0.937779224586	N\A	0.039331700019	0.166457332115	0.151245069508	0.164838490391	0.160575348045	0.250454159581	0.043879397101	0.042161348362	0.044562209010	0.050288877182	0.042693021184	34	15	
