Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  SEP_d1_m2-glob-006.txt
Log File Name:                   SEP_d1_m2-glob-006.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            1530670797
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   SEP_d1_m2-glob-006.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.248843
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.69 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Node	No RJ LS Betas	Global Trend	
1000000	367.386560	1	1.269458868401	-0.726137950147	-0.188170789859	-1.485658854220	-0.809761213065	-1.351354643420	-0.850077765335	1.356772961810	1.328350804335	1.238290222147	1.266255280378	1.221968295140	0.000269376453	0.999429303738	N\A	0.367256921282	0.304861637428	0.303134952949	0.321198051420	0.316161148762	0.348464126267	0.367508027017	0.367577291516	0.368171636843	0.368442640317	0.368243390343	42	13	-0.106378442972	Global Trend	
1050000	383.049633	1	1.156654510903	-0.530280274865	0.064492328887	-1.392327724554	-0.988867711116	-0.862853247177	-0.809790265486	1.142597834738	1.144866482869	1.070182675860	1.029434378547	1.090245069722	0.000217674609	0.938284371354	N\A	0.136507393391	0.139643373796	0.132995697855	0.157867373202	0.149450633546	0.188657822653	0.137759214996	0.137367043658	0.137314882461	0.138653930488	0.137146226191	31	11	-0.001566319210	Global Trend	
1100000	383.460457	1	1.346851253493	-0.693856919280	-0.131264282881	-1.567292460635	-0.584999488421	-1.038062813189	-1.172066893387	1.319782213713	1.294041580320	1.190625795388	1.176052977467	1.205186864949	0.000222381261	0.999791606202	N\A	0.269598831676	0.227087680563	0.223294852466	0.248221310140	0.234933260334	0.271777572274	0.270109623114	0.269802075967	0.270500361798	0.271353525270	0.269992853465	31	13	0.219986977645	Global Trend	
1150000	405.732408	1	1.078055232403	-0.487475753527	-0.113844620170	-1.149674126871	-0.748709129858	-0.882343027997	-0.819766231363	1.121879499556	1.072232753004	1.019476727337	0.998700981477	0.975858161127	0.000160318440	0.990135067793	N\A	0.179767580602	0.170167278037	0.163801647353	0.181393600048	0.174892555110	0.226546340137	0.180558730562	0.180352387739	0.180284729131	0.181103125740	0.180100834743	33	14	0.021327843872	Global Trend	
1200000	389.289734	1	1.544990860770	-0.627345201078	0.073172397103	-1.276100439951	-0.727027300494	-0.561149810335	-1.750180761557	1.232021991573	1.215461305557	1.163222251950	1.101385064160	1.166221758265	0.000327642305	0.940837271461	N\A	0.313929762663	0.261746939212	0.258625183342	0.282541701917	0.274724821075	0.318424436376	0.314250903231	0.314224054798	0.315288693727	0.315596228604	0.314444822810	32	13	-0.003620384215	Global Trend	
1250000	395.660298	1	0.880136256159	-0.601873038658	-0.107343489324	-1.223204585882	-0.662129060007	-0.852505350333	-1.414088012888	1.262890290958	1.224184935781	1.153235141132	1.173377771270	1.080397608830	0.000166884889	0.976773984044	N\A	0.065761804318	0.106650868033	0.089961467421	0.121744526723	0.108946850833	0.154391152324	0.069032605911	0.068020453036	0.069000077408	0.069931351095	0.067578760052	40	15	-0.014682535526	Global Trend	
1300000	382.815832	1	0.705005343477	-0.419231279584	0.134787893615	-1.323156088340	-1.227952130200	-1.005287036285	-0.071358999289	1.040511124152	1.004053632498	0.970270217108	0.950261800137	0.947293533126	0.000157610205	0.999993970045	N\A	0.087945597665	0.114805028701	0.109122892725	0.157317736039	0.135870484026	0.182737661738	0.088973678728	0.089573046459	0.092056649265	0.092703255989	0.089314479317	28	15	-1.075281237714	Global Trend	
1350000	377.239048	1	0.948752458586	-0.402445336681	0.056313916017	-1.260659143607	-0.840796955987	-1.063959584279	-0.427370031716	1.017837439838	1.030735073044	0.942867234274	0.932194372364	0.924776988693	0.000223562864	0.932621703709	N\A	0.074701414208	0.113438043618	0.105197571244	0.133883708269	0.143030750749	0.181262902044	0.076564035686	0.076801880321	0.077061082162	0.082699426354	0.076824765977	37	10	0.001463017065	Global Trend	
1400000	412.632008	1	0.712378401949	-0.325175303485	0.815129279700	-0.778305585594	-0.312729240128	-0.805596304098	-0.245827724564	0.920543385565	0.903906157766	0.825967300820	0.896811560646	0.838514529570	0.000256321151	0.944214083518	N\A	0.069994577534	0.203434145351	0.192007603488	0.208255297414	0.201758836221	0.261840037988	0.071440835592	0.072040536381	0.073147621060	0.076259672808	0.072300654414	43	13	0.000073497870	Global Trend	
1450000	404.689780	1	0.986848816465	-0.290331688684	0.097155750606	-1.299913962291	-0.297949900201	-0.834284596421	-0.575691450435	0.914925188656	0.919017976899	0.762971341924	0.803324388758	0.800189649712	0.000266706036	0.999285584259	N\A	0.047837192612	0.097656071333	0.089730442285	0.127906363918	0.122775271040	0.184585383818	0.051250593056	0.050288691661	0.053484303112	0.059788593250	0.050920815653	35	16	-0.252832219483	Global Trend	
1500000	423.701635	1	0.928972093670	-0.199743466097	0.364311534701	-1.071385676974	-0.669335246434	-0.584412891407	-0.683578992324	0.816963965075	0.802367820254	0.734093335174	0.765846965039	0.721200457267	0.000171330499	0.995444874161	N\A	0.040147275003	0.078971208932	0.076303871359	0.103587329905	0.107024135369	0.151606767510	0.044689905329	0.043168047838	0.044784995404	0.050426072360	0.043506862100	36	18	0.058205787578	Global Trend	
1550000	377.316657	1	1.229745497554	-0.065092852229	0.153440381330	-1.262601597506	-0.772396661236	-0.681198272871	-0.880066987628	0.706347325830	0.704928783940	0.609447991493	0.554471140780	0.577820526164	0.000310569665	0.945571850270	N\A	0.082278096609	0.184283876552	0.179266507095	0.195839446167	0.186935987325	0.248406841794	0.083636220326	0.083675950098	0.085799950034	0.088022255588	0.084214496097	41	7	-0.000412324424	Global Trend	
1600000	380.588737	1	0.790336738686	-0.013067866204	0.429687262015	-0.993405062222	-0.605155725682	-0.740124693112	-0.356127257960	0.615817788753	0.659207383493	0.582251471948	0.511279850202	0.509510775877	0.000433190207	0.933250454395	N\A	0.095072288003	0.174245769412	0.167196547142	0.220070671884	0.213657070588	0.271981170393	0.096602024832	0.096425787739	0.099319717476	0.103861926721	0.096578013684	27	10	0.000695767301	Global Trend	
1650000	396.887614	1	1.157751544413	0.100975712622	0.890656308172	-0.686133591791	-0.078819391387	-0.380569089032	-0.956640386222	0.561820738998	0.505792557517	0.429739570709	0.446720888553	0.417715244260	0.000190278484	0.941573255021	N\A	0.162008873818	0.150703401165	0.145712141706	0.163765525103	0.158678259299	0.200610609810	0.163007076364	0.162827098383	0.163187937925	0.164359968370	0.163102797682	40	11	-0.001123381767	Global Trend	
1700000	409.568115	1	0.525762515091	0.382176140111	0.822712422117	-0.744348243216	-0.084306104365	-0.307851130955	-0.167634045360	0.242257106416	0.235217711236	0.150890673153	0.203544278787	0.128242752887	0.000179028667	0.945030134980	N\A	0.070852851976	0.105887889859	0.092011195025	0.119405396949	0.109044779248	0.160666336253	0.072482220600	0.072532568814	0.073443383892	0.074952514865	0.072925019410	41	9	-0.002389209612	Global Trend	
1750000	415.201181	1	0.525697332549	0.412972801512	0.854822484016	-0.852008405278	-0.197943227129	-0.201193187883	-0.297634229390	0.214283502316	0.194227754836	0.131677073052	0.088219596894	0.090758005356	0.000225760514	0.943857074551	N\A	0.047244592126	0.162259239960	0.155228086640	0.174075776267	0.166880068048	0.231248984365	0.050837368676	0.049740755212	0.052488688081	0.054352473341	0.050801194423	34	11	0.000279818815	Global Trend	
1800000	406.289331	1	0.497066546913	0.441166857887	1.142592143049	-0.623589332416	-0.087108371421	-0.095899186271	-0.382254064861	0.151529745060	0.204908228124	0.092750955116	0.082906982791	0.091421145305	0.000188181500	0.944756751787	N\A	0.039297473541	0.096283153147	0.079703886156	0.109029740541	0.099608228737	0.159655841211	0.042180161914	0.042863402109	0.044332305268	0.047516367748	0.044125924446	29	10	0.006618141537	Global Trend	
