Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  SEP_d1_m3-glob-006.txt
Log File Name:                   SEP_d1_m3-glob-006.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            3086299512
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   SEP_d1_m3-glob-006.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.248843
Restrictions:
    Beta-1                       None
    Beta-2                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.69 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      3
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	No RJ Local Node	No RJ LS Betas	Global Trend	
1000000	430.137412	1	0.039453216114	0.690602809532	-0.028145526831	0.000180321296	0.937913652740	N\A	0.020808603486	0.004302354711	35	10	-0.000422107624	Global Trend	
1050000	417.751901	1	0.065355641853	0.651577981647	-0.023291467872	0.000183645543	0.934016441595	N\A	0.020129166168	0.004185152663	33	10	-0.000437974347	Global Trend	
1100000	423.647261	1	0.003556454469	0.662780269717	-0.020985093149	0.000173904441	0.934922674159	N\A	0.021120732383	0.004700966601	30	13	0.000571248525	Global Trend	
1150000	419.955796	1	-0.081010629622	0.719786157023	-0.031592097209	0.000148912466	0.930412649456	N\A	0.022394939916	0.004988076608	40	12	-0.000059543110	Global Trend	
1200000	422.570422	1	0.284778472567	0.657995640297	-0.020817883286	0.000234428376	0.947073724827	N\A	0.017544690717	0.003038067004	38	10	-0.004248952212	Global Trend	
1250000	417.548502	1	-0.069083765007	0.727672471922	-0.034919901433	0.000289167972	0.948101067203	N\A	0.019432997143	0.004330634780	32	9	0.000183172239	Global Trend	
1300000	426.027811	1	-0.028493629471	0.730732284965	-0.033247255737	0.000238004500	0.941181293380	N\A	0.019671251447	0.004042609859	26	9	-0.000527613825	Global Trend	
1350000	417.454057	1	0.124153396781	0.668097047398	-0.025021065024	0.000228719406	0.933033361067	N\A	0.020303830421	0.004484267009	35	7	-0.001430259973	Global Trend	
1400000	403.550728	1	-0.063268803744	0.686889484931	-0.023560278803	0.000171890946	0.929974880602	N\A	0.020177579379	0.004123372182	30	13	0.000332123705	Global Trend	
1450000	412.231326	1	-0.020685326976	0.687359883842	-0.028125876194	0.000269040562	0.932017918291	N\A	0.020504242282	0.004470287467	38	10	0.000590189168	Global Trend	
1500000	408.139441	1	0.101038643545	0.669603744056	-0.024544730594	0.000267476381	0.944453537927	N\A	0.019883834260	0.004304430231	41	9	-0.001528216366	Global Trend	
1550000	409.270859	1	0.190680842358	0.691752179466	-0.028663051243	0.000252164192	0.934273297482	N\A	0.021316469839	0.004597201914	26	10	-0.003568739669	Global Trend	
1600000	417.249441	1	0.060770763250	0.732070548364	-0.033144215316	0.000231034721	0.951230711505	N\A	0.019545637535	0.004397601550	37	8	-0.002103336525	Global Trend	
1650000	431.598968	1	0.053231581570	0.662238905518	-0.022963450998	0.000172679534	0.944099376291	N\A	0.019707250638	0.004505441839	42	13	0.000459921097	Global Trend	
1700000	429.435872	1	0.188088657045	0.674604709721	-0.025401954266	0.000178767745	0.936425846348	N\A	0.019973945479	0.004328069272	39	12	-0.001867815174	Global Trend	
