Species_TTOL	SEP	rest_of_brain	BOD
Anourosorex_squamipes	0.786	3.0789623596587	1.307
Atelerix_algirus	1.641	3.0789623596587	2.867
Blarina_brevicauda	0.832	3.0789623596587	1.267
Chrysochloris_asiatica	1.084	3.0789623596587	1.69
Chrysochloris_stuhlmanni	1.053	3.0789623596587	1.626
Crocidura_attenuata	0.486	3.0789623596587	0.968
Crocidura_flavescens	0.779	3.0789623596587	1.467
Crocidura_hildegardeae	0.52	3.0789623596587	0.996
Crocidura_denti	0.534	3.0789623596587	1.079
Crocidura_russula	0.508	3.0789623596587	1.049
Crocidura_suaveolens	0.461	3.0789623596587	1.013
Cryptotis_parvus	0.614	3.0789623596587	0.991226075692495
Desmana_moschata	1.63	3.0789623596587	2.646
Echinops_telfairi	1.062	3.0789623596587	1.942
Echinosorex_gymnura	1.885	3.0789623596587	2.921
Erinaceus_europaeus	1.716	3.0789623596587	2.929
Euroscaptor_micrura	1.124	3.0789623596587	1.617
Galemys_pyrenaicus	1.303	3.0789623596587	1.778
Geogale_aurita	0.31	3.0789623596587	1
Hemicentetes_semispinosus	1.125	3.0789623596587	2.062
Hemiechinus_auritus	1.448	3.0789623596587	2.371
Hylomys_suillus	1.243	3.0789623596587	1.756
Limnogale_mergulus	1.291	3.0789623596587	1.964
Microgale_dobsoni	0.979	3.0789623596587	1.504
Microgale_talazaci	1.056	3.0789623596587	1.683
Micropotamogale_lamottei	1.178	3.0789623596587	1.808
Micropotamogale_ruwenzorii	1.237	3.0789623596587	1.986
Myosorex_sclateri	0.747	3.0789623596587	1.23
Neomys_anomalus	0.632	3.0789623596587	1.037
Neomys_fodiens	0.757	3.0789623596587	1.182
Oryzorictes_hova	1.002	3.0789623596587	1.645
Parascalops_breweri	1.128	3.0789623596587	1.731
Potamogale_velox	1.693	3.0789623596587	2.791
Ruwenzorisorex_suncoides	0.78	3.0789623596587	1.262
Scalopus_aquaticus	1.239	3.0789623596587	2.061
Scutisorex_somereni	1.036	3.0789623596587	1.792
Setifer_setosus	1.394	3.0789623596587	2.373
Solenodon_paradoxus	1.821	3.0789623596587	2.826
Sorex_alpinus	0.604	3.0789623596587	1.033
Sorex_araneus	0.53	3.0789623596587	0.987
Sorex_cinereus	0.42	3.0789623596587	0.633
Sorex_fumeus	0.573	3.0789623596587	0.924
Sorex_hoyi	0.228	3.0789623596587	0.42
Sorex_minutus	0.26	3.0789623596587	0.633
Suncus_etruscus	0.017	3.0789623596587	0.762
Suncus_murinus	0.777	3.0789623596587	1.529
Sylvisorex_granti	0.428	3.0789623596587	0.591
Suncus_megalura	0.467	3.0789623596587	0.74
Talpa_europaea	1.178	3.0789623596587	1.908
Tenrec_ecaudatus	1.57	3.0789623596587	2.935
Aepyprymnus_rufescens	2.074816	3.0789623596587	3.392697
Antechinus_flavipes	0.949878	3.0789623596587	1.568202
Antechinus_minimus	1.041393	3.0789623596587	1.724276
Bettongia_gaimardi	2.088136	3.0789623596587	3.176091
Bettongia_penicillata	2.038223	3.0789623596587	3.079181
Burramys_parvus	1.152288	3.0789623596587	1.770852
Cercartetus_nanus	0.900913	3.0789623596587	1.278754
Dactylopsila_trivirgata	1.778151	3.0789623596587	2.643453
Dasycercus_cristicauda	1.305351	3.0789623596587	2
Dasyuroides_byrnei	1.338456	3.0789623596587	2.146128
Dasyurus_geoffroii	1.775246	3.0789623596587	2.69897
Dasyurus_hallucatus	1.583199	3.0789623596587	3.021189
Dendrolagus_lumholtzi	2.280123	3.0789623596587	3.78533
Distoechurus_pennatus	1.170262	3.0789623596587	1.633468
Dorcopsis	2.163161	3.0789623596587	3.462398
Echymipera_kalubu	1.701568	3.0789623596587	2.819544
Gymnobelideus_leadbeateri	1.488551	3.0789623596587	2.041393
Hypsiprymnodon_moschatus	1.800717	3.0789623596587	2.748188
