Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  SEP_d1_m7-VR-005.txt
Log File Name:                   SEP_d1_m7-VR-005.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2069052670
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   SEP_d1_m7-VR-005.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Branch	No RJ Local Node	
1000000	535.444209	1	-1.633295375408	0.904742778712	0.079045535749	-0.016990058918	0.000073325329	0.983100479992	N\A	0.024956830084	0.024652413370	0.003548707077	50	25	
1050000	536.697055	1	-1.672952748410	0.945477845592	0.021359176211	-0.011152742337	0.000082862074	0.973704079147	N\A	0.027956467878	0.025267469241	0.003258135281	48	20	
1100000	552.437037	1	-1.590489992250	0.869292712100	0.088078473202	-0.014960131249	0.000093327594	0.978916020634	N\A	0.025670820930	0.023295330770	0.003216787702	39	26	
1150000	543.754154	1	-1.598672807891	0.897666054021	0.074093886403	-0.015673047810	0.000083905090	0.979398707874	N\A	0.025144473380	0.024322942944	0.003438810846	51	31	
1200000	536.249689	1	-1.638530497923	0.915577128697	0.063379249511	-0.015192772514	0.000068419417	0.974593226948	N\A	0.027394257557	0.024278959562	0.003196123311	57	26	
1250000	531.710702	1	-1.550345670943	0.854506977442	0.097377845054	-0.015956890650	0.000059079880	0.976493672891	N\A	0.026973707175	0.024496812397	0.003360463911	40	19	
1300000	526.692904	1	-1.604650291925	0.899104608546	0.066988335283	-0.014026693401	0.000055673210	0.976465148037	N\A	0.025609376099	0.024605987453	0.003407195472	49	28	
1350000	527.051637	1	-1.537135098587	0.867712459391	0.090011005961	-0.016039924722	0.000080159035	0.971520987278	N\A	0.026446432688	0.023826807060	0.003046904423	48	26	
1400000	549.741839	1	-1.643305544384	0.895104745619	0.094409248443	-0.019971033127	0.000065208759	0.975416250347	N\A	0.027837096880	0.025715193690	0.003391546342	37	26	
1450000	537.118478	1	-1.469964149078	0.800811059377	0.136753282135	-0.015299273379	0.000058652479	0.975780344627	N\A	0.026781993581	0.024862671113	0.003481324909	51	21	
1500000	554.856629	1	-1.580972164626	0.884854282099	0.072742889764	-0.012556346796	0.000048878837	0.980945384954	N\A	0.024685990207	0.023594039600	0.003104890198	47	26	
1550000	534.085090	1	-1.546406268051	0.844746866485	0.127187896801	-0.021342401928	0.000098648353	0.974712463114	N\A	0.026332539627	0.023529941059	0.003027654936	45	27	
1600000	547.455355	1	-1.518753836648	0.832126927986	0.147673750757	-0.022511549846	0.000071371806	0.974880338074	N\A	0.025635381207	0.023349259294	0.003042645137	36	22	
1650000	544.306715	1	-1.566143480021	0.877140811612	0.053441809538	-0.008917873839	0.000126086188	0.987734553138	N\A	0.024466494545	0.019837773764	0.002544209529	39	32	
1700000	528.757552	1	-1.573232053944	0.901391063139	0.045039897716	-0.012573560039	0.000081680947	0.974430307465	N\A	0.030554782996	0.025951361837	0.003220964765	50	32	
1750000	534.596560	1	-1.554523380284	0.864234202240	0.104741043898	-0.018578782920	0.000081693847	0.978143349404	N\A	0.025831085011	0.022929989493	0.003007554207	56	23	
1800000	532.775749	1	-1.628358383441	0.872861644925	0.114322353228	-0.020158636501	0.000092773031	0.984159843470	N\A	0.022401978566	0.023411871410	0.002867433274	39	22	
1850000	544.007198	1	-1.480661023228	0.797585477667	0.130633637635	-0.013432757073	0.000058092907	0.975499959290	N\A	0.025113517239	0.023020693485	0.003146190541	49	21	
1900000	539.530170	1	-1.544140461471	0.861454712547	0.090446184423	-0.016605965367	0.000073306855	0.970619092197	N\A	0.029051200809	0.025407640534	0.003238011513	39	24	
1950000	553.935387	1	-1.554235756792	0.865619023882	0.093188477217	-0.012405927247	0.000063852196	0.979684642095	N\A	0.022165088382	0.020624288829	0.002824332223	44	17	
2000000	537.327054	1	-1.695926466416	0.925543688719	0.043258296094	-0.010095218415	0.000100087195	0.974765783146	N\A	0.026931086899	0.025420107927	0.003680041218	29	27	
2050000	536.400411	1	-1.496335920142	0.823667110111	0.140346773107	-0.017979700318	0.000072455278	0.970653718682	N\A	0.030207337809	0.026471413269	0.003126811717	44	18	
2100000	535.339178	1	-1.416854183494	0.810344651096	0.095312578545	-0.010988295328	0.000088074431	0.972799988055	N\A	0.029376388494	0.025539316144	0.003186184410	39	26	
2150000	536.662962	1	-1.614045562905	0.891887031945	0.092680738086	-0.017889837537	0.000079857066	0.975707433487	N\A	0.024693580176	0.023366023809	0.003153234696	38	25	
2200000	537.479250	1	-1.499950723990	0.855858149630	0.077428549858	-0.011414705761	0.000111718090	0.976270477291	N\A	0.027407151490	0.024726475009	0.003223050581	42	22	
2250000	537.058584	1	-1.700704274202	0.937906127889	0.046077105395	-0.013186164872	0.000079053087	0.977126234586	N\A	0.026432899535	0.024304233731	0.003143909371	38	19	
