Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  SEP_d1_m8-fab-002.txt
Log File Name:                   SEP_d1_m8-fab-002.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            4161355163
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   SEP_d1_m8-fab-002.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.248843
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.69 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Node	No RJ LS Betas	
1000000	564.186802	1	-1.832538012939	1.084063163350	-0.032669597134	0.033754064692	0.000078152711	0.979340722014	N\A	0.041465265572	0.005300324898	0.017231101661	36	3	
1050000	549.907218	1	-1.827480127644	1.087323107466	-0.027318735229	-0.007182844050	0.000070251775	0.973095413320	N\A	0.045567534235	0.005562480871	0.017776635336	41	2	
1100000	552.926334	1	-1.927954340411	1.153350091193	-0.038228733286	-0.018447192568	0.000066488637	0.972361773834	N\A	0.046156559697	0.006173771235	0.019324622871	37	1	
1150000	573.016706	1	-1.804973141649	1.057534327140	-0.024668932902	0.013163372390	0.000070728311	0.976994541245	N\A	0.042542109752	0.005645093679	0.017558861058	41	2	
1200000	559.340871	1	-1.770638211145	1.062009815558	-0.029778042497	0.025717158792	0.000051835223	0.977182852991	N\A	0.042297558783	0.005417385466	0.017001761855	38	4	
1250000	553.120824	1	-1.740155278643	0.981805278605	-0.013852076726	0.011473174238	0.000079987183	0.973855558433	N\A	0.041457488340	0.004828195920	0.016846205684	25	3	
1300000	564.690023	1	-1.841999199076	1.078205247601	-0.028362735186	0.021770684242	0.000081796399	0.974358886354	N\A	0.042659505002	0.005477827252	0.019089353077	45	4	
1350000	555.239727	1	-1.842924760665	1.079418681105	-0.019106399109	-0.023786986835	0.000168009634	0.978164623129	N\A	0.044665329555	0.005618571652	0.017590706759	36	3	
1400000	560.061436	1	-1.791680707410	1.069008914264	-0.034470299806	0.040765743744	0.000067228952	0.991263439800	N\A	0.019531522533	0.004160620978	0.016370503999	44	2	
1450000	556.872136	1	-1.836626141164	1.087798218514	-0.038418416217	0.041129354325	0.000073001913	0.973841772848	N\A	0.044690490331	0.006266199055	0.020128288762	42	4	
1500000	563.921319	1	-1.789417740994	1.047269443104	-0.026642948361	0.029000150920	0.000089854179	0.979189115434	N\A	0.036129409389	0.004607389882	0.015793889953	29	3	
1550000	561.905842	1	-1.623353063935	0.978080810464	-0.023851179219	0.048962341907	0.000062915856	0.976534669372	N\A	0.038993368678	0.005168807903	0.017524974018	22	4	
1600000	568.526492	1	-1.730192633257	1.055664856529	-0.036214144142	0.059769053136	0.000078217385	0.973448175076	N\A	0.041301576750	0.005838656011	0.018144473355	32	6	
1650000	559.954345	1	-1.859364405915	1.122612220667	-0.044301667467	0.041518659537	0.000057809350	0.975345348778	N\A	0.041383336380	0.005431767391	0.017770409081	35	2	
