Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  SEP_d1_m8-glob-001.txt
Log File Name:                   SEP_d1_m8-glob-001.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            1909472801
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   SEP_d1_m8-glob-001.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.248843
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.69 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Node	No RJ LS Betas	Global Trend	
1000000	560.828775	1	-1.706836983361	1.004540246588	-0.015797173488	0.009108502414	0.000063355883	0.998425997111	N\A	0.014659405569	0.001848237223	0.015785739008	30	2	-0.055330434709	Global Trend	
1050000	560.471205	1	-1.817395890495	1.036372663043	-0.021864666491	0.001072054776	0.000068362855	0.989687223354	N\A	0.017761793263	0.001942085552	0.015966396454	34	5	-0.018209175755	Global Trend	
1100000	562.224123	1	-1.692010638696	0.980201878893	-0.017906527398	0.037729927338	0.000015417219	0.999999580739	N\A	0.015120238058	0.001619972825	0.015955796844	40	5	0.967681762286	Global Trend	
1150000	546.747601	1	-1.799133289604	1.060755075690	-0.025253910387	0.009532494646	0.000080789281	0.972873817197	N\A	0.043287021254	0.005644259298	0.020620565180	30	2	0.001928257290	Global Trend	
1200000	565.695330	1	-1.789919973750	1.070900968357	-0.033453240795	0.039390206660	0.000082644469	0.977119525154	N\A	0.034143942957	0.004950454698	0.016756898993	31	4	0.003270596880	Global Trend	
1250000	556.063522	1	-1.699738677965	0.991452745216	-0.019260583116	0.027829765110	0.000067141553	0.999988988808	N\A	0.016337560821	0.001898737851	0.017534083845	33	2	-0.862653683156	Global Trend	
1300000	553.126530	1	-1.753400703973	1.040932912029	-0.013948892808	-0.025101261384	0.000083970727	0.999743496257	N\A	0.016751961582	0.001928369851	0.017925754761	28	1	0.190971919994	Global Trend	
1350000	551.346368	1	-1.723866323554	1.055490571432	-0.035465704471	0.048520079003	0.000084381646	0.972923646843	N\A	0.038998274869	0.005340963931	0.019409946661	39	3	0.001830951518	Global Trend	
1400000	558.934667	1	-1.838471095687	1.103679550227	-0.033979261348	0.008813069042	0.000082837245	0.975798698440	N\A	0.041546976765	0.004772019601	0.017723339052	46	3	-0.000302029351	Global Trend	
1450000	554.992094	1	-1.818805659021	1.055731658971	-0.038268830828	0.062437822895	0.000107088662	0.977333591431	N\A	0.034138322052	0.005001115613	0.017078307569	31	4	-0.004846938478	Global Trend	
