Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  SEP_d1_m9-VR-004.txt
Log File Name:                   SEP_d1_m9-VR-004.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            4060266799
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   SEP_d1_m9-VR-004.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Branch	No RJ Local Node	
1000000	540.169201	1	-1.827190107246	1.070042367554	-0.040572075372	0.076863828033	-0.003318887288	0.000077838559	0.985167183943	N\A	0.047937908619	0.008638278262	0.026924163474	0.005818107213	59	25	
1050000	528.223269	1	-2.103589996773	1.267530470757	-0.065130627415	-0.008403835471	0.012081723344	0.000063413161	0.973063249384	N\A	0.085300650445	0.012582029301	0.036483106087	0.007071672871	44	30	
1100000	541.912353	1	-2.204639944516	1.341052316672	-0.074135254401	-0.032874936195	0.017030873677	0.000055575399	0.977728503669	N\A	0.085874846048	0.013559458302	0.035405604775	0.007324926332	53	26	
1150000	540.203760	1	-2.053241648042	1.187776448756	-0.043070932795	-0.005514313153	0.002629490910	0.000055204729	0.977912893694	N\A	0.070010342311	0.009578284162	0.033511403172	0.006015797230	48	30	
1200000	543.877085	1	-2.148590198156	1.358164976111	-0.085180091401	-0.072231575340	0.028814706248	0.000090141823	0.976116699847	N\A	0.082436756747	0.012072386518	0.035427580140	0.006728279448	53	17	
1250000	537.444896	1	-1.939805359785	1.152751576272	-0.041757618463	0.021960320426	-0.001222383582	0.000057157374	0.972874204615	N\A	0.083841044833	0.011582885700	0.035507938736	0.006536132399	47	19	
1300000	535.065335	1	-1.718107723775	0.984126373334	-0.021605975409	0.072128298791	-0.008120150792	0.000072849852	0.975057340961	N\A	0.064689033163	0.009893336511	0.031581276330	0.006219097042	49	23	
1350000	533.957929	1	-1.766991288668	1.027984280266	-0.022706862146	0.019684165466	-0.004221242450	0.000083583256	0.973081042570	N\A	0.092516472076	0.012689573767	0.040455257610	0.007276893257	38	30	
1400000	546.487266	1	-1.826883100701	1.047511678033	-0.025925348705	0.044507097699	-0.006378711510	0.000067972847	0.973457070552	N\A	0.086013088954	0.012675969588	0.036290828881	0.006915823160	43	28	
1450000	550.663107	1	-1.774064284076	1.032340844610	-0.030012094448	0.063536356550	-0.005223572882	0.000069256269	0.975196200525	N\A	0.074535910279	0.010249986705	0.032578975918	0.005704080315	39	28	
1500000	527.197585	1	-1.919820311925	1.152864735767	-0.041016909704	-0.046606685328	0.014114468793	0.000119690169	0.971054221828	N\A	0.098555918152	0.014078531799	0.041837360265	0.007845880638	59	25	
1550000	534.643240	1	-2.142612369017	1.286840060209	-0.065707771093	-0.003733074396	0.007795183589	0.000049307402	0.979472868317	N\A	0.081563284383	0.012591660470	0.034407522412	0.006957855581	37	28	
1600000	536.546955	1	-1.723124324464	1.032098956800	-0.030224491352	0.028511537113	0.002329380982	0.000056919808	0.975683560250	N\A	0.089982816876	0.012473827399	0.038165432191	0.006896299430	47	29	
1650000	536.335903	1	-2.032001321201	1.222460872239	-0.050739030274	-0.032573313609	0.008764526742	0.000057237149	0.975012973653	N\A	0.082216399733	0.011774174774	0.036483444170	0.006636995330	58	30	
1700000	532.993301	1	-2.071442301565	1.258007985565	-0.064735566182	0.002418551522	0.007502069200	0.000083654567	0.972180017636	N\A	0.089324687829	0.013020587077	0.037111162673	0.006809493021	53	18	
1750000	549.739486	1	-2.090119577460	1.255737475883	-0.063243252519	-0.006852303770	0.011524549126	0.000053948647	0.976819086698	N\A	0.083470193295	0.012695999707	0.035757744000	0.007131405651	56	18	
1800000	549.965752	1	-1.825075139211	1.030261630091	-0.024888156205	0.084001864885	-0.012636695430	0.000072114721	0.976027897290	N\A	0.082199289378	0.011742839141	0.035992441486	0.006741782175	33	26	
1850000	554.117887	1	-1.951808207345	1.133454044938	-0.036339618257	0.030560804910	-0.004015388162	0.000063058567	0.983287187027	N\A	0.087500157327	0.012679938177	0.036435649166	0.006845997721	51	26	
1900000	546.292713	1	-1.789913192075	1.075286725920	-0.035955527816	0.013471772727	0.007481066695	0.000058791195	0.975640388938	N\A	0.069939520189	0.011079958253	0.031277771094	0.006522614569	55	30	
1950000	543.991701	1	-1.627998886624	0.938502623014	-0.015604278043	0.065467419057	-0.006512538141	0.000070243872	0.972698762500	N\A	0.076860712809	0.010739342090	0.034144776426	0.005949091143	44	23	
