Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  SEP_d1_m9-fab-006.txt
Log File Name:                   SEP_d1_m9-fab-006.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            1126777032
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   SEP_d1_m9-fab-006.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.248843
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.69 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Node	No RJ LS Betas	
1000000	556.634984	1	-1.942951692927	1.195552327932	-0.058362756309	-0.016983637024	0.016583773071	0.000080764235	0.978701333249	N\A	0.086512881103	0.013406251426	0.035644250101	0.007440924052	22	1	
1050000	562.769989	1	-1.850672261623	1.080171992021	-0.023351485809	0.015801894683	-0.006430673169	0.000077975216	0.976870138689	N\A	0.062275626570	0.007984794329	0.030271340482	0.005020022795	40	2	
1100000	554.599636	1	-2.139874060992	1.277565534004	-0.056934840634	-0.007705710969	0.005696445988	0.000053065903	0.975589046770	N\A	0.088223088769	0.011818750448	0.037539296257	0.006475051071	35	4	
1150000	546.461793	1	-2.158315139865	1.308811798253	-0.055198931074	-0.099277185146	0.016950301440	0.000075257181	0.974163212989	N\A	0.068578965086	0.009803684001	0.033464806016	0.006257799685	33	5	
1200000	558.224034	1	-1.689937788388	0.956191833878	-0.010327923648	0.079226870276	-0.015857755844	0.000052279301	0.989353016204	N\A	0.067371348564	0.009380661454	0.030711459823	0.005311891342	46	1	
1250000	544.286566	1	-1.903745822124	1.134611217645	-0.031779515433	-0.034578594113	0.006261597141	0.000093712832	0.972907797745	N\A	0.074210024500	0.009704664722	0.035741831935	0.006223901066	24	2	
1300000	574.765403	1	-1.970458188099	1.171025327844	-0.043256935934	0.016178522724	0.000793420886	0.000058288206	0.984394778045	N\A	0.077522215410	0.011500849437	0.033131188379	0.006320826640	27	5	
1350000	570.679629	1	-1.717724227628	1.025495566104	-0.025877145334	0.046029127877	-0.004861531513	0.000071754506	0.985423309552	N\A	0.050790268724	0.008407533715	0.028948074143	0.005651234159	32	3	
1400000	564.771055	1	-1.714477396233	1.007633037955	-0.021214395083	0.033229877107	-0.003475116731	0.000075861584	0.978807556113	N\A	0.065980386622	0.008267710087	0.031560230649	0.005118623562	44	3	
1450000	542.753059	1	-1.798040729488	1.042957809959	-0.022447734984	0.018278696605	-0.003569732399	0.000091913325	0.969469953387	N\A	0.098636080660	0.013731573318	0.042514898811	0.007790287619	37	2	
