Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  SEP_d1_m9-glob-005.txt
Log File Name:                   SEP_d1_m9-glob-005.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            3666100468
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   SEP_d1_m9-glob-005.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.248843
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.69 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Node	No RJ LS Betas	Global Trend	
1000000	564.086634	1	-1.779743789325	1.029194188599	-0.023047927221	0.065480543713	-0.009635806996	0.000064346081	0.989725186157	N\A	0.057373615933	0.008143751610	0.030188957810	0.005391258876	47	4	0.002248994975	Global Trend	
1050000	567.192585	1	-1.566410848219	0.965741698134	-0.011751343545	0.059880189895	-0.014114039542	0.000072581599	0.999993148471	N\A	0.022842986396	0.003164299749	0.024782898735	0.004216049414	41	5	-1.201496040715	Global Trend	
1100000	564.443966	1	-1.666521402862	0.981618007109	-0.014142887671	0.037594561669	-0.006305550312	0.000057263669	0.997159449429	N\A	0.023125510128	0.003281436031	0.024528329960	0.004385960364	27	4	0.041440115237	Global Trend	
1150000	555.417652	1	-1.869765514743	1.059408095979	-0.018723186454	0.001840010597	-0.003010567245	0.000074413462	0.974059075089	N\A	0.060901792597	0.007444943224	0.033365007305	0.005347871375	27	2	-0.002808378235	Global Trend	
1200000	569.408623	1	-1.697733798414	0.995826538005	-0.016475753543	0.027853678038	-0.004184856786	0.000080083911	0.982733640942	N\A	0.034445321180	0.004686329340	0.025353297890	0.004488294786	27	3	0.010589413674	Global Trend	
1250000	562.720483	1	-1.793387573715	1.052291058107	-0.023541560499	0.000250484989	0.000678642419	0.000073455018	0.975313553076	N\A	0.072841585299	0.009641204774	0.034731186210	0.005980772634	30	2	0.000816369676	Global Trend	
1300000	562.160396	1	-1.671281276839	1.009358942069	-0.018008224491	0.011970316823	-0.003166447498	0.000052097149	0.999990028264	N\A	0.025369336602	0.003191961833	0.027428237228	0.004479278326	44	3	0.652934215465	Global Trend	
1350000	548.028661	1	-1.669012356819	0.981659282583	-0.016542627877	0.039052402305	-0.002470926107	0.000070550037	0.999723072710	N\A	0.025264153130	0.003699769969	0.027452942897	0.004784669081	33	0	0.178710426762	Global Trend	
1400000	554.187562	1	-1.677089001174	1.007740775605	-0.017851792429	0.009259687441	0.000668140034	0.000076752388	0.999983716585	N\A	0.023734078744	0.003333986282	0.026017886290	0.004415789696	38	4	-0.553765749579	Global Trend	
1450000	549.273254	1	-1.541330490793	0.914989395759	-0.015515481485	0.115263794255	-0.014279581557	0.000108535005	0.999989286756	N\A	0.023660301870	0.003377868304	0.025701811849	0.004387767432	40	2	1.240729305431	Global Trend	
