Species_TTOL	STR	BOD
Anourosorex_squamipes	1.304	1.307
Atelerix_algirus	2.155	2.867
Blarina_brevicauda	1.348	1.267
Chrysochloris_asiatica	1.647	1.69
Chrysochloris_stuhlmanni	1.636	1.626
Crocidura_attenuata	0.88	0.968
Crocidura_flavescens	1.229	1.467
Crocidura_hildegardeae	0.948	0.996
Crocidura_denti	0.989	1.079
Crocidura_russula	0.937	1.049
Crocidura_suaveolens	0.906	1.013
Cryptotis_parvus	1.11	0.991226075692495
Desmana_moschata	2.346	2.646
Echinops_telfairi	1.384	1.942
Echinosorex_gymnura	2.321	2.921
Erinaceus_europaeus	2.17	2.929
Euroscaptor_micrura	1.682	1.617
Galemys_pyrenaicus	1.871	1.778
Geogale_aurita	0.581	1
Hemicentetes_semispinosus	1.444	2.062
Hemiechinus_auritus	1.904	2.371
Hylomys_suillus	1.584	1.756
Limnogale_mergulus	1.763	1.964
Microgale_dobsoni	1.361	1.504
Microgale_talazaci	1.509	1.683
Micropotamogale_lamottei	1.514	1.808
Micropotamogale_ruwenzorii	1.774	1.986
Myosorex_sclateri	1.27	1.23
Neomys_anomalus	1.273	1.037
Neomys_fodiens	1.301	1.182
Oryzorictes_hova	1.512	1.645
Parascalops_breweri	1.781	1.731
Potamogale_velox	2.172	2.791
Ruwenzorisorex_suncoides	1.241	1.262
Scalopus_aquaticus	1.882	2.061
Scutisorex_somereni	1.416	1.792
Setifer_setosus	1.761	2.373
Solenodon_paradoxus	2.411	2.826
Sorex_alpinus	1.221	1.033
Sorex_araneus	1.061	0.987
Sorex_cinereus	1.071	0.633
Sorex_fumeus	1.159	0.924
Sorex_hoyi	0.798	0.42
Sorex_minutus	0.848	0.633
Suncus_etruscus	0.433	0.762
Suncus_murinus	1.181	1.529
Sylvisorex_granti	0.882	0.591
Suncus_megalura	0.98	0.74
Talpa_europaea	1.781	1.908
Tenrec_ecaudatus	1.995	2.935
Aepyprymnus_rufescens	2.744371	3.392697
Antechinus_flavipes	1.394452	1.568202
Antechinus_minimus	1.532754	1.724276
Bettongia_gaimardi	2.745387	3.176091
Bettongia_penicillata	2.676053	3.079181
Burramys_parvus	1.671173	1.770852
Cercartetus_nanus	1.344392	1.278754
Dactylopsila_trivirgata	2.530712	2.643453
Dasycercus_cristicauda	1.716003	2
Dasyuroides_byrnei	1.71433	2.146128
Dasyurus_geoffroii	2.24279	2.69897
Dasyurus_hallucatus	2.03862	3.021189
Dendrolagus_lumholtzi	3.111934	3.78533
Distoechurus_pennatus	1.70927	1.633468
Dorcopsis	2.818754	3.462398
Echymipera_kalubu	2.149527	2.819544
Gymnobelideus_leadbeateri	2.094122	2.041393
Hypsiprymnodon_moschatus	2.401745	2.748188
Isoodon_macrourus	2.173478	3.033424
Isoodon_obesulus_obesulus	2.267641	3.004321
Osphranter_antilopinus	3.330819	4.537819
Macropus_giganteus	3.35526	4.563481
Notamacropus_irma	3.03862	3.819544
Notamacropus_parma	2.867173	3.536558
Notamacropus_parryi	3.197005	4.170262
Osphranter_robustus	3.322012	4.409933
Osphranter_rufus	3.323046	4.494155
Thylamys_pallidior	1.330414	1.477121
Marmosops_impavidus	1.588832	1.845098
Monodelphis_brevicaudata	1.4578882	1.924279
Notoryctes_typhlops	1.758912	1.531479
Petauroides_volans	2.271377	3.09691
Petaurus_australis	2.626135	2.748188
Petaurus_breviceps	2.087071	2.113943
Petaurus_norfolcensis	2.27277	2.374748
Petrogale_inornata	2.885192	3.628389
Petrogale_lateralis	2.821186	3.556303
Petrogale_penicillata	3.007321	3.690196
Petrogale_purpureicollis	2.878809	3.740363
Petropseudes_dahli	2.414806	3.127105
Phascolarctos_cinereus	2.941958	3.968483
Planigale_ingrami	0.450249	0.826075
Planigale_maculata	0.873321	1.041393
Potorous_tridactylus_tridactylus	2.718336	3.089905
Pseudochirulus_canescens	1.961421	2.447158
Pseudochirulus_forbesi	2.158362	2.70757
Sarcophilus_harrisii	2.73488	3.732394
Sminthopsis_crassicaudata	1.181844	1.146128
Sminthopsis_leucopus	1.296665	1.361728
Phalanger_gymnotis	2.88947	3.451786
Thylacinus_cynocephalus	3.144885	4.342423
Thylogale_billardierii	2.966189	3.845098
Thylogale_stigmatica	2.917768	3.653213
Trichosurus_vulpecula	2.777282	3.30103
Vombatus_ursinus	3.472449	4.357935
Wallabia_bicolor	3.170262	4.198657
Balionycteris_maculata	1.35	1.158
Casinycteris_argynnis	1.573	1.428
Chironax_melanocephalus	1.453	1.248
