Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  STR_d1_m2-VR-005.txt
Log File Name:                   STR_d1_m2-VR-005.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            4166764392
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   STR_d1_m2-VR-005.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Branch	No RJ Local Node	
1000000	300.258124	1	0.164932523294	0.712676974228	0.676473715048	0.506060514162	0.959524543974	0.704189919999	0.144347574427	-0.061929213530	-0.026657973652	-0.053931288907	-0.143030050726	-0.092343931579	0.000583539668	0.897798419206	N\A	0.074924049909	0.276358435457	0.261414615077	0.302241099082	0.277756476165	0.394201979640	0.078831030490	0.077852543134	0.084008450104	0.089626551155	0.079674740187	39	18	
1050000	313.770520	1	0.235870712690	0.705798381181	0.325412434331	0.214706174245	0.565151549308	0.380349989286	0.483065602839	0.051061482668	-0.046489079834	-0.021019417758	-0.081505861431	-0.175930397373	0.000587353884	0.907001359192	N\A	0.073106747974	0.279019187560	0.259212438710	0.306184373984	0.268697556513	0.393581600797	0.080735858894	0.075034210684	0.084073899383	0.082855361328	0.076436156943	38	27	
1100000	312.181946	1	0.251913373383	0.748465717703	0.521173000631	0.137749042801	0.957609385324	0.351828982634	0.466785828778	-0.048582083631	-0.085788884427	-0.133395345914	-0.201218670995	-0.197692944888	0.000470306939	0.903097671460	N\A	0.066397375256	0.245109532312	0.233121489504	0.331269924154	0.238550306090	0.356994331509	0.071050275397	0.069129104122	0.081727562019	0.073016613488	0.071766142811	52	23	
1150000	308.815270	1	0.305861678376	0.639249888088	0.573334976253	0.136661293148	0.251493720356	0.441620171713	0.454036700598	0.024303544667	0.051862692312	0.060670988974	-0.102834625758	-0.091820260087	0.000635162346	0.907350757931	N\A	0.105636755227	0.316121333470	0.303812081814	0.352024651449	0.312224933337	0.437285384836	0.108295729965	0.107190932025	0.114210763079	0.111474326298	0.109690895330	62	24	
1200000	309.614431	1	0.429716026743	0.646389031965	0.183001508196	0.080901246128	0.424224977481	0.265142259883	0.239908247224	0.045197669773	-0.000896851876	0.090213796272	-0.064028760633	-0.113613969487	0.000668851753	0.906024376024	N\A	0.102746607708	0.353440218251	0.342727369205	0.392014020925	0.346864255368	0.472620049395	0.106641394857	0.104185644598	0.114295367372	0.107980982937	0.106719327612	55	30	
1250000	309.286463	1	0.213561850573	0.724527148722	0.570094982953	0.296028651654	0.543271619839	0.518731122030	-0.722026239645	-0.054469954015	-0.072820311635	0.031301041952	-0.104436167594	-0.142233827819	0.000458055432	0.908646063422	N\A	0.095788364452	0.272693180752	0.260676210174	0.303730628846	0.285710274127	0.873932552070	0.098473801919	0.097773587112	0.105304603644	0.102639721468	0.098994986083	52	27	
1300000	321.973051	1	0.579830002465	0.613689007313	0.085195356958	-0.035060311299	0.546369975515	0.233979390797	-0.173579851389	0.093840859318	0.040158887409	0.010717234333	-0.087084121388	-0.050943030419	0.000271725861	0.914214294825	N\A	0.082437038932	0.238181926710	0.230104318362	0.262197135160	0.236133436127	0.353030587003	0.085472284649	0.084315331011	0.092894571016	0.088403701120	0.089547675733	48	21	
1350000	316.057020	1	0.393220798971	0.727702416206	0.354305364841	0.164473536979	0.402291766377	0.386147090942	0.027312958941	-0.046212533741	-0.099297826711	-0.077785251606	-0.168259482095	-0.116255394347	0.000224406138	0.914863753320	N\A	0.059189863575	0.850338465582	0.847020237615	0.882465107544	0.843729136059	0.883108071963	0.064152774741	0.061384720679	0.086725321047	0.066731657497	0.064784879967	47	25	
1400000	305.210440	1	0.456821170029	0.682710690506	0.170053017869	-0.018270456614	0.249020281471	0.198233301369	0.098569835114	0.063708942429	-0.013671904741	0.036790075277	-0.117956810348	-0.093985532017	0.000508415401	0.908433370282	N\A	0.068902017024	0.252331032074	0.240899064930	0.284355986575	0.268743888795	0.377802863965	0.072365040070	0.071593571272	0.080640285500	0.080680086564	0.075956827737	58	19	
1450000	306.196184	1	0.542608042757	0.573823418642	-0.155570613260	-0.180978845471	0.693753221386	-0.085614615605	0.281967187323	0.182414968402	0.064278559437	-0.028194986672	-0.014511657964	0.033541869624	0.000480496343	0.905128794788	N\A	0.070588340684	0.250985375612	0.237234835429	0.449019421043	0.248405757593	0.373108041637	0.075301148869	0.072798953627	0.079874340564	0.078499357389	0.079070806278	53	23	
1500000	309.879933	1	0.639525625775	0.711155418226	0.234679685717	0.028418553159	0.054950528638	0.246421136422	-0.291975619883	-0.028393703853	-0.044040229606	-0.139805953904	-0.126793129231	-0.176863755322	0.000626295054	0.910716528630	N\A	0.079723866370	0.255348419231	0.240332027692	0.693857334230	0.250583837082	0.393779388412	0.083401910557	0.081422883612	0.089950616301	0.088892173520	0.085212418880	47	25	
1550000	298.368304	1	0.161533357778	0.821257225506	0.277656716424	0.207325778488	0.828476342635	0.375059362217	0.300203961570	-0.140805474275	-0.168166278034	-0.113377183197	-0.281615784777	-0.249994307924	0.000574227364	0.902632947881	N\A	0.073367236449	0.273212551735	0.259910519827	0.307754467909	0.283815348776	1.067305540352	0.078799996820	0.075363665755	0.086760745794	0.088511524088	0.078199384924	45	23	
1600000	313.696616	1	0.120667441397	0.838031722667	-0.086977508791	0.390229979876	0.695862121745	0.381751629936	0.433477535289	-0.124734873141	-0.221078893302	-0.112009241245	-0.179256477086	-0.257621293233	0.000522055062	0.913482239939	N\A	0.069525668914	0.386961123592	0.256770248460	0.278504104037	0.266724503787	0.374230320046	0.073609910798	0.072081322950	0.076114602666	0.080542510704	0.075101734266	35	26	
1650000	311.355942	1	0.349238976918	0.692519009376	0.325608111290	0.249915528524	0.843786027567	0.488624698828	0.189276136103	0.031141602860	-0.010687007572	-0.067069590005	-0.168787358774	-0.138871229534	0.000516457283	0.912491577059	N\A	0.069578878096	0.259988660080	0.245765900256	0.288062507645	0.248995893575	0.370833823638	0.072953721455	0.072582132652	0.079562979059	0.076128741006	0.074313194950	55	23	
1700000	298.300640	1	0.251569685196	0.693623814840	0.428124135937	0.191725840206	0.558940027380	0.271553573811	0.492005454784	0.039180283340	-0.041359183641	-0.006977395746	-0.079103701056	-0.122242425824	0.000599023264	0.913751497906	N\A	0.074934543028	0.273490370945	0.260561142312	0.290751207660	0.284341168450	0.402510543421	0.077823341091	0.077378819250	0.080747365498	0.086726438942	0.080861851679	40	29	
1750000	321.263424	1	0.283313301367	0.707234294399	0.124875928979	-0.049269172926	0.562705282793	0.239033377403	0.524816997739	0.036788983770	-0.027788481350	-0.031649558903	-0.160566328456	-0.121058690480	0.000510042077	0.915300423666	N\A	0.076061515234	0.262537755456	0.247816791711	0.304312387360	0.256629947727	0.375335709121	0.079923423092	0.077807350089	0.089041718343	0.084804046622	0.081496203530	49	26	
