Species_TTOL	STR	BOD	GroupChiroptera_mega	GroupChiroptera_micro	GroupEuarchontoglires	GroupEulipotyphla	GroupMarsupials	BOD_GroupChiroptera_mega	BOD_GroupChiroptera_micro	BOD_GroupEuarchontoglires	BOD_GroupEulipotyphla	BOD_GroupMarsupials
Anourosorex_squamipes	1.304	1.307	0	0	0	1	0	0	0	0	1.307	0
Atelerix_algirus	2.155	2.867	0	0	0	1	0	0	0	0	2.867	0
Blarina_brevicauda	1.348	1.267	0	0	0	1	0	0	0	0	1.267	0
Chrysochloris_asiatica	1.647	1.69	0	0	0	0	0	0	0	0	0	0
Chrysochloris_stuhlmanni	1.636	1.626	0	0	0	0	0	0	0	0	0	0
Crocidura_attenuata	0.88	0.968	0	0	0	1	0	0	0	0	0.968	0
Crocidura_flavescens	1.229	1.467	0	0	0	1	0	0	0	0	1.467	0
Crocidura_hildegardeae	0.948	0.996	0	0	0	1	0	0	0	0	0.996	0
Crocidura_denti	0.989	1.079	0	0	0	1	0	0	0	0	1.079	0
Crocidura_russula	0.937	1.049	0	0	0	1	0	0	0	0	1.049	0
Crocidura_suaveolens	0.906	1.013	0	0	0	1	0	0	0	0	1.013	0
Cryptotis_parvus	1.11	0.991226075692495	0	0	0	1	0	0	0	0	0.991226075692495	0
Desmana_moschata	2.346	2.646	0	0	0	1	0	0	0	0	2.646	0
Echinops_telfairi	1.384	1.942	0	0	0	0	0	0	0	0	0	0
Echinosorex_gymnura	2.321	2.921	0	0	0	1	0	0	0	0	2.921	0
Erinaceus_europaeus	2.17	2.929	0	0	0	1	0	0	0	0	2.929	0
Euroscaptor_micrura	1.682	1.617	0	0	0	1	0	0	0	0	1.617	0
Galemys_pyrenaicus	1.871	1.778	0	0	0	1	0	0	0	0	1.778	0
Geogale_aurita	0.581	1	0	0	0	0	0	0	0	0	0	0
Hemicentetes_semispinosus	1.444	2.062	0	0	0	0	0	0	0	0	0	0
Hemiechinus_auritus	1.904	2.371	0	0	0	1	0	0	0	0	2.371	0
Hylomys_suillus	1.584	1.756	0	0	0	1	0	0	0	0	1.756	0
Limnogale_mergulus	1.763	1.964	0	0	0	0	0	0	0	0	0	0
Microgale_dobsoni	1.361	1.504	0	0	0	0	0	0	0	0	0	0
Microgale_talazaci	1.509	1.683	0	0	0	0	0	0	0	0	0	0
Micropotamogale_lamottei	1.514	1.808	0	0	0	0	0	0	0	0	0	0
Micropotamogale_ruwenzorii	1.774	1.986	0	0	0	0	0	0	0	0	0	0
Myosorex_sclateri	1.27	1.23	0	0	0	1	0	0	0	0	1.23	0
Neomys_anomalus	1.273	1.037	0	0	0	1	0	0	0	0	1.037	0
Neomys_fodiens	1.301	1.182	0	0	0	1	0	0	0	0	1.182	0
Oryzorictes_hova	1.512	1.645	0	0	0	0	0	0	0	0	0	0
Parascalops_breweri	1.781	1.731	0	0	0	1	0	0	0	0	1.731	0
Potamogale_velox	2.172	2.791	0	0	0	0	0	0	0	0	0	0
Ruwenzorisorex_suncoides	1.241	1.262	0	0	0	1	0	0	0	0	1.262	0
Scalopus_aquaticus	1.882	2.061	0	0	0	1	0	0	0	0	2.061	0
Scutisorex_somereni	1.416	1.792	0	0	0	1	0	0	0	0	1.792	0
Setifer_setosus	1.761	2.373	0	0	0	0	0	0	0	0	0	0
Solenodon_paradoxus	2.411	2.826	0	0	0	1	0	0	0	0	2.826	0
Sorex_alpinus	1.221	1.033	0	0	0	1	0	0	0	0	1.033	0
Sorex_araneus	1.061	0.987	0	0	0	1	0	0	0	0	0.987	0
Sorex_cinereus	1.071	0.633	0	0	0	1	0	0	0	0	0.633	0
Sorex_fumeus	1.159	0.924	0	0	0	1	0	0	0	0	0.924	0
Sorex_hoyi	0.798	0.42	0	0	0	1	0	0	0	0	0.42	0
Sorex_minutus	0.848	0.633	0	0	0	1	0	0	0	0	0.633	0
Suncus_etruscus	0.433	0.762	0	0	0	1	0	0	0	0	0.762	0
Suncus_murinus	1.181	1.529	0	0	0	1	0	0	0	0	1.529	0
Sylvisorex_granti	0.882	0.591	0	0	0	1	0	0	0	0	0.591	0
Suncus_megalura	0.98	0.74	0	0	0	1	0	0	0	0	0.74	0
Talpa_europaea	1.781	1.908	0	0	0	1	0	0	0	0	1.908	0
Tenrec_ecaudatus	1.995	2.935	0	0	0	0	0	0	0	0	0	0
Aepyprymnus_rufescens	2.744371	3.392697	0	0	0	0	1	0	0	0	0	3.392697
Antechinus_flavipes	1.394452	1.568202	0	0	0	0	1	0	0	0	0	1.568202
Antechinus_minimus	1.532754	1.724276	0	0	0	0	1	0	0	0	0	1.724276
Bettongia_gaimardi	2.745387	3.176091	0	0	0	0	1	0	0	0	0	3.176091
Bettongia_penicillata	2.676053	3.079181	0	0	0	0	1	0	0	0	0	3.079181
