Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  STR_d1_m2-bm-006.txt
Log File Name:                   STR_d1_m2-bm-006.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1997096084
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   STR_d1_m2-bm-006.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	
1000000	260.645675	1	0.711400561774	0.589621297929	0.018983620845	-0.269140838205	0.219869232749	-0.248272205552	-0.099514606894	0.067581442410	0.064264316403	0.019987893081	0.037929237965	-0.005427766543	0.000551069972	0.868506287432	N\A	0.071872639052	0.306729330135	0.277444273827	0.290816579607	0.281855359345	0.382165213630	0.079971922413	0.077178172129	0.080230232059	0.083375824073	0.076205565570	
1050000	261.597405	1	0.084470969329	0.756465882827	0.359546227932	0.284197037003	0.684758172250	0.287836726608	0.751345264465	-0.082746984257	-0.086107210657	-0.102763489899	-0.172185475754	-0.181617151605	0.000548029150	0.869231873908	N\A	0.071674066991	0.305881888379	0.276677741776	0.290013102116	0.281076640204	0.381109355166	0.079750973388	0.076964941769	0.080008569368	0.083145470638	0.075995022359	
1100000	256.762667	1	0.649655918724	0.643799487397	0.080052799517	-0.182871511650	0.203089480927	-0.197613022387	-0.208550355368	-0.011984340685	-0.021801778561	0.014141908095	0.007943897699	-0.008685370173	0.000563652215	0.865503971885	N\A	0.072688520220	0.310211248811	0.280593755483	0.294117860510	0.285054914598	0.386503462581	0.080879744727	0.078054280452	0.081140986642	0.084322286672	0.077070633094	
1150000	259.019061	1	0.219138570817	0.741063126125	0.567602013543	0.111325472548	1.034615094690	0.330965428576	0.454802588910	-0.128225256268	-0.062166712748	-0.130520818082	-0.155573525845	-0.197600494608	0.000556306193	0.867256844975	N\A	0.072213295699	0.308183143248	0.278759283785	0.292194970637	0.283191276641	0.383976572194	0.080350967447	0.077543975551	0.080610501410	0.083771002670	0.076566759104	
1200000	256.058373	1	0.055918198083	0.811459317797	0.264432025842	-0.102839677766	0.909968085269	0.743754902483	0.574723395868	-0.102790256320	-0.119610480199	-0.180981149983	-0.281158587574	-0.188726524114	0.000565964953	0.864952117324	N\A	0.072837492753	0.310847015715	0.281168822389	0.294720644588	0.285639124491	0.387295587659	0.081045504882	0.078214249919	0.081307282204	0.084495102195	0.077228586611	
1250000	258.832680	1	-0.086270118441	0.791113991292	1.057488795582	0.449857915960	0.968940467219	0.509383909511	0.856818145144	-0.153583758938	-0.119383640444	-0.144079161366	-0.146864421143	-0.222623435205	0.000556909339	0.867112925226	N\A	0.072252431818	0.308350163631	0.278910357857	0.292353326202	0.283344752639	0.384184668956	0.080394513792	0.077586000642	0.080654188410	0.083816402509	0.076608254590	
1300000	260.473043	1	0.718091904772	0.625504073677	-0.060703794939	-0.263962637789	0.452850611864	0.014708866061	-0.451772049327	0.093362105736	0.051703789765	0.006917550098	-0.000688768932	0.000548864775	0.000551623345	0.868374244162	N\A	0.071908716507	0.306883297121	0.277583540778	0.290962558971	0.281996840501	0.382357046690	0.080012065414	0.077216912769	0.080270504722	0.083417675709	0.076243817997	
1350000	257.200933	1	0.471352171124	0.648662923764	-0.356294346372	-0.442180186562	0.135378445560	-0.276920322077	0.499316181721	-0.004327349942	0.039805949155	-0.012021697004	-0.037319513927	-0.066136177619	0.000562217826	0.865846239109	N\A	0.072595971962	0.309816282582	0.280236498750	0.293743384657	0.284691977842	0.386011359811	0.080776767262	0.077954900417	0.081037676561	0.084214926105	0.076972505455	
1400000	256.853040	1	0.269031758577	0.704529534664	0.621532792443	0.246269941469	1.363735797604	0.372542112299	0.130306864865	-0.066055345675	-0.042454184110	-0.176126813508	-0.095394551317	-0.104082510182	0.000563356137	0.865574620604	N\A	0.072669426625	0.310129763482	0.280520049985	0.294040602542	0.284980037257	0.386401937050	0.080858499486	0.078033777395	0.081119672780	0.084300137155	0.077050388419	
1450000	260.480277	1	0.273506447583	0.707526987905	0.551688048810	0.257016031570	0.711162859588	0.612011251398	0.254929081028	0.024084584212	-0.062232726762	-0.060336818975	-0.155514023492	-0.135133836756	0.000551600147	0.868379779551	N\A	0.071907204467	0.306876844219	0.277577703968	0.290956440838	0.281990910892	0.382349006785	0.080010382983	0.077215289112	0.080268816856	0.083415921667	0.076242214802	
