Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  STR_d1_m2-fab-006.txt
Log File Name:                   STR_d1_m2-fab-006.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2731099695
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   STR_d1_m2-fab-006.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.147241
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.77 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Node	No RJ LS Betas	
1000000	337.153609	1	0.292178284544	0.621081307768	1.093358950394	-0.055598528160	0.478517513578	0.179455415885	0.501471564161	0.074795178348	0.036068974856	0.016227589181	-0.044314435047	-0.027221207899	0.000208853164	0.919947728793	N\A	0.078368946721	0.232849383941	0.216897413107	0.230989544127	0.222926645805	0.278740930120	0.082548333603	0.080337029890	0.085301864203	0.084802598595	0.083096983092	31	8	
1050000	318.602198	1	0.311734929423	0.610673307903	2.090090779470	1.207316995796	1.551555733749	1.364222185688	0.163134437795	0.144425065385	0.062164966556	0.068858555471	-0.094926266455	-0.037334254665	0.000329775906	0.918127427232	N\A	0.075019812625	0.247418618013	0.236798589799	0.256601632874	0.242113938280	0.318327567590	0.078738635997	0.077515538921	0.083473878652	0.082054567710	0.079816870942	37	13	
1100000	359.961368	1	0.294151769153	0.801456563906	3.033750124608	1.585861964213	2.342211441829	1.952732309399	-0.135472201368	-0.081938253693	-0.145704367373	-0.260797116797	-0.256818016469	-0.188268139097	0.000463267714	0.934591459971	N\A	0.067800375346	0.245418477801	0.231678111632	0.267659024910	0.238791428990	0.352075633619	0.072708740569	0.069742932811	0.078671671914	0.075980135545	0.070383368316	38	14	
1150000	342.229238	1	0.585979821021	0.668197163601	2.053833564806	0.602994192869	0.927122295563	0.802705664913	-0.238646884571	0.080579908917	0.008939747862	-0.023449809229	-0.094048740753	-0.080409751371	0.000274740948	0.937455434080	N\A	0.055269828912	0.210045859923	0.196489933021	0.231675887375	0.207298471372	0.275766885559	0.060049938934	0.057371973761	0.068327601179	0.064763602250	0.059480096706	52	10	
1200000	346.940029	1	0.100894973173	0.763135916973	2.159625872300	0.878868498422	1.270286672058	1.313053096112	0.641591150371	-0.017529837245	-0.095044509487	-0.177079469465	-0.224019429753	-0.257454375384	0.000136052890	0.934756884740	N\A	0.086794539307	0.260631433163	0.252354012396	0.317251642776	0.263977585018	0.316450618700	0.088808316295	0.088281789581	0.096314679042	0.093831531819	0.090238626865	31	15	
1250000	341.229721	1	-0.392945748685	0.640080200200	1.263357972266	0.223599337514	0.554554107064	0.902472193432	1.721852110660	0.043473840569	0.027399928514	0.003372460608	-0.127018953862	-0.042894412294	0.000275946755	0.922973221439	N\A	0.050859591116	0.215231078761	0.195284302757	0.211840999660	0.199303632978	0.281506591665	0.054992115522	0.054137906766	0.059749331233	0.058966309540	0.059245634482	33	17	
1300000	354.309115	1	0.612186071732	0.630844585745	0.135459192543	-0.664075009052	0.231604374294	-0.326007239733	0.037632710881	0.041580770915	0.015811494993	0.015930690550	-0.013034038364	-0.060218511504	0.000394900939	0.932218736395	N\A	0.066100572457	0.237937102030	0.224586759731	0.255307475255	0.253424955157	0.328052370547	0.068838661884	0.067943707416	0.074558792487	0.083444841530	0.070441098485	37	11	
1350000	341.448391	1	0.374412468804	0.473113692241	-0.159668839474	-1.043899772926	-0.618499925509	0.038364052822	0.273485056993	0.191837145456	0.168444755205	0.227892153542	0.092991273555	0.096959667828	0.000528853579	0.929133523933	N\A	0.074501629656	0.249551868618	0.240750140630	0.301830681205	0.249853574909	0.375721788016	0.078600231377	0.076051877296	0.087592798485	0.080791946144	0.077693153757	36	14	
1400000	339.541421	1	0.840203573772	0.617026801968	0.234416563173	-0.650128658505	0.095532655640	0.532985790669	-0.446670252318	0.129921794888	0.026408104562	-0.005503342541	-0.119799699210	-0.045783729647	0.000773162507	0.917576227117	N\A	0.085247010008	0.299992680489	0.288224851906	0.347820689954	0.292538472858	0.439762492760	0.089434506218	0.086990818238	0.096657748930	0.090426901485	0.089164700127	34	12	
1450000	352.780757	1	0.744606149333	0.504376762696	0.705396253494	-0.258918233484	0.494154523679	0.944778078678	-0.781005186411	0.218246638930	0.145894930501	0.084065313020	0.039554098757	0.065842911824	0.000528224382	0.927062218503	N\A	0.088149327076	0.275437286588	0.265730963614	0.311077661675	0.288240079683	0.384595636231	0.090660528569	0.089446857952	0.098202480342	0.096120195300	0.093057560739	41	14	
