Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  STR_d1_m2-glob-006.txt
Log File Name:                   STR_d1_m2-glob-006.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            549635774
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   STR_d1_m2-glob-006.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.147241
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.77 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Node	No RJ LS Betas	Global Trend	
1000000	330.459547	1	0.639303426914	0.651777331526	-0.146499069035	-0.152133710887	0.594228805103	-0.817824921146	1.151519095502	0.065339963429	-0.004735733679	-0.130138812858	-0.090340641773	-0.171403064274	0.002223546720	0.933051144466	N\A	0.037211100208	0.140217808175	0.123341499821	0.194008761020	0.133179436923	0.343275072940	0.044792379001	0.041575518035	0.054014147390	0.046814670814	0.044315442353	31	8	-0.074392640044	Global Trend	
1050000	323.609130	1	0.558333652362	0.672439331182	0.183011077311	-0.017735572148	0.553774550115	-0.273232610863	-0.099544468498	0.008493254079	0.002122711610	0.042770268023	0.012834193157	-0.085124940682	0.000537668432	0.999947314269	N\A	0.050956056108	0.132737607488	0.104673874132	0.150994505629	0.136730239452	0.236712576183	0.057625159437	0.053550739081	0.060414741946	0.064042290628	0.058819725257	37	8	-1.235158405840	Global Trend	
1100000	345.716784	1	1.146927727651	0.636695043311	0.304700016650	0.027508527722	0.310946635431	0.164235131112	-0.577935465106	0.103832948331	0.027636517890	0.008639274611	0.008454589726	-0.053188261253	0.000482002125	0.943032593748	N\A	0.038286764465	0.103657141731	0.084116169148	0.125568996103	0.105511851465	0.200447601045	0.045556272776	0.040880907834	0.050275856614	0.049348755112	0.046583782819	38	9	-0.011560917038	Global Trend	
1150000	338.375065	1	0.690125915470	0.617690208815	-0.015011225269	-0.004325803813	0.233162818610	0.163750724562	-0.263792739262	0.110869927331	0.010382368181	0.106812701867	-0.063300450267	-0.041233900304	0.000426024865	0.926572011962	N\A	0.046361190044	0.105893458339	0.089285549668	0.140181585357	0.116031624888	0.198239380610	0.051493693677	0.049016374752	0.060225411912	0.057278142520	0.054019101770	30	11	-0.005678279055	Global Trend	
1200000	378.181405	1	0.533370219117	0.767199423191	0.234792988851	0.038713047376	0.377337563893	0.333019346178	-0.018445038584	-0.017171739403	-0.144413846721	-0.141100619559	-0.254229078638	-0.175672636006	0.000168996981	0.999800847375	N\A	0.037254876908	0.093900575808	0.075985738539	0.117040335485	0.105644662610	0.153602906893	0.044136771344	0.039922827824	0.047200702264	0.048980861439	0.044041376779	36	15	0.231234920469	Global Trend	
1250000	366.628255	1	0.676918583974	0.669808275744	-0.105800938254	-0.080060288641	0.306972134358	0.283638382011	-0.060222156433	0.088251187288	-0.033439004117	0.047358881792	-0.025810347607	-0.091785468755	0.000154186784	0.999774625936	N\A	0.047144486109	0.104966757845	0.091711711618	0.184436677165	0.112289694880	0.188527772688	0.052809166267	0.049451373568	0.062522410322	0.056202518033	0.053020839430	48	13	-0.231799745100	Global Trend	
1300000	363.977702	1	0.707360775970	0.575871184803	-0.045765862933	-0.081371386451	0.228630083162	0.204840896996	-0.016054411106	0.185687798890	0.039477649066	0.106816600381	-0.068141208942	-0.003700605533	0.000477595986	0.926185364539	N\A	0.048345944261	0.119075463133	0.096347208231	0.139659430475	0.134230794107	0.230919337955	0.053937528553	0.050791977917	0.057397700579	0.061510702041	0.052880221004	39	15	0.003845087668	Global Trend	
1350000	341.147452	1	0.339114965623	0.666376880098	0.253620579752	-0.010127844259	0.645183213337	0.265314607491	-0.173169852030	0.049062103880	-0.036341501657	-0.151215005739	-0.116484405836	-0.066402079435	0.000592320163	0.921567446483	N\A	0.051870503854	0.136229309819	0.122796190586	0.179181384614	0.158366237497	0.269716630266	0.056114387401	0.054482732313	0.062734779582	0.066976891920	0.058586018253	40	13	-0.005023013631	Global Trend	
1400000	361.385152	1	0.372533673639	0.779991926688	0.042868438484	-0.057775294137	0.415914230729	0.314583803499	0.173117723300	-0.036669898339	-0.114773196471	-0.058102509158	-0.252923540416	-0.207438472280	0.000310901892	0.999658063490	N\A	0.042058265351	0.107726213406	0.087834325648	0.145428251125	0.124758572409	0.203242284731	0.048797329873	0.044542416808	0.054949948884	0.055374670324	0.050673030167	43	11	0.275519715379	Global Trend	
1450000	354.860153	1	0.426536648506	0.778613431775	0.096131494680	-0.011546907264	0.735275976226	0.063400544789	0.010564230439	-0.007176886337	-0.110175589690	-0.164426617659	-0.234714865189	-0.156396747850	0.000199005852	0.999955501127	N\A	0.040603373343	0.111518408372	0.090183786904	0.186867040759	0.111315078375	0.179571092701	0.047586839105	0.043592440208	0.059577758237	0.051099009236	0.051887628018	37	11	-0.558444092708	Global Trend	
