Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  STR_d1_m4-bm-003.txt
Log File Name:                   STR_d1_m4-bm-003.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            596888156
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   STR_d1_m4-bm-003.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     1
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Restrictions:
    Beta-1                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      2
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Var	R^2	s.e. Alpha	s.e. Beta-1	
1000000	502.039051	1	-1.277432722889	0.987314326409	0.000135424181	0.967685721839	N\A	0.009824968333	
1050000	502.060543	1	-1.306443859666	0.996078904560	0.000135407260	0.967689759405	N\A	0.009824354515	
1100000	502.020188	1	-1.276193930970	0.986940073974	0.000135439034	0.967682177787	N\A	0.009825507093	
1150000	502.110142	1	-1.301933080984	0.994716149540	0.000135368219	0.967699075217	N\A	0.009822938115	
1200000	502.149630	1	-1.291092201254	0.991441002539	0.000135337144	0.967706490122	N\A	0.009821810588	
1250000	501.538466	1	-1.328492003629	1.002739887284	0.000135818891	0.967591538049	N\A	0.009839275932	
1300000	502.036683	1	-1.277271784699	0.987265705241	0.000135426045	0.967685277020	N\A	0.009825035955	
1350000	501.044390	1	-1.340840610904	1.006470535082	0.000136209596	0.967498309924	N\A	0.009853417895	
1400000	501.915135	1	-1.270524167424	0.985227177093	0.000135521781	0.967662432906	N\A	0.009828508128	
1450000	501.268849	1	-1.335668582183	1.004908009274	0.000136031959	0.967540696748	N\A	0.009846990670	
1500000	502.130327	1	-1.299261856703	0.993909143798	0.000135352333	0.967702865782	N\A	0.009822361729	
1550000	500.800668	1	-1.345896448674	1.007997958347	0.000136402740	0.967452222712	N\A	0.009860401465	
1600000	501.556567	1	-1.327958326436	1.002578657633	0.000135804598	0.967594948572	N\A	0.009838758198	
1650000	501.761800	1	-1.321221940297	1.000543522532	0.000135642650	0.967633591789	N\A	0.009832890059	
1700000	500.364547	1	-1.353924584536	1.010423345008	0.000136749040	0.967369590181	N\A	0.009872910360	
1750000	502.008748	1	-1.309937443178	0.997134353920	0.000135448042	0.967680028302	N\A	0.009825833839	
1800000	501.143364	1	-1.246792306702	0.978057525328	0.000136131240	0.967517006844	N\A	0.009850583349	
1850000	501.528706	1	-1.328776475482	1.002825829307	0.000135826597	0.967589699159	N\A	0.009839555074	
1900000	502.070793	1	-1.305641218878	0.995836418099	0.000135399191	0.967691684837	N\A	0.009824061784	
1950000	500.788951	1	-1.239295767129	0.975792739654	0.000136412032	0.967450005462	N\A	0.009860737319	
2000000	502.057140	1	-1.306700157011	0.996156334760	0.000135409939	0.967689120162	N\A	0.009824451700	
2050000	502.059752	1	-1.306503852530	0.996097029054	0.000135407883	0.967689610834	N\A	0.009824377102	
2100000	502.046199	1	-1.277929222156	0.987464324207	0.000135418553	0.967687064752	N\A	0.009824764179	
2150000	502.132545	1	-1.286524857958	0.990061158737	0.000135350589	0.967703282156	N\A	0.009822298414	
2200000	500.951696	1	-1.342822769186	1.007069366534	0.000136283021	0.967480789448	N\A	0.009856073346	
2250000	501.771219	1	-1.320874370182	1.000438517841	0.000135635223	0.967635364089	N\A	0.009832620844	
2300000	501.648676	1	-1.260315606320	0.982143060386	0.000135731892	0.967612297323	N\A	0.009836124148	
2350000	502.001222	1	-1.310387826023	0.997270419448	0.000135453969	0.967678613975	N\A	0.009826048826	
2400000	500.535217	1	-1.234510869460	0.974347170324	0.000136613415	0.967401952376	N\A	0.009868013267	
2450000	502.141856	1	-1.288370543365	0.990618760258	0.000135343262	0.967705030482	N\A	0.009822032554	
2500000	500.330882	1	-1.354501718566	1.010597703440	0.000136775808	0.967363202969	N\A	0.009873876595	
2550000	501.733345	1	-1.322247284216	1.000853290018	0.000135665092	0.967628236784	N\A	0.009833703449	
2600000	501.385255	1	-1.252696416562	0.979841220765	0.000135939927	0.967562656979	N\A	0.009843659132	
2650000	501.871702	1	-1.268565161463	0.984635340207	0.000135556008	0.967654266041	N\A	0.009829749146	
2700000	502.019222	1	-1.276132962074	0.986921654611	0.000135439795	0.967681996231	N\A	0.009825534692	
2750000	501.203367	1	-1.337238835103	1.005382399662	0.000136083758	0.967528336772	N\A	0.009848865279	
2800000	501.848658	1	-1.267587548312	0.984339992702	0.000135574170	0.967649932182	N\A	0.009830407646	
2850000	502.090141	1	-1.303971461038	0.995331966198	0.000135383961	0.967695318929	N\A	0.009823509255	
2900000	501.619185	1	-1.259376575386	0.981859368986	0.000135755166	0.967606743772	N\A	0.009836967417	
2950000	502.009734	1	-1.275545819112	0.986744272373	0.000135447265	0.967680213576	N\A	0.009825805675	
3000000	502.086202	1	-1.304330841809	0.995440539015	0.000135387062	0.967694579137	N\A	0.009823621736	
3050000	500.893322	1	-1.241391084623	0.976425757728	0.000136329282	0.967469750924	N\A	0.009857746008	
3100000	502.148640	1	-1.290546404242	0.991276111359	0.000135337923	0.967706304260	N\A	0.009821838852	
3150000	501.905978	1	-1.270097090179	0.985098152438	0.000135528996	0.967660711337	N\A	0.009828769747	
3200000	501.687547	1	-1.323827042135	1.001330551969	0.000135701221	0.967619615989	N\A	0.009835012749	
3250000	501.148481	1	-1.246909407083	0.978092902620	0.000136127190	0.967517973228	N\A	0.009850436818	
3300000	501.200051	1	-1.337316889397	1.005405980709	0.000136086381	0.967527710805	N\A	0.009848960208	
3350000	502.116754	1	-1.301151613827	0.994480059861	0.000135363015	0.967700317020	N\A	0.009822749293	
3400000	502.093375	1	-1.303667625342	0.995240174149	0.000135381416	0.967695926250	N\A	0.009823416915	
3450000	502.011017	1	-1.275624044744	0.986767905182	0.000135446255	0.967680454663	N\A	0.009825769028	
3500000	501.997482	1	-1.274815959725	0.986523773959	0.000135456915	0.967677911125	N\A	0.009826155663	
3550000	502.150111	1	-1.293984035081	0.992314656811	0.000135336766	0.967706580448	N\A	0.009821796852	
3600000	502.141022	1	-1.288174409465	0.990559506086	0.000135343918	0.967704873804	N\A	0.009822056380	
3650000	502.138608	1	-1.287649709654	0.990400988599	0.000135345817	0.967704420626	N\A	0.009822125293	
3700000	500.707506	1	-1.347708125803	1.008545285599	0.000136476642	0.967434588673	N\A	0.009863072234	
3750000	500.962789	1	-1.242833725306	0.976861595080	0.000136274233	0.967482886582	N\A	0.009855755536	
3800000	501.704382	1	-1.262167599109	0.982702567435	0.000135687939	0.967622785174	N\A	0.009834531443	
3850000	502.055881	1	-1.306793834628	0.996184635781	0.000135410931	0.967688883566	N\A	0.009824487669	
3900000	501.880102	1	-1.268931511363	0.984746018473	0.000135549387	0.967655845808	N\A	0.009829509101	
3950000	502.038126	1	-1.308053713249	0.996565258737	0.000135424909	0.967685548135	N\A	0.009824994740	
4000000	500.410822	1	-1.232300947896	0.973679529121	0.000136712254	0.967378368067	N\A	0.009871582318	
4050000	501.717337	1	-1.262614518512	0.982837586620	0.000135677720	0.967625223641	N\A	0.009834161095	
4100000	501.922779	1	-1.270887061190	0.985336811224	0.000135515759	0.967663869955	N\A	0.009828289741	
4150000	502.025338	1	-1.308900649333	0.996821127287	0.000135434979	0.967683145392	N\A	0.009825360002	
