Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  STR_d1_m5-glob-001.txt
Log File Name:                   STR_d1_m5-glob-001.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            3349761363
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   STR_d1_m5-glob-001.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.147241
Restrictions:
    Beta-1                       None
    Beta-2                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.77 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      3
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	No RJ Local Node	No RJ LS Betas	Global Trend	
1000000	548.529937	1	-1.325483157812	0.999356465576	0.000604074212	0.000167736601	0.998897799955	N\A	0.002419904489	0.001174740024	33	3	0.205838229080	Global Trend	
1050000	528.400295	1	-1.331529189319	0.974925860032	0.007439330982	0.000291134798	0.977972338578	N\A	0.034319741787	0.005023794385	38	1	0.007736583937	Global Trend	
1100000	538.971096	1	-1.428504829570	1.001409301894	-0.000165985761	0.000209143864	0.999896270054	N\A	0.001501276584	0.001318067700	40	1	-0.679341329476	Global Trend	
1150000	538.003744	1	-1.316022564315	0.999241337210	0.001658821571	0.000120600342	0.999442250695	N\A	0.002104725429	0.001541527761	35	3	0.162807130277	Global Trend	
1200000	547.468528	1	-1.273485974726	0.988476519638	0.004271885809	0.000022797742	0.995700999047	N\A	0.005153781927	0.001395638819	33	1	-0.010374727676	Global Trend	
1250000	526.147260	1	-1.286341311506	0.998078460172	0.002266116082	0.000107998617	0.999975101578	N\A	0.001395292077	0.001363262685	38	2	0.761270877636	Global Trend	
1300000	537.477498	1	-1.322064265814	0.998185258109	0.001511177354	0.000095973517	0.990022715562	N\A	0.010206285473	0.002131681465	41	0	-0.024289856457	Global Trend	
1350000	516.461226	1	-1.361235378507	1.008694803736	0.001997477189	0.000084173345	0.975354575711	N\A	0.038636186586	0.005770484130	38	0	-0.001349062894	Global Trend	
1400000	527.845443	1	-1.367371689339	0.988714994421	0.003755721361	0.000271044860	0.985015716453	N\A	0.013144121475	0.002522040582	30	1	0.057491390745	Global Trend	
1450000	534.284647	1	-1.268304241306	0.987783873066	0.002158067637	0.000284692771	0.979430254103	N\A	0.039294758237	0.006134962165	37	1	0.000364678717	Global Trend	
1500000	537.898112	1	-1.346904796015	0.996044981022	0.002831578819	0.000093296058	0.998462121434	N\A	0.002802834398	0.001090614016	49	2	0.071161169308	Global Trend	
1550000	531.886879	1	-1.303400119170	0.995409627889	0.001336705128	0.000067953200	0.986293954472	N\A	0.011318689336	0.002081053730	51	1	-0.009524450100	Global Trend	
1600000	534.707524	1	-1.268031793825	0.995488446931	0.001597535932	0.000053792526	0.997530531682	N\A	0.003726501701	0.001543955303	43	1	-0.035986344231	Global Trend	
1650000	524.824759	1	-1.285114635348	0.976064229199	0.006085030710	0.000174761443	0.976901556004	N\A	0.037178600170	0.005662618233	35	2	-0.004174160003	Global Trend	
1700000	536.879330	1	-1.362234966420	0.984099824906	0.003584061078	0.000138076407	0.989751337518	N\A	0.008532192837	0.001913461996	42	2	0.036627832758	Global Trend	
1750000	541.348770	1	-1.388537698797	1.042132532434	-0.003223955676	0.000071784207	0.980225299716	N\A	0.025362563472	0.004033809128	47	1	0.005076267562	Global Trend	
1800000	530.682224	1	-1.328573695060	1.002879142601	-0.001703827398	0.000123439042	0.996004210341	N\A	0.004689575085	0.001671206366	34	1	-0.092946883395	Global Trend	
1850000	543.069033	1	-1.261812601310	0.986762314995	0.002115657993	0.000069216369	0.985435467341	N\A	0.025821848401	0.003970430500	42	2	-0.003858422267	Global Trend	
1900000	528.098102	1	-1.353694138071	1.059124585688	-0.008499606035	0.000079886084	0.976640900219	N\A	0.039768479075	0.006265555403	31	1	0.001798573676	Global Trend	
1950000	539.181285	1	-1.283018962611	0.998472485331	0.000281341361	0.000096221896	0.998441116425	N\A	0.002931948749	0.001336439082	37	2	-0.082293906451	Global Trend	
2000000	543.205960	1	-1.256535131524	0.998440974478	-0.000146129266	0.000177318629	0.998707593780	N\A	0.002802222135	0.001607145064	33	2	-0.233390701658	Global Trend	
2050000	547.721382	1	-1.348721143303	1.031009528742	-0.002964380538	0.000179090103	0.981297464200	N\A	0.029394287314	0.004659705931	44	1	0.007538754653	Global Trend	
2100000	535.643287	1	-1.416542143264	1.019229883716	-0.000958440604	0.000191898311	0.985186111936	N\A	0.023502864066	0.003786284147	29	2	-0.013716298238	Global Trend	
2150000	540.739534	1	-1.211583835365	0.957943484295	0.009294407691	0.000189533140	0.983675023341	N\A	0.025048777358	0.003844020557	35	1	-0.015576429948	Global Trend	
2200000	534.004286	1	-1.371305884412	1.053166290602	-0.009000117691	0.000170233727	0.976002417327	N\A	0.039152548644	0.006257583460	40	1	0.000543897864	Global Trend	
2250000	541.037785	1	-1.390019643222	0.996982885000	0.003178221797	0.000117151025	0.999986785134	N\A	0.001353084641	0.001327681495	44	0	-1.447883822443	Global Trend	
2300000	533.334723	1	-1.369845541701	0.989074360716	0.003684409051	0.000075038673	0.993074694058	N\A	0.005912636054	0.001637257062	29	1	0.037426615413	Global Trend	
2350000	539.407936	1	-1.287236230104	0.982824297126	0.003052122461	0.000132977031	0.978514002030	N\A	0.036653084379	0.005676959174	29	0	0.001592116741	Global Trend	
2400000	522.678793	1	-1.297672466625	0.997448548870	0.001879233762	0.000231952901	0.998383617279	N\A	0.002949754502	0.001304319973	40	1	-0.191221265743	Global Trend	
