Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  STR_d1_m6-bm-001.txt
Log File Name:                   STR_d1_m6-bm-001.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            4267855456
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   STR_d1_m6-bm-001.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Restrictions:
    Beta-1                       None
    Beta-2                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      3
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	
1000000	500.849637	1	-1.328698078134	1.032586441941	-0.043922885372	0.000136363912	0.967461487792	N\A	0.031190315645	0.021403916162	
1050000	503.144276	1	-1.376924447622	1.040726927745	-0.034441715629	0.000134556772	0.967892698939	N\A	0.030982954148	0.021261617246	
1100000	502.858864	1	-1.363474631768	1.027663857480	-0.021169811171	0.000134780237	0.967839376807	N\A	0.031008670913	0.021279265015	
1150000	502.681211	1	-1.345129256144	1.031967887203	-0.035690241328	0.000134919519	0.967806141927	N\A	0.031024689000	0.021290257202	
1200000	503.106238	1	-1.360053674174	1.029336037926	-0.025159888716	0.000134586532	0.967885597613	N\A	0.030986380283	0.021263968383	
1250000	502.199319	1	-1.295531205387	0.993282000020	-0.000737241056	0.000135298053	0.967715817999	N\A	0.031068180355	0.021320102534	
1300000	502.823730	1	-1.390969471224	1.042376605614	-0.030617118651	0.000134807771	0.967832806657	N\A	0.031011838159	0.021281438493	
1350000	503.031548	1	-1.389291075185	1.044655509980	-0.034725580979	0.000134644989	0.967871649016	N\A	0.030993108878	0.021268585787	
1400000	502.827499	1	-1.320563344978	1.008988080235	-0.012746603296	0.000134804817	0.967833511594	N\A	0.031011498349	0.021281205303	
1450000	502.342621	1	-1.438904881553	1.071264005553	-0.051861039615	0.000135185376	0.967742704360	N\A	0.031055240825	0.021311222963	
1500000	500.080507	1	-1.467495746321	1.100294618514	-0.081934589671	0.000136975054	0.967315659991	N\A	0.031260130306	0.021451825492	
1550000	503.106389	1	-1.361693938218	1.030144744852	-0.025621713572	0.000134586415	0.967885625736	N\A	0.030986366715	0.021263959072	
1600000	503.107074	1	-1.342122430790	1.022996456790	-0.023799687044	0.000134585878	0.967885753647	N\A	0.030986305006	0.021263916725	
1650000	500.502878	1	-1.246802082324	0.984339611047	-0.009259832776	0.000136639104	0.967395822777	N\A	0.031221771912	0.021425502583	
1700000	501.918267	1	-1.274258582235	0.984955958511	0.002063732210	0.000135519314	0.967663021765	N\A	0.031093573794	0.021337528425	
1750000	503.057112	1	-1.341120563355	1.020235804417	-0.020174909269	0.000134624978	0.967876423934	N\A	0.030990805693	0.021267005259	
1800000	502.759816	1	-1.310760096007	1.008551530853	-0.016470393511	0.000134857874	0.967820851404	N\A	0.031017600551	0.021285392853	
1850000	502.940378	1	-1.325002110396	1.012819545688	-0.016419292629	0.000134716378	0.967854614535	N\A	0.031001324077	0.021274223352	
1900000	499.172602	1	-1.422669453441	1.084659274031	-0.078848284729	0.000137699990	0.967142679123	N\A	0.031342742785	0.021508517146	
1950000	501.160893	1	-1.476522016020	1.095638020152	-0.071046099392	0.000136117366	0.967520317228	N\A	0.031162106937	0.021384558332	
2000000	502.800694	1	-1.336888396269	1.014643031705	-0.013812776946	0.000134825827	0.967828498238	N\A	0.031013914926	0.021282863645	
2050000	502.739259	1	-1.308771494766	1.006964655438	-0.015016196156	0.000134873993	0.967817005092	N\A	0.031019454232	0.021286664916	
2100000	503.113203	1	-1.358922729376	1.028949955216	-0.025094394282	0.000134581083	0.967886897946	N\A	0.030985752948	0.021263537883	
2150000	502.905880	1	-1.331097949579	1.021273776004	-0.026170906655	0.000134743400	0.967848166588	N\A	0.031004433152	0.021276356911	
2200000	502.696410	1	-1.396645092602	1.044427070245	-0.031112319812	0.000134907597	0.967808986615	N\A	0.031023318280	0.021289316565	
2250000	501.715735	1	-1.461141993096	1.080157919852	-0.055069753134	0.000135678983	0.967624922257	N\A	0.031111885665	0.021350094689	
2300000	502.272720	1	-1.347930326477	1.015675699396	-0.010416221514	0.000135240327	0.967729592260	N\A	0.031061551925	0.021315553867	
2350000	502.324910	1	-1.288560621836	0.998300374819	-0.011243388119	0.000135199297	0.967739382661	N\A	0.031056839742	0.021312320198	
2400000	502.942240	1	-1.391231292991	1.044127502128	-0.033082517165	0.000134714919	0.967854962664	N\A	0.031001156207	0.021274108153	
2450000	503.153111	1	-1.373795351283	1.039598778571	-0.034172117969	0.000134549861	0.967894348003	N\A	0.030982158480	0.021261071230	
2500000	501.971839	1	-1.317992775431	1.000287332981	-0.001060863468	0.000135477110	0.967673092079	N\A	0.031088731870	0.021334205722	
2550000	503.015959	1	-1.377097624561	1.036793826481	-0.028564419310	0.000134657192	0.967868737045	N\A	0.030994513385	0.021269549610	
2600000	502.085006	1	-1.438153388066	1.077511620440	-0.061409200897	0.000135388003	0.967694354396	N\A	0.031078506221	0.021327188515	
2650000	501.373127	1	-1.403130404726	1.067853648228	-0.062770126941	0.000135949512	0.967560369756	N\A	0.031142887134	0.021371369012	
2700000	502.452491	1	-1.380003573807	1.051367550418	-0.048761615079	0.000135099050	0.967763303134	N\A	0.031045323657	0.021304417445	
2750000	501.688910	1	-1.265148321400	0.987650179866	-0.005968261828	0.000135700145	0.967619872558	N\A	0.031114311907	0.021351759664	
2800000	502.216380	1	-1.437449674308	1.075765104524	-0.059147135333	0.000135284633	0.967719020186	N\A	0.031066639530	0.021319045164	
2850000	502.543535	1	-1.397453045776	1.043534056887	-0.029435432121	0.000135027557	0.967780362361	N\A	0.031037108186	0.021298779694	
2900000	501.905233	1	-1.290194535286	1.004643215601	-0.019869226183	0.000135529584	0.967660571145	N\A	0.031094751968	0.021338336930	
2950000	502.483389	1	-1.298833232996	0.997814277145	-0.005949859366	0.000135074783	0.967769093596	N\A	0.031042535300	0.021302503975	
3000000	502.175390	1	-1.425612075697	1.072633132692	-0.059802336493	0.000135316877	0.967711326212	N\A	0.031070341581	0.021321585644	
3050000	503.110429	1	-1.343477467454	1.024505155761	-0.025420865004	0.000134583253	0.967886380140	N\A	0.030986002761	0.021263709314	
3100000	498.857180	1	-1.265709660868	1.003599508831	-0.029238638234	0.000137952743	0.967082368349	N\A	0.031371494953	0.021528247918	
3150000	502.398721	1	-1.436394829642	1.071277599325	-0.052999371287	0.000135141291	0.967753223826	N\A	0.031050176681	0.021307747765	
3200000	501.460975	1	-1.254554982088	0.977385187935	0.004449943152	0.000135880095	0.967576933890	N\A	0.031134935120	0.021365912054	
3250000	503.076672	1	-1.383582898746	1.041964203210	-0.033299834316	0.000134609669	0.967880076754	N\A	0.030989043638	0.021265796073	
3300000	500.395936	1	-1.502310813790	1.105080446214	-0.073481346268	0.000136724086	0.967375544598	N\A	0.031231479599	0.021432164347	
3350000	502.935266	1	-1.380182629865	1.037423531777	-0.028118605637	0.000134720381	0.967853659249	N\A	0.031001784717	0.021274539459	
3400000	502.450857	1	-1.358456739642	1.040725297846	-0.042667093962	0.000135100333	0.967762996831	N\A	0.031045471148	0.021304518659	
3450000	503.084437	1	-1.387716893688	1.046362887765	-0.037944783463	0.000134603592	0.967881526828	N\A	0.030988344120	0.021265316039	
3500000	502.346136	1	-1.314463960528	1.016785027419	-0.026962170466	0.000135182613	0.967743363601	N\A	0.031054923486	0.021311005194	
3550000	503.138444	1	-1.377109419539	1.041555871686	-0.035581749584	0.000134561334	0.967891610311	N\A	0.030983479397	0.021261977691	
3600000	502.815697	1	-1.383860694978	1.038159530115	-0.027565320678	0.000134814068	0.967831304255	N\A	0.031012562370	0.021281935473	
3650000	501.976990	1	-1.381445863792	1.031062923966	-0.018175821808	0.000135473054	0.967674060071	N\A	0.031088266408	0.021333886306	
3700000	501.365102	1	-1.409571386833	1.070790598003	-0.064231641682	0.000135955855	0.967558856226	N\A	0.031143613640	0.021371867566	
3750000	502.808317	1	-1.318900327796	1.014450079303	-0.021542321841	0.000134819851	0.967829924117	N\A	0.031013227632	0.021282391999	
3800000	502.682149	1	-1.390078648982	1.040435620905	-0.028151631139	0.000134918784	0.967806317414	N\A	0.031024604443	0.021290199176	
3850000	502.712313	1	-1.392595701133	1.055016295167	-0.048532339007	0.000134895124	0.967811962868	N\A	0.031021884101	0.021288332380	
3900000	503.171195	1	-1.363432398156	1.033980619376	-0.030503952174	0.000134535714	0.967897723572	N\A	0.030980529714	0.021259953512	
3950000	500.780941	1	-1.423703766319	1.049133742020	-0.025997994206	0.000136418386	0.967448489450	N\A	0.031196544908	0.021408190906	
4000000	503.017990	1	-1.387892957102	1.043375808090	-0.033461298623	0.000134655603	0.967869116310	N\A	0.030994330461	0.021269424081	
4050000	502.632384	1	-1.388136590443	1.038900525825	-0.026753058387	0.000134957825	0.967797001482	N\A	0.031029092936	0.021293279341	
4100000	502.437696	1	-1.300809227293	1.006776880468	-0.018286654915	0.000135110671	0.967760530167	N\A	0.031046658871	0.021305333718	
4150000	502.393662	1	-1.410180655461	1.049960943569	-0.033242719832	0.000135145266	0.967752275330	N\A	0.031050633327	0.021308061132	
4200000	502.610392	1	-1.420262299130	1.065968678036	-0.052357715773	0.000134975082	0.967792883740	N\A	0.031031076691	0.021294640665	
4250000	502.508955	1	-1.428283240677	1.069209247819	-0.053563071062	0.000135054707	0.967773884079	N\A	0.031040228286	0.021300920819	
4300000	503.167889	1	-1.366155900249	1.034697172031	-0.030347270112	0.000134538301	0.967897106451	N\A	0.030980827491	0.021260157858	
4350000	501.642237	1	-1.278504868328	0.983034467403	0.006789170569	0.000135736973	0.967611084872	N\A	0.031118533698	0.021354656809	
4400000	502.189212	1	-1.336760708284	1.030773655444	-0.037657485975	0.000135306003	0.967713920928	N\A	0.031069093150	0.021320728927	
4450000	503.054944	1	-1.378644519089	1.044717039462	-0.039559600207	0.000134626675	0.967876018875	N\A	0.030991001080	0.021267139340	
4500000	502.492533	1	-1.431045907991	1.069485000556	-0.052738892634	0.000135067602	0.967770807093	N\A	0.031041710129	0.021301937713	
4550000	502.924926	1	-1.404509499728	1.054307795941	-0.042179648667	0.000134728480	0.967851726689	N\A	0.031002716579	0.021275178936	
4600000	502.468855	1	-1.356903335410	1.039804026090	-0.042000571805	0.000135086197	0.967766369923	N\A	0.031043846897	0.021303404040	
4650000	502.433795	1	-1.421940176677	1.057988212857	-0.039841396137	0.000135113736	0.967759798826	N\A	0.031047011010	0.021305575368	
4700000	500.728475	1	-1.490966353787	1.101984896573	-0.073970554798	0.000136460004	0.967438558579	N\A	0.031201303293	0.021411456281	
4750000	501.539427	1	-1.258334772903	0.983218684266	-0.002468728016	0.000135818132	0.967591719119	N\A	0.031127835396	0.021361039968	
4800000	503.148604	1	-1.373944556735	1.040033497635	-0.034746723505	0.000134553386	0.967893506766	N\A	0.030982564377	0.021261349771	
4850000	502.732287	1	-1.308155765237	1.006391593171	-0.014445423018	0.000134879460	0.967815700643	N\A	0.031020082870	0.021287096310	
4900000	502.574008	1	-1.425374345926	1.067433145237	-0.052239832109	0.000135003637	0.967786070108	N\A	0.031034358934	0.021296893058	
4950000	502.220809	1	-1.321919239102	1.022164379160	-0.031573601884	0.000135281150	0.967719851365	N\A	0.031066239571	0.021318770698	
5000000	501.943054	1	-1.455581016586	1.079906440808	-0.057176438054	0.000135499785	0.967667681532	N\A	0.031091333418	0.021335990998	
5050000	503.112168	1	-1.350508674278	1.029404484494	-0.029513340345	0.000134581893	0.967886704661	N\A	0.030985846197	0.021263601874	
5100000	502.131670	1	-1.285618985505	0.989852390332	-0.000095716042	0.000135351277	0.967703117811	N\A	0.031074290668	0.021324295651	
5150000	499.582890	1	-1.217093399046	0.951619640065	0.025756397889	0.000137371912	0.967220963420	N\A	0.031305382651	0.021482879279	
5200000	503.142545	1	-1.365059368216	1.036532236294	-0.033541968121	0.000134558126	0.967892375783	N\A	0.030983110068	0.021261724244	
5250000	501.853395	1	-1.336017225757	1.007746685693	-0.004030865806	0.000135570436	0.967650823092	N\A	0.031099438050	0.021341552688	
5300000	501.542528	1	-1.469117159655	1.088849189775	-0.064333646440	0.000135815683	0.967592303490	N\A	0.031127554753	0.021360847381	
5350000	503.111860	1	-1.381664880511	1.044201913861	-0.037454305411	0.000134582134	0.967886647158	N\A	0.030985873939	0.021263620912	
5400000	501.650635	1	-1.344187961493	1.010641312788	-0.004659322920	0.000135730346	0.967612666270	N\A	0.031117774003	0.021354135479	
5450000	503.058713	1	-1.335418635205	1.020042076832	-0.022429557377	0.000134623725	0.967876722946	N\A	0.030990661459	0.021266906280	
5500000	502.758198	1	-1.373067280912	1.031707837747	-0.022859724106	0.000134859143	0.967820548658	N\A	0.031017746459	0.021285492981	
5550000	502.785113	1	-1.347873860938	1.032556239439	-0.035335100454	0.000134838042	0.967825583697	N\A	0.031015319729	0.021283827672	
5600000	501.888991	1	-1.274202149107	0.984495469037	0.002717673526	0.000135542382	0.967657517244	N\A	0.031096220114	0.021339344425	
5650000	499.773520	1	-1.363564265606	1.013371258454	-0.000052590066	0.000137219746	0.967257272580	N\A	0.031288039446	0.021470977748	
5700000	503.153648	1	-1.356890843273	1.031743853496	-0.030119805651	0.000134549440	0.967894448317	N\A	0.030982110078	0.021261038015	
5750000	502.056424	1	-1.439434597816	1.066415832598	-0.044475441284	0.000135410503	0.967688985581	N\A	0.031081088554	0.021328960604	
5800000	501.346787	1	-1.269956134996	0.994993316898	-0.014655191811	0.000135970333	0.967555401568	N\A	0.031145271837	0.021373005481	
5850000	502.202258	1	-1.353985219271	1.018203400358	-0.011446228805	0.000135295741	0.967716369706	N\A	0.031067914890	0.021319920362	
5900000	503.073472	1	-1.389154294780	1.046510930065	-0.037522706631	0.000134612174	0.967879479094	N\A	0.030989331945	0.021265993920	
5950000	501.737754	1	-1.398619765986	1.039204130544	-0.022530292080	0.000135661615	0.967629066493	N\A	0.031109894332	0.021348728165	
6000000	500.413940	1	-1.433804377986	1.085361571544	-0.074923101511	0.000136709776	0.967378959251	N\A	0.031229845128	0.021431042714	
6050000	502.020247	1	-1.402641755306	1.042981550126	-0.026308963184	0.000135438987	0.967682188993	N\A	0.031084357319	0.021331203748	
6100000	502.253625	1	-1.382726820675	1.033290265656	-0.020889785973	0.000135255341	0.967726009584	N\A	0.031063276111	0.021316737065	
6150000	501.082192	1	-1.467825602674	1.094679748247	-0.073507385389	0.000136179663	0.967505452278	N\A	0.031169237089	0.021389451298	
6200000	499.971663	1	-1.450721151962	1.094166086379	-0.080370308513	0.000137061760	0.967294970438	N\A	0.031270022746	0.021458614041	
