Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  STR_d1_m7-VR-003.txt
Log File Name:                   STR_d1_m7-VR-003.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            560977032
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   STR_d1_m7-VR-003.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Branch	No RJ Local Node	
1000000	548.174346	1	-1.490740846704	1.117039622007	-0.080299950245	-0.002948198674	0.000084546054	0.985002747473	N\A	0.024217442916	0.022220830564	0.002713574130	50	26	
1050000	542.024444	1	-1.572236354877	1.157306970904	-0.117669260086	0.003510830033	0.000127134534	0.986272297133	N\A	0.019744963306	0.020543190583	0.002371360070	46	26	
1100000	534.058864	1	-1.530350691582	1.116451338032	-0.070031160073	-0.003409454065	0.000135202548	0.982433699731	N\A	0.029760145159	0.024963736130	0.003000377888	47	30	
1150000	528.701435	1	-1.591647112376	1.151207576276	-0.105700333445	0.001184956350	0.000096691750	0.980383374268	N\A	0.025640101642	0.025890284652	0.003402316485	37	28	
1200000	529.652513	1	-1.448041255620	1.085141524480	-0.084456361550	0.006928142570	0.000106247933	0.984323554357	N\A	0.027649255361	0.024428736382	0.002795879460	42	29	
1250000	535.126677	1	-1.525855458176	1.111404197748	-0.073411710741	0.000454048446	0.000194158979	0.983088929524	N\A	0.026146117435	0.023923015864	0.003145529297	49	24	
1300000	551.701800	1	-1.536586409741	1.133350505520	-0.088160649117	-0.000654320631	0.000204682891	0.986405043577	N\A	0.021618705877	0.020136782326	0.002559955852	52	25	
1350000	529.887644	1	-1.575161057032	1.141669153706	-0.093062148597	0.000813932430	0.000191778315	0.982531339513	N\A	0.025346815699	0.022803628449	0.003180115830	50	20	
1400000	535.756522	1	-1.392798243150	1.049686650052	-0.037130536390	-0.000486740741	0.000109479625	0.981923038264	N\A	0.027092623601	0.024432083144	0.002939899565	49	25	
1450000	534.110799	1	-1.570851090676	1.145103892138	-0.078859094637	-0.002617625636	0.000202846849	0.978698446147	N\A	0.029228727765	0.025454715141	0.003154342401	51	22	
1500000	541.756705	1	-1.511679731365	1.120161131778	-0.101358843682	0.004568859122	0.000228671784	0.985094354764	N\A	0.025407924617	0.020639501293	0.002437208757	39	38	
1550000	522.156741	1	-1.514135917806	1.122624912769	-0.076090135791	-0.003715248981	0.000102807174	0.975294913245	N\A	0.031970168405	0.028294010456	0.003363528520	40	26	
1600000	534.350143	1	-1.578924848279	1.139847226692	-0.087773243755	0.000416115822	0.000139277274	0.980849409780	N\A	0.029847383344	0.026568110463	0.003249438218	46	28	
1650000	542.444278	1	-1.454701875247	1.097934985058	-0.080631311090	0.004019592036	0.000119614011	0.977736714840	N\A	0.029042254007	0.026167519155	0.003241104284	47	23	
1700000	528.868109	1	-1.405022436450	1.075101432059	-0.065460073478	0.003311497419	0.000220505125	0.980795648860	N\A	0.028217965468	0.024678526901	0.003265537318	52	31	
1750000	524.592578	1	-1.493030086454	1.103869402075	-0.065050370106	-0.000633758328	0.000102669384	0.978810904144	N\A	0.027580511516	0.025834572799	0.003175337756	60	21	
1800000	535.694132	1	-1.514963873220	1.135232263468	-0.120839320915	0.005625548702	0.000127052572	0.989391805689	N\A	0.022453950076	0.021247520638	0.002754755979	60	41	
1850000	532.978011	1	-1.563144313726	1.146094079064	-0.115074571595	0.006430027605	0.000212692196	0.986689336832	N\A	0.023707684514	0.020855386072	0.002780287820	45	31	
1900000	532.687360	1	-1.492842318445	1.108649661225	-0.089771118545	0.002343580644	0.000178586282	0.981095839989	N\A	0.029845570947	0.026034018394	0.002933081047	48	38	
1950000	532.659372	1	-1.494662988696	1.117951204357	-0.121777116843	0.009246100395	0.000116321736	0.980155157722	N\A	0.027590569478	0.026184483236	0.003290157398	52	27	
2000000	525.665980	1	-1.512483241397	1.111477025055	-0.081892352007	0.000480568886	0.000093943144	0.979729990579	N\A	0.030208983844	0.027963096353	0.003441215431	41	26	
2050000	525.047002	1	-1.510348905112	1.106221291956	-0.073605165295	0.000886411798	0.000258437197	0.986620502824	N\A	0.026461665328	0.023897349756	0.003040522960	48	22	
2100000	534.309162	1	-1.519356303874	1.105225172820	-0.054946680893	-0.002136985511	0.000169393362	0.986199922679	N\A	0.023051125670	0.022351740879	0.003299134533	31	27	
2150000	533.370524	1	-1.383384796353	1.017323016297	0.006086795050	-0.002480176983	0.000091030925	0.980055994560	N\A	0.026833668243	0.025809070781	0.003319238990	50	25	
2200000	527.793465	1	-1.551775228156	1.117437977722	-0.062769391045	-0.002608467276	0.000158006972	0.981440765887	N\A	0.025808944876	0.024238121169	0.003236324527	46	30	
2250000	531.265220	1	-1.569608613505	1.135664195909	-0.096162112173	0.002317414939	0.000092116589	0.984252619065	N\A	0.021819209049	0.020185094986	0.003134408475	49	23	
2300000	535.630773	1	-1.536314268744	1.128778399498	-0.082328162945	-0.002259120825	0.000156469841	0.977103340993	N\A	0.029461712895	0.026183866125	0.003280774926	55	28	
2350000	530.178705	1	-1.536256622124	1.132953289985	-0.104843267732	0.002919163110	0.000282021238	0.983898476734	N\A	0.025127169772	0.021050389796	0.002969918903	44	25	
2400000	536.483238	1	-1.498213301660	1.109625145015	-0.075730268396	-0.000047431624	0.000100205734	0.981574208687	N\A	0.028977051997	0.025995117282	0.003414164711	45	26	
2450000	534.921261	1	-1.509503681291	1.116563352238	-0.103862926619	0.006959508347	0.000153692885	0.977959580247	N\A	0.029186736138	0.026624429557	0.003467194274	41	23	
2500000	541.122963	1	-1.515190012042	1.124214762624	-0.087267910446	-0.000668352656	0.000117762325	0.983796840457	N\A	0.025307533977	0.022252278129	0.002736717403	46	23	
2550000	521.515644	1	-1.473406075504	1.116274344160	-0.106572757949	0.004101271613	0.000166177512	0.976156213930	N\A	0.028104685496	0.025797938255	0.003266200632	36	17	
2600000	532.733919	1	-1.430651029565	1.062775757150	-0.036730621003	-0.000851785627	0.000097948384	0.980246636184	N\A	0.026972709574	0.024243891886	0.003254327657	53	28	
2650000	522.669038	1	-1.512646105492	1.104341340245	-0.072368230833	0.001299806710	0.000100381307	0.974447455029	N\A	0.031704114175	0.028495584698	0.003308640911	49	34	
2700000	527.964780	1	-1.413731065729	1.043713849286	-0.002956405552	-0.005234873527	0.000096612693	0.976625803191	N\A	0.030791846660	0.027473882505	0.003169551918	39	24	
2750000	534.847259	1	-1.492945268635	1.115847748306	-0.106576469803	0.004933817995	0.000094401651	0.980994017701	N\A	0.027069928337	0.025170604234	0.003095194248	52	21	
2800000	546.844331	1	-1.487954345520	1.118039671505	-0.105647364757	0.004933236329	0.000194158657	0.984616598298	N\A	0.024901307398	0.022909412289	0.003015683032	26	25	
