Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  STR_d1_m7-fab-006.txt
Log File Name:                   STR_d1_m7-fab-006.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            569594791
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   STR_d1_m7-fab-006.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.147241
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.77 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Node	No RJ LS Betas	
1000000	546.138997	1	-1.461649895329	1.076897866809	-0.081830966408	0.005869514332	0.000083472121	0.987211515852	N\A	0.023097148004	0.020515103209	0.002584506212	33	3	
1050000	550.705400	1	-1.511779847136	1.101260855377	-0.053663506383	-0.004805537196	0.000076152355	0.980411629071	N\A	0.027770175067	0.025648487601	0.003323823673	38	2	
1100000	541.230555	1	-1.458222570496	1.090176508925	-0.080605088689	0.003875426702	0.000174829181	0.980442251966	N\A	0.025482681335	0.021905376766	0.003177478927	37	1	
1150000	532.864386	1	-1.379399860633	1.031287808451	-0.025922765482	0.000614774307	0.000077945510	0.974841556968	N\A	0.030616440029	0.026680394131	0.003625558435	38	1	
1200000	553.814985	1	-1.478504954185	1.103894823482	-0.085567905309	0.003514864177	0.000202221928	0.985824011790	N\A	0.023655240720	0.021805072237	0.002924507118	30	4	
1250000	538.142614	1	-1.467289042626	1.082180229005	-0.061192146530	0.001523309428	0.000143091003	0.988348897895	N\A	0.020915303914	0.018898359606	0.002835382206	37	2	
1300000	542.089532	1	-1.509786165779	1.123194141436	-0.096451800022	0.001785687461	0.000183873765	0.984203799513	N\A	0.028264697407	0.025953722196	0.003188013337	35	1	
1350000	533.100125	1	-1.645945192794	1.173729832708	-0.117471236850	0.003613986808	0.000151971266	0.984725420325	N\A	0.026366161963	0.023911739324	0.003559468685	39	1	
1400000	542.294321	1	-1.491905688430	1.103294696033	-0.101011546501	0.008526488831	0.000077723984	0.981663076442	N\A	0.026676748567	0.023518734109	0.003254292374	37	3	
1450000	537.927647	1	-1.473674435381	1.101572144775	-0.083251087242	0.002419702668	0.000179555579	0.981750821515	N\A	0.028196493543	0.024721709829	0.003139700054	30	0	
1500000	546.409726	1	-1.516613905088	1.129522044772	-0.110033858732	0.003866347684	0.000162613347	0.981895579329	N\A	0.028105873184	0.025589531024	0.003112152317	30	3	
1550000	539.796134	1	-1.454523060212	1.091856254621	-0.072008470934	0.002048449435	0.000243080596	0.982733201396	N\A	0.025584182009	0.023610919079	0.003318347227	39	1	
1600000	549.037859	1	-1.515738224169	1.102135028850	-0.066031239257	0.002041046162	0.000120477910	0.985586740664	N\A	0.027136167159	0.020926252264	0.002678957815	38	1	
1650000	545.916993	1	-1.577767080664	1.153507001518	-0.119746958761	0.005365222574	0.000084718958	0.981850693515	N\A	0.026428008815	0.024988469584	0.003317878725	43	1	
1700000	542.910194	1	-1.494328068177	1.105555597106	-0.077241328948	0.002430566990	0.000116175620	0.981372909012	N\A	0.026549571740	0.023828088702	0.003079058245	34	2	
1750000	560.100475	1	-1.480292683387	1.102421706453	-0.078617071066	0.001428755070	0.000137897967	0.984980951014	N\A	0.025682988211	0.023446209414	0.002721067244	50	2	
1800000	540.051283	1	-1.527053675384	1.127121276740	-0.089517944870	-0.000325335763	0.000090704469	0.982126691537	N\A	0.024110635336	0.021923237502	0.003115916974	36	1	
1850000	552.814312	1	-1.511131241852	1.125051121318	-0.117220138518	0.008272761402	0.000168310046	0.980054699867	N\A	0.025665550654	0.024754271844	0.003222089445	39	1	
1900000	549.074307	1	-1.597065262276	1.156087471892	-0.109525074665	0.002013479882	0.000072109552	0.980137156185	N\A	0.028260751967	0.026867867138	0.003433501162	33	1	
1950000	540.660860	1	-1.519170559307	1.113806107059	-0.068358722138	-0.003262578436	0.000138238111	0.979779314341	N\A	0.026137107885	0.026278819247	0.003453375674	40	2	
