Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  STR_d1_m8-glob-004.txt
Log File Name:                   STR_d1_m8-glob-004.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            916444973
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   STR_d1_m8-glob-004.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.147241
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.77 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Node	No RJ LS Betas	Global Trend	
1000000	551.975037	1	-1.471937302354	1.055631746118	0.007181099982	-0.060223331620	0.000165498140	0.997100333245	N\A	0.014296107413	0.002032665512	0.015102095717	36	3	-0.107167508381	Global Trend	
1050000	540.582668	1	-1.386742419232	1.052310770301	0.006147296104	-0.058795140013	0.000113528897	0.999978871623	N\A	0.017205403414	0.001891604233	0.018467194475	39	2	-0.807434209219	Global Trend	
1100000	550.206682	1	-1.413428679426	1.089227415199	0.010019330987	-0.098735095113	0.000109216082	0.999978772170	N\A	0.017269556826	0.001787898969	0.018389209066	39	2	1.057693786307	Global Trend	
1150000	547.287689	1	-1.387046759533	1.083945145165	0.011041640078	-0.105757771288	0.000115349822	0.994772515942	N\A	0.018825084945	0.002088914153	0.019323948403	36	2	-0.056982318751	Global Trend	
1200000	542.074677	1	-1.428358931660	1.064627973595	0.004326979429	-0.069033059262	0.000132202886	0.999955906266	N\A	0.018108125787	0.001900010264	0.019354722615	44	0	0.689828703598	Global Trend	
1250000	539.431330	1	-1.368931119506	1.099492435295	0.006935462432	-0.108314180631	0.000185187364	0.999920235075	N\A	0.016629484539	0.001605164505	0.017615348758	55	1	-0.631870794930	Global Trend	
1300000	533.900341	1	-1.428941540510	1.058088710242	0.005716595193	-0.064326590278	0.000161587848	0.996465123449	N\A	0.017475320527	0.001986667259	0.018115032405	41	1	-0.072752027915	Global Trend	
1350000	536.029378	1	-1.387394638068	1.066524382828	0.008643725869	-0.084762072606	0.000131621167	0.992149515665	N\A	0.019475472854	0.002295566723	0.019576308941	46	1	-0.035047826950	Global Trend	
1400000	537.026388	1	-1.567667660446	1.051776201344	0.006283463639	-0.068101867073	0.000166164112	0.996609708808	N\A	0.016233668384	0.001762924625	0.016464450931	40	2	0.109828868575	Global Trend	
1450000	539.410520	1	-1.337619020035	1.071978869785	0.011812091122	-0.105508314336	0.000232140939	0.984117296211	N\A	0.024652728652	0.003293059158	0.018957776178	35	4	-0.035547105293	Global Trend	
1500000	551.664354	1	-1.431957984490	1.073534158573	0.006848895440	-0.080095725387	0.000108232047	0.999695217580	N\A	0.014990045474	0.001419909343	0.015774872185	42	4	0.211264948998	Global Trend	
1550000	548.341226	1	-1.503625587294	1.110482144702	0.009949593341	-0.117388436539	0.000076534010	0.999402571465	N\A	0.017089424554	0.001737390574	0.018122917575	38	4	0.114583022380	Global Trend	
1600000	543.946116	1	-1.458196104332	1.090284580410	0.009103611253	-0.100470177106	0.000059453610	0.998168976324	N\A	0.016885501716	0.001823148489	0.017684085979	34	2	-0.052271442911	Global Trend	
1650000	549.824973	1	-1.373648015870	1.050190644348	0.006889967317	-0.056734777725	0.000082949216	0.999990469573	N\A	0.013652448086	0.001760466742	0.015006688187	39	0	0.921065137259	Global Trend	
1700000	532.184869	1	-1.470899172002	1.089729006242	0.005943586654	-0.095911408386	0.000126443043	0.982134001610	N\A	0.029044292749	0.004036520261	0.018748121108	33	1	-0.010612531310	Global Trend	
