Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  STR_d1_m9-VR-002.txt
Log File Name:                   STR_d1_m9-VR-002.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            4129904833
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   STR_d1_m9-VR-002.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Branch	No RJ Local Node	
1000000	540.352176	1	-1.547369904603	1.144488129120	-0.003313196044	-0.105550196997	0.003829690666	0.000093157541	0.981470859963	N\A	0.086308856900	0.013000619686	0.035712599315	0.007042102422	35	24	
1050000	521.001398	1	-1.665666299867	1.235054332263	-0.026310932586	-0.114224654249	0.016730419089	0.000153091093	0.982324871676	N\A	0.084290855504	0.011379639279	0.038342401291	0.007341133209	40	25	
1100000	531.802057	1	-1.444464658225	1.053783054413	0.003010183870	-0.047785419056	-0.000003871798	0.000077343017	0.976950963837	N\A	0.095542796049	0.013303158757	0.041127780698	0.007635726601	55	38	
1150000	524.715661	1	-1.780868910198	1.330113630906	-0.036951283423	-0.124290329090	0.015331514456	0.000108428130	0.978968487170	N\A	0.091182172894	0.013316095451	0.039181923379	0.007336202700	48	26	
1200000	535.565394	1	-1.554902536187	1.125569305693	0.006786762049	-0.108568622801	-0.002162540382	0.000053158145	0.980891777939	N\A	0.090879919489	0.014092941848	0.037326914456	0.007702343464	59	26	
1250000	529.204698	1	-1.710060798836	1.269348336688	-0.031272629712	-0.102346045310	0.011666339427	0.000111139135	0.983021360275	N\A	0.069699990697	0.009346006068	0.033780481076	0.005839097422	39	30	
1300000	539.744203	1	-1.604947548402	1.192624665216	-0.012127206245	-0.105395768669	0.006925784410	0.000081099512	0.979663647296	N\A	0.095683360105	0.013509931880	0.039815604100	0.007333524836	46	26	
1350000	531.959302	1	-1.775578238352	1.333483554641	-0.032810153784	-0.173945363469	0.020875512072	0.000175290450	0.984766080690	N\A	0.079607242803	0.010997046881	0.033384256737	0.004928056490	39	17	
1400000	524.070895	1	-1.168441589434	0.868617279808	0.033395661921	-0.015552167270	-0.011202953810	0.000207373449	0.981627106737	N\A	0.060836494434	0.010988719514	0.029167423069	0.006945508238	43	28	
1450000	542.334194	1	-1.557430993436	1.184265598554	-0.011785995875	-0.140600712878	0.014652589489	0.000147518920	0.990032516948	N\A	0.073500945842	0.010608191316	0.032647057471	0.006516164348	33	25	
1500000	516.732157	1	-1.753316197616	1.317192252396	-0.030485983793	-0.157375111071	0.016307005410	0.000156936707	0.972755745918	N\A	0.102024375034	0.015171010496	0.042005017180	0.008114646887	51	25	
