Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  STR_d1_m9-fab-004.txt
Log File Name:                   STR_d1_m9-fab-004.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            443766882
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   STR_d1_m9-fab-004.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.147241
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.77 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Node	No RJ LS Betas	
1000000	533.357193	1	-1.521677692526	1.069714453749	0.015108485180	-0.071675522677	-0.011073715068	0.000138003143	0.975996290384	N\A	0.077184136693	0.009950250844	0.037295508303	0.006087346244	33	7	
1050000	531.295583	1	-1.625027555229	1.201590236450	-0.014894122869	-0.123423741997	0.014522211001	0.000151900375	0.976256291213	N\A	0.093227557484	0.013393531746	0.039533171907	0.007434592478	35	6	
1100000	543.778657	1	-1.664815659331	1.236887082798	-0.016743067949	-0.138965521390	0.013892819224	0.000139044982	0.983875511021	N\A	0.084040503155	0.012199455858	0.036221042407	0.007135129730	41	6	
1150000	527.464809	1	-1.310821490631	1.003398918161	-0.001395097918	-0.001373031298	0.000543707642	0.000181063796	0.977572580868	N\A	0.086683861915	0.011327132785	0.039496941362	0.006876304038	27	6	
1200000	542.974955	1	-1.402924506261	0.993376733028	0.022146968540	-0.079198896624	-0.000880579735	0.000094366946	0.983675307708	N\A	0.089043766800	0.013834241237	0.036881487404	0.007641607681	35	5	
1250000	524.807987	1	-1.797121773166	1.259274379921	-0.013275800755	-0.113494166398	0.003792551521	0.000090724306	0.978869954429	N\A	0.090199767820	0.012950211766	0.040328295074	0.007616742573	37	6	
1300000	550.589829	1	-1.626209859809	1.133528727839	0.002190673836	-0.133752319384	0.008394048419	0.000014211036	0.979051473715	N\A	0.088930391227	0.012928369832	0.038554765811	0.007448540088	36	9	
1350000	548.234830	1	-1.964850433954	1.430591480103	-0.044841211400	-0.161739923904	0.014970975820	0.000164877129	0.983049447653	N\A	0.079624136076	0.010528027654	0.037412008060	0.006206395282	38	7	
1400000	559.007215	1	-1.549048122173	1.141141836399	-0.005591298319	-0.073157114662	0.001893289527	0.000171400834	0.984140982516	N\A	0.088215974757	0.012559111418	0.035963565419	0.006839196496	34	7	
1450000	545.097970	1	-1.484003090875	1.092183901313	-0.007085618875	-0.036010740922	0.001805445493	0.000154167225	0.978305542092	N\A	0.076839389108	0.009352696557	0.037142289174	0.005773836139	26	8	
