Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  STR_d1_m9-glob-001.txt
Log File Name:                   STR_d1_m9-glob-001.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            3108264062
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   STR_d1_m9-glob-001.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.147241
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.77 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Node	No RJ LS Betas	Global Trend	
1000000	543.849585	1	-1.819051170235	1.379636317522	-0.039920840364	-0.195466503365	0.028354774439	0.000099792075	0.986244301219	N\A	0.083404898988	0.011676462092	0.036821301064	0.007104549656	33	2	0.000704901627	Global Trend	
1050000	542.166469	1	-1.430084587794	1.001653277287	0.018594642281	-0.003711245841	-0.016375511660	0.000156048984	0.999987565795	N\A	0.022416729294	0.003432382590	0.024394102384	0.004489407602	44	1	-1.512619420263	Global Trend	
1100000	536.168683	1	-1.328997691305	0.988458492590	0.011400580307	0.008870281490	-0.009813637734	0.000119188401	0.999522688304	N\A	0.027053974055	0.003680085572	0.029277688011	0.005151508818	42	1	-0.186352170646	Global Trend	
1150000	552.047027	1	-1.406661327614	1.098521307966	0.001616735614	-0.053763952346	-0.006154141937	0.000086432626	0.982602096047	N\A	0.040163042124	0.005651458767	0.028486143905	0.004903572977	34	2	0.010112701724	Global Trend	
1200000	540.088397	1	-1.413640239107	1.061525445064	0.012056813426	-0.068136140879	-0.004920547336	0.000090791386	0.999870014292	N\A	0.025089298870	0.003580311938	0.027123141608	0.004822829947	34	1	0.365146560424	Global Trend	
1250000	540.491349	1	-1.621404774909	1.096571532361	0.007786178074	-0.094376535482	-0.000028369251	0.000067733781	0.995573520925	N\A	0.025810934289	0.003300723556	0.026967323461	0.004434303464	41	3	-0.040200497116	Global Trend	
1300000	533.230762	1	-1.333780949859	1.018800910010	0.004772330313	-0.018815885057	-0.003740513692	0.000117595038	0.999510012747	N\A	0.025938112364	0.003183825460	0.028300447295	0.004376664953	33	0	0.220149694064	Global Trend	
1350000	544.773708	1	-1.432244551915	1.046914267350	0.014153056740	-0.051949026130	-0.009931837387	0.000088832476	0.998493916284	N\A	0.021097165420	0.002521281376	0.022300686979	0.003502106923	38	2	-0.059771684694	Global Trend	
1400000	545.435629	1	-1.488846794786	1.088383626014	0.008426780994	-0.094583796225	-0.002224723353	0.000076919289	0.999979971154	N\A	0.024995208862	0.003240932248	0.027074361327	0.004212723725	38	1	0.606588401517	Global Trend	
1450000	562.904443	1	-1.544097316722	1.090304934228	0.018192992322	-0.099619825826	-0.008958278319	0.000125037460	0.999846751795	N\A	0.025092465834	0.003114736685	0.027037319749	0.004248410748	39	4	0.428556358596	Global Trend	
